Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000815,11.205652,[35 36] ; [103  39],[46. 25.] ; [92. 50.],1
v2,1,0.001443,10.150045,[31 38] ; [95 45],[41.59808612 27.40191388] ; [84.40191388 55.59808612],0
v3,1,0.002551,9.103689,[22 46] ; [78 65],[32.22748815 35.77251185] ; [67.77251185 75.22748815],0
p8,1,0.005428,7.731061,[32 37] ; [93 47],[41.26794258 27.73205742] ; [83.73205742 56.26794258],0
a3,1,0.011775,6.344509,[49 22] ; [120  23],[56.07009346 14.92990654] ; [112.92990654  30.07009346],0
d1,1,0.027763,4.842717,[39 32] ; [101  43],[46.23255814 24.76744186] ; [93.76744186 50.23255814],0
n2,1,0.034196,4.484881,[14  4] ; [30  1],[16.16326531  1.83673469] ; [27.83673469  3.16326531],0
d4,1,0.03508,4.441277,[58 13] ; [130  12],[62.66666667  8.33333333] ; [125.33333333  16.66666667],0
a5,1,0.035492,4.421337,[51 20] ; [121  23],[56.8 14.2] ; [115.2  28.8],0
n5,1,0.037387,4.332697,[50 20] ; [118  23],[55.73459716 14.26540284] ; [112.26540284  28.73459716],0
p5,1,0.05904,3.564163,[ 9 61] ; [ 34 108],[14.19811321 55.80188679] ; [ 28.80188679 113.19811321],0
s4,1,0.065128,3.401739,[26 43] ; [ 36 106],[20.27488152 48.72511848] ; [ 41.72511848 100.27488152],0
r1,1,0.065722,3.386769,[53 17] ; [122  20],[57.78301887 12.21698113] ; [117.21698113  24.78301887],0
d5,1,0.077934,3.107476,[56 15] ; [125  17],[60.33333333 10.66666667] ; [120.66666667  21.33333333],0
a8,1,0.114238,2.494595,[ 4 58] ; [ 19 114],[ 7.31282051 54.68717949] ; [ 15.68717949 117.31282051],0
p3,1,0.125688,2.344973,[36 35] ; [87 54],[41.19339623 29.80660377] ; [81.80660377 59.19339623],0
s1,1,0.128623,2.309046,[ 6 65] ; [  5 136],[ 3.68396226 67.31603774] ; [  7.31603774 133.68396226],0
a7,1,0.15205,2.051562,[55 16] ; [98 46],[50.5255814 20.4744186] ; [102.4744186  41.5255814],0
b4,1,0.155273,2.019665,[49 22] ; [85 59],[44.25116279 26.74883721] ; [89.74883721 54.25116279],0
p6,1,0.187652,1.735957,[32 39] ; [76 63],[36.51428571 34.48571429] ; [71.48571429 67.51428571],0
p4,1,0.192689,1.696939,[45 26] ; [101  39],[49.12796209 21.87203791] ; [96.87203791 43.12796209],0
n4,1,0.195258,1.677493,[52 19] ; [115  27],[55.66666667 15.33333333] ; [111.33333333  30.66666667],0
p7,1,0.216603,1.526736,[45 22] ; [104  34],[48.69756098 18.30243902] ; [100.30243902  37.69756098],0
n1,1,0.281614,1.159286,[ 7 11] ; [17 14],[8.81632653 9.18367347] ; [15.18367347 15.81632653],0
d2,1,0.286207,1.137379,[33 38] ; [77 65],[36.66666667 34.33333333] ; [73.33333333 68.66666667],0
r4,1,0.299014,1.078587,[65  6] ; [137   7],[66.70697674  4.29302326] ; [135.29302326   8.70697674],0
p12,1,0.315519,1.007432,[ 7 64] ; [ 21 121],[ 9.33333333 61.66666667] ; [ 18.66666667 123.33333333],0
n3,1,0.368066,0.810185,[14  4] ; [21 11],[12.6  5.4] ; [22.4  9.6],0
u3,1,0.402756,0.700081,[14  8] ; [18  6],[15.30434783  6.69565217] ; [16.69565217  7.30434783],0
p2,1,0.424597,0.637558,[62  8] ; [120  22],[60.09433962  9.90566038] ; [121.90566038  20.09433962],0
v4,1,0.451991,0.565654,[67  2] ; [141   2],[67.69811321  1.30188679] ; [140.30188679   2.69811321],0
r2,1,0.45685,0.553602,[68  2] ; [142   2],[68.69158879  1.30841121] ; [141.30841121   2.69158879],0
b1,1,0.468081,0.526503,[24 47] ; [56 88],[26.41860465 44.58139535] ; [53.58139535 90.41860465],0
p1,1,0.513484,0.426961,[ 7 62] ; [ 19 124],[ 8.46226415 60.53773585] ; [ 17.53773585 125.46226415],0
b3,1,0.518475,0.416925,[15 24] ; [41 51],[16.67175573 22.32824427] ; [39.32824427 52.67175573],0
b2,1,0.518475,0.416925,[15 24] ; [41 51],[16.67175573 22.32824427] ; [39.32824427 52.67175573],0
s6,1,0.52112,0.411675,[68  3] ; [132   9],[66.98113208  4.01886792] ; [133.01886792   7.98113208],0
u4,1,0.530967,0.39254,[ 1 70] ; [  4 140],[ 1.65116279 69.34883721] ; [  3.34883721 140.65116279],0
a4,1,0.564269,0.332367,[35 36] ; [77 67],[36.98604651 34.01395349] ; [75.01395349 68.98604651],0
n6,1,0.590987,0.288805,[65  5] ; [126  13],[63.97129187  6.02870813] ; [127.02870813  11.97129187],0
p11,1,0.60379,0.269318,[54 17] ; [114  30],[55.47906977 15.52093023] ; [112.52093023  31.47906977],0
u1,1,0.603846,0.269234,[15 56] ; [ 35 109],[16.51162791 54.48837209] ; [ 33.48837209 110.51162791],0
p9,1,0.614547,0.253607,[64  4] ; [130  11],[63.11961722  4.88038278] ; [130.88038278  10.11961722],0
p10,1,0.632672,0.228455,[61  9] ; [126  15],[62.03791469  7.96208531] ; [124.96208531  16.03791469],0
s3,1,0.636784,0.222973,[64  6] ; [126  15],[63.03317536  6.96682464] ; [126.96682464  14.03317536],0
a6,1,0.685811,0.163657,[47 24] ; [90 52],[45.66666667 25.33333333] ; [91.33333333 50.66666667],0
d3,1,0.720654,0.127866,[51 20] ; [106  37],[52.08878505 18.91121495] ; [104.91121495  38.08878505],0
r3,1,0.753108,0.098938,[66  3] ; [139   5],[66.4084507  2.5915493] ; [138.5915493   5.4084507],0
b5,1,0.780637,0.077556,[40 31] ; [84 60],[40.94883721 30.05116279] ; [83.05116279 60.94883721],0
a2,1,0.797667,0.065724,[20 51] ; [ 43 101],[20.80465116 50.19534884] ; [ 42.19534884 101.80465116],0
a1,1,0.824759,0.04903,[ 5 66] ; [  9 135],[ 4.62325581 66.37674419] ; [  9.37674419 134.62325581],0
u2,1,0.90465,0.014349,[11 10] ; [13 11],[11.2  9.8] ; [12.8 11.2],0
s7,1,0.990276,0.000149,[52 15] ; [107  31],[51.96585366 15.03414634] ; [107.03414634  30.96585366],0
