Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4e-06,21.499603,[111  58] ; [61 92],[90.27329193 78.72670807] ; [81.72670807 71.27329193],1
n5,1,1.8e-05,18.374211,[145  31] ; [99 62],[127.43026706  48.56973294] ; [116.56973294  44.43026706],1
p4,1,0.000697,11.4979,[109  67] ; [70 91],[93.48367953 82.51632047] ; [85.51632047 75.48367953],1
v3,1,0.00137,10.246096,[ 68 100] ; [ 38 121],[ 54.4587156 113.5412844] ; [ 51.5412844 107.4587156],0
p9,1,0.001843,9.69981,[171   4] ; [145  17],[164.09495549  10.90504451] ; [151.90504451  10.09495549],0
n4,1,0.006289,7.465508,[137  39] ; [105  58],[125.64011799  50.35988201] ; [116.35988201  46.64011799],0
s5,1,0.007658,7.111641,[ 53 119] ; [ 28 127],[ 42.60550459 129.39449541] ; [ 38.39449541 116.60550459],0
a4,1,0.011516,6.383943,[82 94] ; [ 54 109],[ 70.60766962 105.39233038] ; [65.39233038 97.60766962],0
p6,1,0.014457,5.981495,[ 59 113] ; [ 36 126],[ 48.92215569 123.07784431] ; [ 46.07784431 115.92215569],0
p8,1,0.014751,5.945995,[101  72] ; [73 89],[89.85671642 83.14328358] ; [84.14328358 77.85671642],0
p3,1,0.015728,5.833065,[85 90] ; [ 58 105],[ 74.03846154 100.96153846] ; [68.96153846 94.03846154],0
b2,1,0.016423,5.757041,[42 59] ; [17 54],[34.64534884 66.35465116] ; [24.35465116 46.64534884],0
b3,1,0.016423,5.757041,[42 59] ; [17 54],[34.64534884 66.35465116] ; [24.35465116 46.64534884],0
a6,1,0.023022,5.166865,[114  62] ; [124  39],[123.56342183  52.43657817] ; [114.43657817  48.56342183],0
d1,1,0.023308,5.145425,[109  67] ; [81 82],[98.64306785 77.35693215] ; [91.35693215 71.64306785],0
u3,1,0.024497,5.059119,[38 23] ; [27 37],[31.72 29.28] ; [33.28 30.72],0
p2,1,0.025704,4.975811,[154  21] ; [128  34],[146.43916914  28.56083086] ; [135.56083086  26.43916914],0
p7,1,0.025811,4.968663,[110  62] ; [83 77],[99.98795181 72.01204819] ; [93.01204819 66.98795181],0
r1,1,0.027672,4.848384,[141  35] ; [113  49],[132.26035503  43.73964497] ; [121.73964497  40.26035503],0
p11,1,0.03663,4.367547,[155  21] ; [130  33],[147.96460177  28.03539823] ; [137.03539823  25.96460177],0
p5,1,0.043812,4.063784,[ 19 156] ; [  8 155],[ 13.97928994 161.02071006] ; [ 13.02071006 149.97928994],0
v4,1,0.044515,4.036915,[169   6] ; [149  14],[164.64497041  10.35502959] ; [153.35502959   9.64497041],0
d5,1,0.061251,3.503172,[147  29] ; [122  40],[140.07100592  35.92899408] ; [128.92899408  33.07100592],0
r2,1,0.093954,2.805287,[165   9] ; [144  16],[160.9760479  13.0239521] ; [148.0239521  11.9760479],0
d3,1,0.118826,2.432729,[114  62] ; [117  44],[120.64094955  55.35905045] ; [110.35905045  50.64094955],0
a5,1,0.125914,2.342174,[129  47] ; [107  56],[122.52507375  53.47492625] ; [113.47492625  49.52507375],0
r4,1,0.15302,2.041881,[159  17] ; [139  24],[154.71386431  21.28613569] ; [143.28613569  19.71386431],0
s8,1,0.16982,1.884528,[ 42 134] ; [ 29 134],[ 36.86135693 139.13864307] ; [ 34.13864307 128.86135693],0
n6,1,0.179292,1.803487,[152  24] ; [132  31],[147.44542773  28.55457227] ; [136.55457227  26.44542773],0
s6,1,0.240318,1.378731,[96 76] ; [79 81],[90.6626506 81.3373494] ; [84.3373494 75.6626506],0
a3,1,0.267712,1.228434,[115  61] ; [97 66],[110.06489676  65.93510324] ; [101.93510324  61.06489676],0
s4,1,0.37371,0.791292,[ 23 150] ; [ 27 134],[ 25.89820359 147.10179641] ; [ 24.10179641 136.89820359],0
