Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,61.246948,[106  13] ; [ 6 24],[89.44966443 29.55033557] ; [22.55033557  7.44966443],1
n6,1,7e-05,15.807789,[109  10] ; [19 11],[102.22818792  16.77181208] ; [25.77181208  4.22818792],1
p10,1,0.000604,11.764068,[94 24] ; [14 15],[86.69387755 31.30612245] ; [21.30612245  7.69387755],1
p11,1,0.000621,11.710666,[90 29] ; [13 17],[82.26174497 36.73825503] ; [20.73825503  9.26174497],1
p9,1,0.001178,10.524995,[100  17] ; [17 12],[93.76027397 23.23972603] ; [23.23972603  5.76027397],0
s7,1,0.003026,8.791657,[58 52] ; [ 6 22],[51.01449275 58.98550725] ; [12.98550725 15.01449275],0
d2,1,0.003729,8.411353,[74 44] ; [10 20],[66.97297297 51.02702703] ; [17.02702703 12.97297297],0
a4,1,0.010023,6.630874,[63 56] ; [ 8 22],[56.70469799 62.29530201] ; [14.29530201 15.70469799],0
r4,1,0.010563,6.537352,[108  11] ; [22  8],[103.82550336  15.17449664] ; [26.17449664  3.82550336],0
p2,1,0.016626,5.735441,[99 20] ; [19 11],[94.24161074 24.75838926] ; [23.75838926  6.24161074],0
a5,1,0.016741,5.723366,[93 26] ; [17 13],[87.85234899 31.14765101] ; [22.14765101  7.85234899],0
s8,1,0.036703,4.364133,[56 61] ; [ 8 22],[50.93877551 66.06122449] ; [13.06122449 16.93877551],0
p6,1,0.046527,3.962404,[32 85] ; [ 3 27],[27.85714286 89.14285714] ; [ 7.14285714 22.85714286],0
u1,1,0.047601,3.924017,[27 92] ; [ 2 28],[23.16107383 95.83892617] ; [ 5.83892617 24.16107383],0
a3,1,0.064699,3.412639,[81 38] ; [15 15],[76.67114094 42.32885906] ; [19.32885906 10.67114094],0
n1,1,0.071488,3.248513,[15 12] ; [ 4 11],[12.21428571 14.78571429] ; [6.78571429 8.21428571],0
n3,1,0.100599,2.696021,[21  6] ; [8 7],[18.64285714  8.35714286] ; [10.35714286  4.64285714],0
s6,1,0.120385,2.412308,[87 30] ; [18 12],[83.57142857 33.42857143] ; [21.42857143  8.57142857],0
u3,1,0.13062,2.285123,[22 16] ; [12  3],[24.37735849 13.62264151] ; [9.62264151 5.37735849],0
s3,1,0.138144,2.198517,[64 52] ; [12 18],[60.38356164 55.61643836] ; [15.61643836 14.38356164],0
p3,1,0.154885,2.023465,[72 46] ; [14 16],[68.56756757 49.43243243] ; [17.43243243 12.56756757],0
p1,1,0.170188,1.881287,[ 14 105] ; [ 1 29],[ 11.97986577 107.02013423] ; [ 3.02013423 26.97986577],0
p12,1,0.170188,1.881287,[ 14 105] ; [ 1 29],[ 11.97986577 107.02013423] ; [ 3.02013423 26.97986577],0
b5,1,0.183786,1.76674,[79 40] ; [16 14],[75.87248322 43.12751678] ; [19.12751678 10.87248322],0
a2,1,0.224242,1.477015,[28 91] ; [ 4 26],[25.55704698 93.44295302] ; [ 6.44295302 23.55704698],0
b1,1,0.22908,1.446566,[50 69] ; [ 9 21],[47.12080537 71.87919463] ; [11.87919463 18.12080537],0
r2,1,0.240299,1.378841,[110   8] ; [26  4],[108.43243243   9.56756757] ; [27.56756757  2.43243243],0
a8,1,0.246969,1.340368,[12 93] ; [ 1 25],[10.41984733 94.58015267] ; [ 2.58015267 23.41984733],0
s2,1,0.292845,1.106494,[66 49] ; [14 16],[63.44827586 51.55172414] ; [16.55172414 13.44827586],0
r3,1,0.308345,1.037753,[113   6] ; [27  3],[111.81208054   7.18791946] ; [28.18791946  1.81208054],0
d1,1,0.320302,0.987711,[79 40] ; [17 13],[76.67114094 42.32885906] ; [19.32885906 10.67114094],0
v1,1,0.378668,0.775022,[61 52] ; [13 16],[58.88732394 54.11267606] ; [15.11267606 13.88732394],0
p5,1,0.55013,0.357085,[ 12 105] ; [ 2 28],[ 11.14285714 105.85714286] ; [ 2.85714286 27.14285714],0
a1,1,0.564659,0.331702,[  2 117] ; [ 1 29],[  2.39597315 116.60402685] ; [ 0.60402685 29.39597315],0
r1,1,0.577863,0.309702,[92 27] ; [21  8],[90.85810811 28.14189189] ; [22.14189189  6.85810811],0
v2,1,0.616873,0.250288,[62 54] ; [17 12],[63.2 52.8] ; [15.8 13.2],0
u2,1,0.63213,0.229184,[23 15] ; [8 7],[22.22641509 15.77358491] ; [8.77358491 6.22641509],0
p8,1,0.685383,0.164129,[40 78] ; [ 9 21],[39.06756757 78.93243243] ; [ 9.93243243 20.06756757],0
d3,1,0.700443,0.148012,[83 36] ; [22  8],[83.8590604 35.1409396] ; [21.1409396  8.8590604],0
s5,1,0.708962,0.139316,[30 79] ; [ 9 20],[30.80434783 78.19565217] ; [ 8.19565217 20.80434783],0
v3,1,0.746056,0.104875,[40 73] ; [ 9 19],[39.26950355 73.73049645] ; [ 9.73049645 18.26950355],0
b4,1,0.776397,0.080666,[72 47] ; [19 11],[72.67785235 46.32214765] ; [18.32214765 11.67785235],0
d4,1,0.817026,0.053533,[97 22] ; [25  5],[97.43624161 21.56375839] ; [24.56375839  5.43624161],0
d5,1,0.834664,0.043566,[101  18] ; [25  5],[100.63087248  18.36912752] ; [25.36912752  4.63087248],0
