Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,96.38565,[232  71] ; [ 5 51],[200.03064067 102.96935933] ; [36.96935933 19.03064067],1
d4,1,0.0,48.026188,[278  25] ; [32 24],[261.64345404  41.35654596] ; [48.35654596  7.64345404],1
a4,1,1e-06,23.866066,[172 130] ; [12 44],[155.21787709 146.78212291] ; [28.78212291 27.21787709],1
d2,1,7e-06,20.259854,[190 113] ; [17 39],[174.71030641 128.28969359] ; [32.28969359 23.71030641],1
d3,1,6e-05,16.113619,[239  64] ; [30 26],[227.03899721  75.96100279] ; [41.96100279 14.03899721],1
u1,1,0.000228,13.581136,[ 94 209] ; [ 4 52],[ 82.71309192 220.28690808] ; [15.28690808 40.71309192],1
a2,1,0.001169,10.538931,[104 199] ; [ 7 49],[ 93.68523677 209.31476323] ; [17.31476323 38.68523677],0
p1,1,0.003092,8.752502,[ 25 276] ; [12 44],[ 31.19607843 269.80392157] ; [ 5.80392157 50.19607843],0
r3,1,0.005822,7.604557,[295   6] ; [51  5],[291.7254902   9.2745098] ; [54.2745098  1.7254902],0
n4,1,0.015429,5.866808,[264  38] ; [42 14],[258.13407821  43.86592179] ; [47.86592179  8.13407821],0
a3,1,0.024381,5.067301,[257  44] ; [41 15],[251.25490196  49.74509804] ; [46.74509804  9.25490196],0
r2,1,0.055431,3.669078,[294   7] ; [52  4],[291.7254902   9.2745098] ; [54.2745098  1.7254902],0
s6,1,0.056538,3.636122,[260  40] ; [43 13],[255.33707865  44.66292135] ; [47.66292135  8.33707865],0
p4,1,0.077135,3.124248,[209  93] ; [32 24],[203.30167598  98.69832402] ; [37.69832402 18.30167598],0
p8,1,0.079532,3.074449,[164 133] ; [38 18],[169.95467422 127.04532578] ; [32.04532578 23.95467422],0
a5,1,0.102963,2.659042,[250  53] ; [41 15],[245.60724234  57.39275766] ; [45.39275766 10.60724234],0
b1,1,0.12177,2.394402,[118 185] ; [28 28],[123.22562674 179.77437326] ; [22.77437326 33.22562674],0
b2,1,0.133902,2.246675,[ 87 126] ; [20 17],[ 91.164 121.836] ; [15.836 21.164],0
b3,1,0.133902,2.246675,[ 87 126] ; [20 17],[ 91.164 121.836] ; [15.836 21.164],0
v4,1,0.140361,2.173993,[295   6] ; [53  3],[293.41176471   7.58823529] ; [54.58823529  1.41176471],0
v2,1,0.148159,2.091106,[189 106] ; [29 25],[184.26934097 110.73065903] ; [33.73065903 20.26934097],0
s2,1,0.17253,1.860823,[226  76] ; [37 19],[221.8603352  80.1396648] ; [41.1396648 14.8603352],0
