Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.275,[95  5] ; [5 5],[90.90909091  9.09090909] ; [9.09090909 0.90909091],1
v4,1,5.6e-05,16.246039,[97  2] ; [7 3],[94.4587156  4.5412844] ; [9.5412844 0.4587156],1
n2,1,0.000772,11.307692,[24  2] ; [1 3],[21.66666667  4.33333333] ; [3.33333333 0.66666667],1
r1,1,0.003441,8.55726,[80 19] ; [4 6],[76.29357798 22.70642202] ; [7.70642202 2.29357798],0
r3,1,0.0037,8.425245,[95  5] ; [7 3],[92.72727273  7.27272727] ; [9.27272727 0.72727273],0
n6,1,0.011495,6.387108,[88 11] ; [6 4],[85.37614679 13.62385321] ; [8.62385321 1.37614679],0
s3,1,0.026533,4.920939,[65 34] ; [3 7],[61.76146789 37.23853211] ; [6.23853211 3.76146789],0
u2,1,0.040128,4.212454,[17 22] ; [6 1],[19.5 19.5] ; [3.5 3.5],0
a3,1,0.052956,3.745308,[61 38] ; [3 7],[58.12844037 40.87155963] ; [5.87155963 4.12844037],0
s2,1,0.053886,3.716216,[70 30] ; [4 6],[67.27272727 32.72727273] ; [6.72727273 3.27272727],0
n3,1,0.057579,3.605769,[19  7] ; [1 3],[17.33333333  8.66666667] ; [2.66666667 1.33333333],0
d2,1,0.060632,3.52,[16 84] ; [4 6],[18.18181818 81.81818182] ; [1.81818182 8.18181818],0
d4,1,0.086898,2.930921,[63 37] ; [9 1],[65.45454545 34.54545455] ; [6.54545455 3.45454545],0
n5,1,0.094941,2.788529,[74 25] ; [5 5],[71.75229358 27.24770642] ; [7.24770642 2.75229358],0
v2,1,0.155864,2.013906,[53 46] ; [3 7],[50.86238532 48.13761468] ; [5.13761468 4.86238532],0
p9,1,0.166498,1.914196,[83 13] ; [7 3],[81.50943396 14.49056604] ; [8.49056604 1.50943396],0
a5,1,0.221509,1.494565,[60 40] ; [4 6],[58.18181818 41.81818182] ; [5.81818182 4.18181818],0
p11,1,0.262299,1.256582,[74 26] ; [9 1],[75.45454545 24.54545455] ; [7.54545455 2.45454545],0
p4,1,0.277941,1.177132,[51 47] ; [7 3],[52.62962963 45.37037037] ; [5.37037037 4.62962963],0
n4,1,0.31452,1.0116,[74 25] ; [6 4],[72.66055046 26.33944954] ; [7.33944954 2.66055046],0
p12,1,0.340532,0.908428,[10 89] ; [2 8],[10.89908257 88.10091743] ; [1.10091743 8.89908257],0
a7,1,0.419787,0.65091,[63 37] ; [5 5],[61.81818182 38.18181818] ; [6.18181818 3.81818182],0
b1,1,0.426823,0.631454,[43 57] ; [3 7],[41.81818182 58.18181818] ; [4.18181818 5.81818182],0
p10,1,0.44874,0.573832,[77 19] ; [7 3],[76.0754717 19.9245283] ; [7.9245283 2.0754717],0
n1,1,0.473763,0.513186,[11 14] ; [1 3],[10.34482759 14.65517241] ; [1.65517241 2.34482759],0
b4,1,0.498404,0.458333,[59 41] ; [7 3],[60. 40.] ; [6. 4.],0
b5,1,0.507122,0.44,[51 49] ; [4 6],[50. 50.] ; [5. 5.],0
a8,1,0.520541,0.412821,[17 77] ; [1 9],[16.26923077 77.73076923] ; [1.73076923 8.26923077],0
p5,1,0.534561,0.385714,[21 77] ; [3 7],[21.77777778 76.22222222] ; [2.22222222 7.77777778],0
p6,1,0.574708,0.314869,[40 58] ; [5 5],[40.83333333 57.16666667] ; [4.16666667 5.83333333],0
s6,1,0.5771,0.310946,[83 13] ; [8 2],[82.41509434 13.58490566] ; [8.58490566 1.41509434],0
v3,1,0.601957,0.272054,[38 61] ; [3 7],[37.23853211 61.76146789] ; [3.76146789 6.23853211],0
p3,1,0.608679,0.262103,[48 51] ; [4 6],[47.2293578 51.7706422] ; [4.7706422 5.2293578],0
a1,1,0.621257,0.244105,[ 6 94] ; [1 9],[ 6.36363636 93.63636364] ; [0.63636364 9.36363636],0
s4,1,0.743312,0.107237,[25 74] ; [3 7],[25.43119266 73.56880734] ; [2.56880734 7.43119266],0
p8,1,0.757545,0.095299,[54 44] ; [5 5],[53.53703704 44.46296296] ; [5.46296296 4.53703704],0
s8,1,0.783382,0.075578,[45 54] ; [5 5],[45.41284404 53.58715596] ; [4.58715596 5.41284404],0
p1,1,0.835369,0.043189,[12 86] ; [1 9],[11.7962963 86.2037037] ; [1.2037037 8.7962963],0
a6,1,0.856229,0.032825,[53 47] ; [5 5],[52.72727273 47.27272727] ; [5.27272727 4.72727273],0
u3,1,0.871908,0.025997,[21 18] ; [4 3],[21.19565217 17.80434783] ; [3.80434783 3.19565217],0
b2,1,0.877076,0.023925,[19 33] ; [2 4],[18.82758621 33.17241379] ; [2.17241379 3.82758621],0
b3,1,0.877076,0.023925,[19 33] ; [2 4],[18.82758621 33.17241379] ; [2.17241379 3.82758621],0
d3,1,0.901219,0.015406,[38 62] ; [4 6],[38.18181818 61.81818182] ; [3.81818182 6.18181818],0
s7,1,0.916229,0.011064,[58 36] ; [6 4],[57.84615385 36.15384615] ; [6.15384615 3.84615385],0
d5,1,0.951101,0.003761,[59 41] ; [6 4],[59.09090909 40.90909091] ; [5.90909091 4.09090909],0
p7,1,0.951766,0.003659,[67 30] ; [7 3],[67.08411215 29.91588785] ; [6.91588785 3.08411215],0
p2,1,0.962832,0.002172,[79 19] ; [8 2],[78.94444444 19.05555556] ; [8.05555556 1.94444444],0
v1,1,1.0,0.0,[49 49] ; [5 5],[49. 49.] ; [5. 5.],0
