Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.7e-05,17.032938,[ 7 50] ; [16 14],[15.06896552 41.93103448] ; [ 7.93103448 22.06896552],1
p6,1,0.000502,12.109196,[ 4 53] ; [11 19],[ 9.82758621 47.17241379] ; [ 5.17241379 24.82758621],1
s2,1,0.000576,11.853448,[ 9 49] ; [15 15],[15.81818182 42.18181818] ; [ 8.18181818 21.81818182],1
p4,1,0.00077,11.311669,[13 45] ; [18 13],[20.20224719 37.79775281] ; [10.79775281 20.20224719],1
p2,1,0.000984,10.856705,[23 35] ; [23  7],[30.31818182 27.68181818] ; [15.68181818 14.31818182],1
s3,1,0.000986,10.853248,[13 44] ; [17 12],[19.88372093 37.11627907] ; [10.11627907 18.88372093],1
s6,1,0.002489,9.148627,[11 47] ; [15 15],[17.13636364 40.86363636] ; [ 8.86363636 21.13636364],0
u2,1,0.009954,6.643137,[ 7 20] ; [10  5],[10.92857143 16.07142857] ; [6.07142857 8.92857143],0
p3,1,0.014084,6.027597,[ 9 49] ; [12 19],[13.68539326 44.31460674] ; [ 7.31460674 23.68539326],0
p11,1,0.016683,5.729398,[22 36] ; [20 11],[27.37078652 30.62921348] ; [14.62921348 16.37078652],0
p10,1,0.030291,4.69268,[23 34] ; [20 11],[27.85227273 29.14772727] ; [15.14772727 15.85227273],0
a6,1,0.037527,4.326351,[24 34] ; [20 11],[28.6741573 29.3258427] ; [15.3258427 15.6741573],0
d1,1,0.038435,4.285666,[26 32] ; [ 7 24],[21.50561798 36.49438202] ; [11.49438202 19.50561798],0
b4,1,0.043167,4.088867,[39 19] ; [14 17],[34.53932584 23.46067416] ; [18.46067416 12.53932584],0
b2,1,0.045497,4.000131,[17 20] ; [ 3 14],[13.7037037 23.2962963] ; [ 6.2962963 10.7037037],0
b3,1,0.045497,4.000131,[17 20] ; [ 3 14],[13.7037037 23.2962963] ; [ 6.2962963 10.7037037],0
b5,1,0.07658,3.136033,[26 32] ; [20 11],[29.97752809 28.02247191] ; [16.02247191 14.97752809],0
n6,1,0.091651,2.845135,[37 21] ; [13 16],[33.33333333 24.66666667] ; [16.66666667 12.33333333],0
s7,1,0.092745,2.82607,[12 43] ; [11 17],[15.24096386 39.75903614] ; [ 7.75903614 20.24096386],0
s4,1,0.105867,2.614862,[10 48] ; [10 21],[13.03370787 44.96629213] ; [ 6.96629213 24.03370787],0
v4,1,0.125174,2.351351,[30 28] ; [20  9],[33.33333333 24.66666667] ; [16.66666667 12.33333333],0
a4,1,0.126809,2.331143,[22 35] ; [ 7 24],[18.78409091 38.21590909] ; [10.21590909 20.78409091],0
p9,1,0.147524,2.09767,[23 32] ; [18 13],[26.22093023 28.77906977] ; [14.77906977 16.22093023],0
r3,1,0.14896,2.082867,[26 31] ; [18 11],[29.1627907 27.8372093] ; [14.8372093 14.1627907],0
d4,1,0.165937,1.919273,[38 19] ; [16 15],[34.97727273 22.02272727] ; [19.02272727 11.97727273],0
p5,1,0.208217,1.583781,[ 2 56] ; [ 3 27],[ 3.29545455 54.70454545] ; [ 1.70454545 28.29545455],0
n3,1,0.220095,1.503751,[10 17] ; [9 7],[11.93023256 15.06976744] ; [7.06976744 8.93023256],0
s1,1,0.224028,1.478383,[ 2 56] ; [ 3 28],[ 3.25842697 54.74157303] ; [ 1.74157303 29.25842697],0
a7,1,0.2645,1.245048,[26 31] ; [18 13],[28.5 28.5] ; [15.5 15.5],0
p1,1,0.296085,1.091745,[ 8 50] ; [ 2 29],[ 6.51685393 51.48314607] ; [ 3.48314607 27.51685393],0
s8,1,0.320271,0.987841,[ 7 51] ; [ 6 24],[ 8.56818182 49.43181818] ; [ 4.43181818 25.56818182],0
a2,1,0.402344,0.701311,[ 7 51] ; [ 2 29],[ 5.86516854 52.13483146] ; [ 3.13483146 27.86516854],0
d2,1,0.406142,0.690067,[25 31] ; [11 20],[23.17241379 32.82758621] ; [12.82758621 18.17241379],0
d5,1,0.409974,0.678876,[37 21] ; [17 14],[35.19101124 22.80898876] ; [18.80898876 12.19101124],0
a8,1,0.421795,0.645308,[ 3 51] ; [ 3 26],[ 3.90361446 50.09638554] ; [ 2.09638554 26.90361446],0
n1,1,0.462941,0.538776,[10 18] ; [ 4 12],[ 8.90909091 19.09090909] ; [ 5.09090909 10.90909091],0
u1,1,0.473679,0.51338,[ 4 54] ; [ 1 30],[ 3.25842697 54.74157303] ; [ 1.74157303 29.25842697],0
u3,1,0.511939,0.430102,[ 6 21] ; [ 5 11],[ 6.90697674 20.09302326] ; [ 4.09302326 11.90697674],0
s5,1,0.527664,0.398889,[ 9 48] ; [ 3 25],[ 8.04705882 48.95294118] ; [ 3.95294118 24.04705882],0
n2,1,0.530801,0.392857,[13 15] ; [9 7],[14. 14.] ; [8. 8.],0
r2,1,0.567224,0.32735,[30 26] ; [18 12],[31.25581395 24.74418605] ; [16.74418605 13.25581395],0
a3,1,0.590455,0.289635,[31 26] ; [15 16],[29.79545455 27.20454545] ; [16.20454545 14.79545455],0
r1,1,0.605339,0.267019,[18 40] ; [ 8 23],[16.94382022 41.05617978] ; [ 9.05617978 21.94382022],0
b1,1,0.648946,0.207232,[27 31] ; [16 15],[28.02247191 29.97752809] ; [14.97752809 16.02247191],0
n5,1,0.713912,0.134401,[39 19] ; [19 11],[38.22727273 19.77272727] ; [19.77272727 10.22727273],0
a5,1,0.764178,0.089999,[28 30] ; [16 15],[28.6741573 29.3258427] ; [15.3258427 15.6741573],0
n4,1,0.83458,0.04361,[35 23] ; [18 13],[34.53932584 23.46067416] ; [18.46067416 12.53932584],0
v2,1,0.851119,0.035228,[16 40] ; [ 8 22],[15.62790698 40.37209302] ; [ 8.37209302 21.62790698],0
d3,1,0.878105,0.023523,[28 30] ; [15 15],[28.34090909 29.65909091] ; [14.65909091 15.34090909],0
v3,1,0.893752,0.017838,[10 48] ; [ 5 26],[ 9.7752809 48.2247191] ; [ 5.2247191 25.7752809],0
