Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.002149,9.418118,[46 40] ; [ 6 23],[38.88695652 47.11304348] ; [13.11304348 15.88695652],0
p4,1,0.003836,8.360081,[19 67] ; [15 15],[25.20689655 60.79310345] ; [ 8.79310345 21.20689655],0
s2,1,0.0087,6.883345,[26 61] ; [17 13],[31.97435897 55.02564103] ; [11.02564103 18.97435897],0
s8,1,0.010733,6.508966,[15 72] ; [12 18],[20.07692308 66.92307692] ; [ 6.92307692 23.07692308],0
s6,1,0.011586,6.3731,[29 57] ; [18 12],[34.84482759 51.15517241] ; [12.15517241 17.84482759],0
p1,1,0.01418,6.015647,[ 3 83] ; [ 5 25],[ 5.93103448 80.06896552] ; [ 2.06896552 27.93103448],0
b1,1,0.01743,5.652558,[42 45] ; [22  8],[47.58974359 39.41025641] ; [16.41025641 13.58974359],0
p6,1,0.018887,5.511983,[ 8 77] ; [ 8 22],[11.82608696 73.17391304] ; [ 4.17391304 25.82608696],0
d2,1,0.022194,5.230514,[31 55] ; [18 12],[36.32758621 49.67241379] ; [12.67241379 17.32758621],0
a5,1,0.022334,5.219612,[46 41] ; [23  7],[51.30769231 35.69230769] ; [17.69230769 12.30769231],0
r4,1,0.027315,4.870795,[50 37] ; [24  6],[55.02564103 31.97435897] ; [18.97435897 11.02564103],0
r2,1,0.030776,4.665426,[68 17] ; [29  1],[71.69565217 13.30434783] ; [25.30434783  4.69565217],0
d4,1,0.033185,4.536185,[60 25] ; [27  3],[64.30434783 20.69565217] ; [22.69565217  7.30434783],0
p7,1,0.033699,4.50989,[24 60] ; [15 15],[28.73684211 55.26315789] ; [10.26315789 19.73684211],0
p2,1,0.034743,4.457757,[44 42] ; [22  8],[48.93103448 37.06896552] ; [17.06896552 12.93103448],0
u3,1,0.036429,4.376906,[16 16] ; [8 1],[18.73170732 13.26829268] ; [5.26829268 3.73170732],0
n3,1,0.045074,4.015883,[24 17] ; [10  1],[26.80769231 14.19230769] ; [7.19230769 3.80769231],0
s7,1,0.059434,3.553121,[19 60] ; [12 16],[22.88785047 56.11214953] ; [ 8.11214953 19.88785047],0
s4,1,0.072522,3.224986,[11 76] ; [ 8 22],[14.12820513 72.87179487] ; [ 4.87179487 25.12820513],0
s3,1,0.100266,2.701313,[39 46] ; [19 11],[42.86956522 42.13043478] ; [15.13043478 14.86956522],0
s5,1,0.143746,2.137389,[12 71] ; [ 7 19],[14.46788991 68.53211009] ; [ 4.53211009 21.46788991],0
v1,1,0.155925,2.013305,[30 55] ; [15 15],[33.26086957 51.73913043] ; [11.73913043 18.26086957],0
d1,1,0.173578,1.851767,[34 53] ; [16 14],[37.17948718 49.82051282] ; [12.82051282 17.17948718],0
b3,1,0.184667,1.759657,[12 35] ; [ 8 11],[14.24242424 32.75757576] ; [ 5.75757576 13.24242424],0
b2,1,0.184667,1.759657,[12 35] ; [ 8 11],[14.24242424 32.75757576] ; [ 5.75757576 13.24242424],0
r3,1,0.232292,1.426771,[63 24] ; [25  5],[65.43589744 21.56410256] ; [22.56410256  7.43589744],0
a1,1,0.236219,1.40302,[ 9 78] ; [ 1 29],[ 7.43589744 79.56410256] ; [ 2.56410256 27.43589744],0
p5,1,0.261857,1.258915,[ 2 84] ; [ 2 28],[ 2.96551724 83.03448276] ; [ 1.03448276 28.96551724],0
p9,1,0.277491,1.179336,[47 38] ; [20 10],[49.52173913 35.47826087] ; [17.47826087 12.52173913],0
a2,1,0.292466,1.108235,[13 74] ; [ 7 23],[14.87179487 72.12820513] ; [ 5.12820513 24.87179487],0
v4,1,0.30592,1.048207,[63 22] ; [25  5],[65.04347826 19.95652174] ; [22.95652174  7.04347826],0
a7,1,0.320552,0.986694,[49 38] ; [20 10],[51.30769231 35.69230769] ; [17.69230769 12.30769231],0
d5,1,0.408981,0.68176,[56 30] ; [22  8],[57.82758621 28.17241379] ; [20.17241379  9.82758621],0
n1,1,0.489194,0.478299,[14 27] ; [5 6],[14.98076923 26.01923077] ; [4.01923077 6.98076923],0
n2,1,0.538014,0.379233,[27 16] ; [8 3],[27.87037037 15.12962963] ; [7.12962963 3.87037037],0
a3,1,0.548547,0.359927,[55 31] ; [21  9],[56.34482759 29.65517241] ; [19.65517241 10.34482759],0
s1,1,0.58936,0.291344,[ 5 80] ; [ 1 29],[ 4.43478261 80.56521739] ; [ 1.56521739 28.43478261],0
v2,1,0.61525,0.2526,[29 53] ; [11 16],[30.09174312 51.90825688] ; [ 9.90825688 17.09174312],0
p11,1,0.639985,0.218761,[42 45] ; [13 17],[40.8974359 46.1025641] ; [14.1025641 15.8974359],0
n4,1,0.645647,0.211433,[48 39] ; [18 12],[49.07692308 37.92307692] ; [16.92307692 13.07692308],0
b5,1,0.645647,0.211433,[48 39] ; [18 12],[49.07692308 37.92307692] ; [16.92307692 13.07692308],0
d3,1,0.736805,0.112954,[48 37] ; [18 12],[48.7826087 36.2173913] ; [17.2173913 12.7826087],0
u1,1,0.741321,0.108969,[ 7 80] ; [ 3 27],[ 7.43589744 79.56410256] ; [ 2.56410256 27.43589744],0
a4,1,0.765705,0.088802,[35 52] ; [13 17],[35.69230769 51.30769231] ; [12.30769231 17.69230769],0
