Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.529948,[ 3 22] ; [29 11],[12.30769231 12.69230769] ; [19.69230769 20.30769231],1
r3,1,1.4e-05,18.901139,[ 8 17] ; [34  6],[16.15384615  8.84615385] ; [25.84615385 14.15384615],1
p11,1,0.000923,10.975785,[ 2 23] ; [19 21],[ 8.07692308 16.92307692] ; [12.92307692 27.07692308],1
p10,1,0.001032,10.769878,[ 3 21] ; [21 18],[ 9.14285714 14.85714286] ; [14.85714286 24.14285714],0
s2,1,0.003254,8.659223,[ 3 22] ; [19 21],[ 8.46153846 16.53846154] ; [13.53846154 26.46153846],0
r1,1,0.00367,8.44018,[ 9 16] ; [29 11],[14.61538462 10.38461538] ; [23.38461538 16.61538462],0
u2,1,0.004523,8.060739,[3 8] ; [11  2],[6.41666667 4.58333333] ; [7.58333333 5.41666667],0
n4,1,0.022507,5.20619,[16  9] ; [14 26],[11.53846154 13.46153846] ; [18.46153846 21.53846154],0
p9,1,0.03513,4.438826,[ 7 17] ; [22 17],[11.04761905 12.95238095] ; [17.95238095 21.04761905],0
r2,1,0.039672,4.231837,[15  9] ; [34  6],[18.375  5.625] ; [30.625  9.375],0
s6,1,0.054999,3.682116,[ 4 21] ; [15 24],[ 7.421875 17.578125] ; [11.578125 27.421875],0
p1,1,0.057703,3.602217,[ 5 20] ; [ 2 38],[ 2.69230769 22.30769231] ; [ 4.30769231 35.69230769],0
a1,1,0.060957,3.511161,[ 6 19] ; [ 3 37],[ 3.46153846 21.53846154] ; [ 5.53846154 34.46153846],0
n3,1,0.062197,3.47782,[5 9] ; [13  6],[7.63636364 6.36363636] ; [10.36363636  8.63636364],0
b5,1,0.070353,3.274762,[ 8 17] ; [22 18],[11.53846154 13.46153846] ; [18.46153846 21.53846154],0
s3,1,0.09265,2.827712,[ 8 16] ; [22 18],[11.25 12.75] ; [18.75 21.25],0
p7,1,0.097562,2.744954,[ 4 21] ; [13 24],[ 6.85483871 18.14516129] ; [10.14516129 26.85483871],0
d3,1,0.110924,2.541007,[ 9 16] ; [22 17],[12.109375 12.890625] ; [18.890625 20.109375],0
s7,1,0.123053,2.378029,[ 3 20] ; [11 25],[ 5.45762712 17.54237288] ; [ 8.54237288 27.45762712],0
v2,1,0.125726,2.344498,[ 6 18] ; [16 20],[ 8.8 15.2] ; [13.2 22.8],0
v1,1,0.136958,2.211806,[ 5 20] ; [15 25],[ 7.69230769 17.30769231] ; [12.30769231 27.69230769],0
n1,1,0.163359,1.942857,[9 5] ; [ 8 12],[7. 7.] ; [10. 10.],0
d5,1,0.164775,1.929846,[13 12] ; [27 12],[15.625  9.375] ; [24.375 14.625],0
d2,1,0.169084,1.891044,[14 11] ; [15 24],[11.328125 13.671875] ; [17.671875 21.328125],0
b3,1,0.202479,1.624402,[9 9] ; [ 7 16],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
b2,1,0.202479,1.624402,[9 9] ; [ 7 16],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
p8,1,0.228855,1.447964,[ 3 21] ; [10 30],[ 4.875 19.125] ; [ 8.125 31.875],0
n2,1,0.324127,0.972222,[7 7] ; [14  7],[8.4 5.6] ; [12.6  8.4],0
d4,1,0.326846,0.961354,[15 10] ; [28 11],[16.796875  8.203125] ; [26.203125 12.796875],0
a8,1,0.4033,0.698465,[ 2 23] ; [ 6 34],[ 3.07692308 21.92307692] ; [ 4.92307692 35.07692308],0
a6,1,0.442122,0.590769,[11 14] ; [21 18],[12.5 12.5] ; [19.5 19.5],0
a3,1,0.459352,0.547473,[14 10] ; [27 13],[15.375  8.625] ; [25.625 14.375],0
p4,1,0.492359,0.471368,[ 4 21] ; [ 9 30],[ 5.078125 19.921875] ; [ 7.921875 31.078125],0
s1,1,0.497864,0.459487,[ 4 21] ; [ 4 35],[ 3.125 21.875] ; [ 4.875 34.125],0
p6,1,0.523913,0.406184,[ 2 23] ; [ 5 33],[ 2.77777778 22.22222222] ; [ 4.22222222 33.77777778],0
n5,1,0.583184,0.301115,[12 13] ; [16 23],[10.9375 14.0625] ; [17.0625 21.9375],0
a5,1,0.602773,0.270833,[14 11] ; [25 15],[15. 10.] ; [24. 16.],0
b4,1,0.72405,0.124645,[13 12] ; [19 21],[12.30769231 12.69230769] ; [19.69230769 20.30769231],0
b1,1,0.783025,0.075833,[14 11] ; [21 19],[13.46153846 11.53846154] ; [21.53846154 18.46153846],0
s4,1,0.800222,0.064039,[ 3 22] ; [ 4 36],[ 2.69230769 22.30769231] ; [ 4.30769231 35.69230769],0
p3,1,0.837472,0.042078,[ 5 20] ; [ 7 32],[ 4.6875 20.3125] ; [ 7.3125 31.6875],0
d1,1,0.842274,0.039596,[10 15] ; [17 23],[10.38461538 14.61538462] ; [16.61538462 23.38461538],0
a4,1,0.905423,0.014117,[11 14] ; [17 23],[10.76923077 14.23076923] ; [17.23076923 22.76923077],0
a2,1,0.913431,0.011818,[ 4 21] ; [ 6 34],[ 3.84615385 21.15384615] ; [ 6.15384615 33.84615385],0
s5,1,0.945805,0.004621,[ 3 22] ; [ 4 31],[ 2.91666667 22.08333333] ; [ 4.08333333 30.91666667],0
a7,1,0.968679,0.001542,[13 12] ; [21 19],[13.07692308 11.92307692] ; [20.92307692 19.07692308],0
v3,1,1.0,0.0,[ 6 18] ; [ 9 27],[ 6. 18.] ; [ 9. 27.],0
