Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.6e-05,17.0678,[10 44] ; [10  3],[16.11940299 37.88059701] ; [3.88059701 9.11940299],1
s8,1,0.000167,14.167148,[ 5 49] ; [7 6],[ 9.67164179 44.32835821] ; [ 2.32835821 10.67164179],1
p8,1,0.000271,13.263033,[10 44] ; [9 4],[15.31343284 38.68656716] ; [3.68656716 9.31343284],1
r1,1,0.001005,10.818987,[15 39] ; [10  3],[20.14925373 33.85074627] ; [4.85074627 8.14925373],0
n6,1,0.001274,10.379359,[23 31] ; [12  1],[28.20895522 25.79104478] ; [6.79104478 6.20895522],0
s5,1,0.003523,8.514756,[ 6 47] ; [6 7],[ 9.63636364 43.36363636] ; [ 2.36363636 10.63636364],0
s2,1,0.008591,6.905929,[10 44] ; [7 6],[13.70149254 40.29850746] ; [3.29850746 9.70149254],0
p9,1,0.010323,6.578273,[19 32] ; [10  3],[23.109375 27.890625] ; [5.890625 7.109375],0
p3,1,0.014503,5.975921,[11 43] ; [7 6],[14.50746269 39.49253731] ; [3.49253731 9.50746269],0
p6,1,0.018621,5.53672,[ 6 47] ; [5 8],[ 8.83333333 44.16666667] ; [ 2.16666667 10.83333333],0
b4,1,0.023732,5.114093,[27 27] ; [11  2],[30.62686567 23.37313433] ; [7.37313433 5.62686567],0
p10,1,0.029086,4.762541,[19 34] ; [9 4],[22.48484848 30.51515152] ; [5.51515152 7.48484848],0
v2,1,0.037711,4.318003,[ 8 45] ; [5 7],[10.6 42.4] ; [2.4 9.6],0
p4,1,0.039284,4.248539,[13 40] ; [7 6],[16.06060606 36.93939394] ; [3.93939394 9.06060606],0
n3,1,0.039393,4.243827,[10 17] ; [5 1],[12.27272727 14.72727273] ; [2.72727273 3.27272727],0
n2,1,0.051244,3.800265,[12 15] ; [6 1],[14.29411765 12.70588235] ; [3.70588235 3.29411765],0
d1,1,0.05139,3.795532,[14 40] ; [7 6],[16.92537313 37.07462687] ; [4.07462687 8.92537313],0
p11,1,0.05139,3.795532,[14 40] ; [7 6],[16.92537313 37.07462687] ; [4.07462687 8.92537313],0
n4,1,0.086936,2.930205,[32 22] ; [11  2],[34.65671642 19.34328358] ; [8.34328358 4.65671642],0
s3,1,0.087526,2.919298,[13 39] ; [6 6],[15.4375 36.5625] ; [3.5625 8.4375],0
n1,1,0.102458,2.666852,[10 17] ; [5 2],[11.91176471 15.08823529] ; [3.08823529 3.91176471],0
a7,1,0.107835,2.585663,[20 34] ; [8 5],[22.56716418 31.43283582] ; [5.43283582 7.56716418],0
n5,1,0.167082,1.908931,[35 19] ; [11  2],[37.07462687 16.92537313] ; [8.92537313 4.07462687],0
p7,1,0.179042,1.805556,[14 38] ; [6 7],[16. 36.] ; [4. 9.],0
a4,1,0.199466,1.646281,[19 34] ; [ 2 10],[17.12307692 35.87692308] ; [3.87692308 8.12307692],0
p2,1,0.218715,1.512783,[23 31] ; [8 5],[24.98507463 29.01492537] ; [6.01492537 6.98507463],0
a3,1,0.240149,1.379717,[30 23] ; [9 3],[31.8 21.2] ; [7.2 4.8],0
p12,1,0.266605,1.234133,[ 1 53] ; [ 1 12],[ 1.6119403 52.3880597] ; [ 0.3880597 12.6119403],0
d4,1,0.310397,1.028985,[29 25] ; [9 4],[30.62686567 23.37313433] ; [7.37313433 5.62686567],0
b5,1,0.323711,0.973896,[25 29] ; [8 5],[26.59701493 27.40298507] ; [6.40298507 6.59701493],0
b3,1,0.355583,0.853432,[15 20] ; [3 8],[13.69565217 21.30434783] ; [4.30434783 6.69565217],0
b2,1,0.355583,0.853432,[15 20] ; [3 8],[13.69565217 21.30434783] ; [4.30434783 6.69565217],0
v1,1,0.367997,0.810416,[14 40] ; [5 8],[15.31343284 38.68656716] ; [3.68656716 9.31343284],0
a5,1,0.385963,0.751624,[26 28] ; [8 5],[27.40298507 26.59701493] ; [6.59701493 6.40298507],0
b1,1,0.391897,0.733047,[32 22] ; [6 7],[30.62686567 23.37313433] ; [7.37313433 5.62686567],0
u3,1,0.408809,0.682261,[ 7 17] ; [2 2],[ 7.71428571 16.28571429] ; [1.28571429 2.71428571],0
s7,1,0.410363,0.677749,[11 39] ; [4 8],[12.09677419 37.90322581] ; [2.90322581 9.09677419],0
a1,1,0.498984,0.457096,[ 8 46] ; [ 1 12],[ 7.25373134 46.74626866] ; [ 1.74626866 11.25373134],0
d5,1,0.529449,0.39545,[28 26] ; [8 5],[29.01492537 24.98507463] ; [6.98507463 6.01492537],0
d3,1,0.541628,0.37253,[24 30] ; [7 6],[24.98507463 29.01492537] ; [6.01492537 6.98507463],0
p1,1,0.598792,0.276821,[ 7 47] ; [ 1 12],[ 6.44776119 47.55223881] ; [ 1.55223881 11.44776119],0
u2,1,0.635558,0.224599,[ 9 15] ; [2 2],[ 9.42857143 14.57142857] ; [1.57142857 2.42857143],0
v3,1,0.722705,0.125916,[11 43] ; [3 9],[11.45454545 42.54545455] ; [2.54545455 9.45454545],0
s4,1,0.947083,0.004405,[12 42] ; [ 3 10],[12.08955224 41.91044776] ; [ 2.91044776 10.08955224],0
d2,1,0.961448,0.002336,[20 33] ; [5 8],[20.07575758 32.92424242] ; [4.92424242 8.07575758],0
s1,1,0.972006,0.001232,[ 4 50] ; [ 1 12],[ 4.02985075 49.97014925] ; [ 0.97014925 12.02985075],0
a6,1,0.992621,8.6e-05,[25 29] ; [6 7],[24.98507463 29.01492537] ; [6.01492537 6.98507463],0
