Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.019177,5.485333,[ 6 24] ; [3 1],[ 7.94117647 22.05882353] ; [1.05882353 2.94117647],0
s6,1,0.019177,5.485333,[ 6 24] ; [3 1],[ 7.94117647 22.05882353] ; [1.05882353 2.94117647],0
s8,1,0.033854,4.502069,[ 3 27] ; [2 2],[ 4.41176471 25.58823529] ; [0.58823529 3.41176471],0
p1,1,0.07077,3.265079,[ 4 26] ; [2 2],[ 5.29411765 24.70588235] ; [0.70588235 3.29411765],0
s7,1,0.086926,2.930403,[ 4 24] ; [2 2],[ 5.25 22.75] ; [0.75 3.25],0
r2,1,0.159657,1.977476,[18 11] ; [1 3],[16.6969697 12.3030303] ; [2.3030303 1.6969697],0
p11,1,0.183954,1.765385,[ 6 24] ; [2 2],[ 7.05882353 22.94117647] ; [0.94117647 3.05882353],0
d4,1,0.185414,1.753684,[12 18] ; [3 1],[13.23529412 16.76470588] ; [1.76470588 2.23529412],0
p2,1,0.233304,1.420602,[13 17] ; [3 1],[14.11764706 15.88235294] ; [1.88235294 2.11764706],0
a6,1,0.256144,1.289481,[ 7 23] ; [2 2],[ 7.94117647 22.05882353] ; [1.05882353 2.94117647],0
a7,1,0.33602,0.925556,[ 8 22] ; [2 2],[ 8.82352941 21.17647059] ; [1.17647059 2.82352941],0
b5,1,0.346722,0.885417,[15 15] ; [1 3],[14.11764706 15.88235294] ; [1.88235294 2.11764706],0
p6,1,0.399858,0.708754,[ 3 26] ; [1 3],[ 3.51515152 25.48484848] ; [0.48484848 3.51515152],0
u2,1,0.483578,0.490783,[ 9 11] ; [2 1],[ 9.56521739 10.43478261] ; [1.43478261 1.56521739],0
v4,1,0.484034,0.489762,[17 13] ; [3 1],[17.64705882 12.35294118] ; [2.35294118 1.64705882],0
d5,1,0.512336,0.429293,[10 20] ; [2 2],[10.58823529 19.41176471] ; [1.41176471 2.58823529],0
s2,1,0.536008,0.382989,[ 4 26] ; [1 3],[ 4.41176471 25.58823529] ; [0.58823529 3.41176471],0
r4,1,0.536008,0.382989,[ 4 26] ; [1 3],[ 4.41176471 25.58823529] ; [0.58823529 3.41176471],0
v3,1,0.557867,0.343411,[ 4 25] ; [1 3],[ 4.39393939 24.60606061] ; [0.60606061 3.39393939],0
n5,1,0.561994,0.336264,[18 12] ; [3 1],[18.52941176 11.47058824] ; [2.47058824 1.52941176],0
n1,1,0.639207,0.21978,[ 6 12] ; [1 1],[ 6.3 11.7] ; [0.7 1.3],0
b4,1,0.64649,0.210354,[19 11] ; [3 1],[19.41176471 10.58823529] ; [2.58823529 1.41176471],0
r1,1,0.64649,0.210354,[11 19] ; [1 3],[10.58823529 19.41176471] ; [1.41176471 2.58823529],0
d1,1,0.681314,0.168651,[ 5 25] ; [1 3],[ 5.29411765 24.70588235] ; [0.70588235 3.29411765],0
s4,1,0.681314,0.168651,[ 5 25] ; [1 3],[ 5.29411765 24.70588235] ; [0.70588235 3.29411765],0
n6,1,0.702665,0.145714,[12 18] ; [2 2],[12.35294118 17.64705882] ; [1.64705882 2.35294118],0
a3,1,0.706063,0.142241,[10 19] ; [1 3],[ 9.66666667 19.33333333] ; [1.33333333 2.66666667],0
p4,1,0.706063,0.142241,[ 5 24] ; [1 3],[ 5.27272727 23.72727273] ; [0.72727273 3.27272727],0
p9,1,0.743645,0.106948,[12 17] ; [2 2],[12.3030303 16.6969697] ; [1.6969697 2.3030303],0
p10,1,0.743645,0.106948,[12 17] ; [2 2],[12.3030303 16.6969697] ; [1.6969697 2.3030303],0
s3,1,0.759444,0.093765,[ 5 22] ; [1 3],[ 5.22580645 21.77419355] ; [0.77419355 3.22580645],0
p3,1,0.816297,0.053968,[ 6 24] ; [1 3],[ 6.17647059 23.82352941] ; [0.82352941 3.17647059],0
v2,1,0.871602,0.026122,[ 6 22] ; [1 3],[ 6.125 21.875] ; [0.875 3.125],0
p7,1,0.881863,0.022084,[ 8 20] ; [1 3],[ 7.875 20.125] ; [1.125 2.875],0
n4,1,0.900158,0.015741,[16 14] ; [2 2],[15.88235294 14.11764706] ; [2.11764706 1.88235294],0
b1,1,0.900158,0.015741,[16 14] ; [2 2],[15.88235294 14.11764706] ; [2.11764706 1.88235294],0
v1,1,0.941157,0.005449,[ 7 23] ; [1 3],[ 7.05882353 22.94117647] ; [0.94117647 3.05882353],0
d3,1,0.94342,0.005037,[ 8 22] ; [1 3],[ 7.94117647 22.05882353] ; [1.05882353 2.94117647],0
u3,1,0.954928,0.003194,[ 7 13] ; [1 2],[ 6.95652174 13.04347826] ; [1.04347826 1.95652174],0
n3,1,1.0,0.0,[9 9] ; [1 1],[9. 9.] ; [1. 1.],0
n2,1,1.0,0.0,[9 9] ; [1 1],[9. 9.] ; [1. 1.],0
