Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.7e-05,17.640734,[3 6] ; [49  5],[7.42857143 1.57142857] ; [44.57142857  9.42857143],1
r3,1,0.000116,14.859649,[5 4] ; [52  2],[8.14285714 0.85714286] ; [48.85714286  5.14285714],1
s1,1,0.000588,11.8125,[4 5] ; [ 3 51],[1. 8.] ; [ 6. 48.],1
r2,1,0.000797,11.247599,[4 4] ; [50  4],[6.96774194 1.03225806] ; [47.03225806  6.96774194],1
r1,1,0.00225,9.333333,[2 7] ; [40 14],[6. 3.] ; [36. 18.],0
p10,1,0.030939,4.656319,[3 6] ; [38 16],[5.85714286 3.14285714] ; [35.14285714 18.85714286],0
s2,1,0.039028,4.259635,[2 7] ; [32 22],[4.85714286 4.14285714] ; [29.14285714 24.85714286],0
d2,1,0.069171,3.302581,[6 3] ; [18 34],[3.54098361 5.45901639] ; [20.45901639 31.54098361],0
v2,1,0.069171,3.302581,[3 6] ; [34 18],[5.45901639 3.54098361] ; [31.54098361 20.45901639],0
p11,1,0.073899,3.194211,[3 6] ; [35 19],[5.42857143 3.57142857] ; [32.57142857 21.42857143],0
s6,1,0.081414,3.036451,[3 6] ; [34 19],[5.37096774 3.62903226] ; [31.62903226 21.37096774],0
n1,1,0.085192,2.962963,[4 2] ; [2 7],[2.4 3.6] ; [3.6 5.4],0
v1,1,0.121642,2.396045,[2 7] ; [27 27],[4.14285714 4.85714286] ; [24.85714286 29.14285714],0
n6,1,0.134184,2.243416,[4 4] ; [40 13],[5.7704918 2.2295082] ; [38.2295082 14.7704918],0
s5,1,0.159774,1.976362,[1 8] ; [18 34],[2.80327869 6.19672131] ; [16.19672131 35.80327869],0
p9,1,0.160735,1.967295,[4 5] ; [37 17],[5.85714286 3.14285714] ; [35.14285714 18.85714286],0
s7,1,0.183879,1.76599,[2 7] ; [23 27],[3.81355932 5.18644068] ; [21.18644068 28.81355932],0
a8,1,0.195968,1.672168,[3 6] ; [ 8 44],[1.62295082 7.37704918] ; [ 9.37704918 42.62295082],0
p6,1,0.209957,1.571726,[2 7] ; [24 30],[3.71428571 5.28571429] ; [22.28571429 31.71428571],0
a3,1,0.209957,1.571726,[7 2] ; [30 24],[5.28571429 3.71428571] ; [31.71428571 22.28571429],0
s8,1,0.299261,1.077483,[2 7] ; [21 31],[3.39344262 5.60655738] ; [19.60655738 32.39344262],0
d5,1,0.35084,0.870416,[5 4] ; [37 15],[6.19672131 2.80327869] ; [35.80327869 16.19672131],0
a6,1,0.474644,0.511145,[6 3] ; [28 24],[5.01639344 3.98360656] ; [28.98360656 23.01639344],0
p4,1,0.497953,0.459296,[5 4] ; [23 30],[4.06451613 4.93548387] ; [23.93548387 29.06451613],0
n4,1,0.517402,0.419069,[5 4] ; [36 18],[5.85714286 3.14285714] ; [35.14285714 18.85714286],0
p1,1,0.526871,0.400424,[1 8] ; [ 3 51],[0.57142857 8.42857143] ; [ 3.42857143 50.57142857],0
s3,1,0.532884,0.388889,[6 3] ; [30 24],[5.14285714 3.85714286] ; [30.85714286 23.14285714],0
n3,1,0.550985,0.355556,[4 2] ; [8 2],[4.5 1.5] ; [7.5 2.5],0
d4,1,0.603707,0.269441,[7 2] ; [36 16],[6.3442623 2.6557377] ; [36.6557377 15.3442623],0
a5,1,0.674101,0.176842,[6 3] ; [32 22],[5.42857143 3.57142857] ; [32.57142857 21.42857143],0
v3,1,0.687087,0.162257,[2 6] ; [17 36],[2.49180328 5.50819672] ; [16.50819672 36.49180328],0
p3,1,0.718454,0.129979,[5 4] ; [26 27],[4.5 4.5] ; [26.5 26.5],0
a7,1,0.750679,0.100962,[6 3] ; [33 21],[5.57142857 3.42857143] ; [33.42857143 20.57142857],0
b4,1,0.757591,0.095262,[5 4] ; [27 27],[4.57142857 4.42857143] ; [27.42857143 26.57142857],0
s4,1,0.793346,0.068627,[2 7] ; [10 44],[1.71428571 7.28571429] ; [10.28571429 43.71428571],0
n5,1,0.822648,0.050239,[6 3] ; [38 16],[6.28571429 2.71428571] ; [37.71428571 16.28571429],0
a4,1,0.830809,0.045652,[3 6] ; [20 34],[3.28571429 5.71428571] ; [19.71428571 34.28571429],0
d1,1,0.836813,0.042424,[4 5] ; [26 28],[4.28571429 4.71428571] ; [25.71428571 28.28571429],0
b1,1,0.836813,0.042424,[5 4] ; [28 26],[4.71428571 4.28571429] ; [28.28571429 25.71428571],0
p8,1,0.844659,0.038392,[4 4] ; [25 29],[3.74193548 4.25806452] ; [25.25806452 28.74193548],0
u2,1,0.858552,0.031762,[1 1] ; [10 13],[0.88 1.12] ; [10.12 12.88],0
u3,1,0.909583,0.012897,[1 1] ; [13 11],[1.07692308 0.92307692] ; [12.92307692 11.07692308],0
b5,1,0.914081,0.011641,[6 3] ; [35 19],[5.85714286 3.14285714] ; [35.14285714 18.85714286],0
p5,1,0.922293,0.009515,[1 7] ; [ 6 47],[0.91803279 7.08196721] ; [ 6.08196721 46.91803279],0
d3,1,0.924302,0.009028,[4 5] ; [24 28],[4.13114754 4.86885246] ; [23.86885246 28.13114754],0
b2,1,0.965834,0.001835,[2 5] ; [10 26],[1.95348837 5.04651163] ; [10.04651163 25.95348837],0
b3,1,0.965834,0.001835,[2 5] ; [10 26],[1.95348837 5.04651163] ; [10.04651163 25.95348837],0
