Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.002838,8.908772,[35 33] ; [30  7],[42.0952381 25.9047619] ; [22.9047619 14.0952381],0
p3,1,0.026976,4.892329,[21 45] ; [20 17],[26.27184466 39.72815534] ; [14.72815534 22.27184466],0
s5,1,0.033931,4.498156,[18 47] ; [ 3 30],[13.92857143 51.07142857] ; [ 7.07142857 25.92857143],0
r1,1,0.067352,3.346414,[45 22] ; [31  6],[48.96153846 18.03846154] ; [27.03846154  9.96153846],0
p11,1,0.080615,3.052464,[32 36] ; [24 13],[36.26666667 31.73333333] ; [19.73333333 17.26666667],0
p2,1,0.101143,2.687421,[40 27] ; [28  9],[43.80769231 23.19230769] ; [24.19230769 12.80769231],0
a3,1,0.113059,2.51093,[37 31] ; [26 11],[40.8 27.2] ; [22.2 14.8],0
r4,1,0.141348,2.163219,[46 22] ; [30  7],[49.21904762 18.78095238] ; [26.78095238 10.21904762],0
b1,1,0.174439,1.84438,[31 37] ; [22 15],[34.32380952 33.67619048] ; [18.67619048 18.32380952],0
p8,1,0.202543,1.623941,[28 38] ; [11 26],[24.99029126 41.00970874] ; [14.00970874 22.99029126],0
a4,1,0.205293,1.604312,[21 47] ; [16 21],[23.96190476 44.03809524] ; [13.03809524 23.96190476],0
s2,1,0.246191,1.344792,[28 40] ; [11 26],[25.25714286 42.74285714] ; [13.74285714 23.25714286],0
d2,1,0.285164,1.142311,[24 44] ; [17 20],[26.55238095 41.44761905] ; [14.44761905 22.55238095],0
d5,1,0.306208,1.04696,[49 19] ; [30  7],[51.16190476 16.83809524] ; [27.83809524  9.16190476],0
s8,1,0.310637,1.027966,[21 47] ; [ 8 29],[18.78095238 49.21904762] ; [10.21904762 26.78095238],0
p10,1,0.324054,0.972513,[37 29] ; [17 20],[34.60194175 31.39805825] ; [19.39805825 17.60194175],0
p9,1,0.362314,0.829858,[40 26] ; [19 18],[37.80582524 28.19417476] ; [21.19417476 15.80582524],0
s6,1,0.393476,0.728174,[33 34] ; [15 22],[30.92307692 36.07692308] ; [17.07692308 19.92307692],0
v1,1,0.417485,0.657383,[29 38] ; [13 24],[27.05769231 39.94230769] ; [14.94230769 22.05769231],0
r3,1,0.452896,0.563394,[57 11] ; [33  4],[58.28571429  9.71428571] ; [31.71428571  5.28571429],0
d3,1,0.468146,0.526349,[43 25] ; [26 11],[44.68571429 23.31428571] ; [24.31428571 12.68571429],0
a7,1,0.493835,0.468159,[45 23] ; [22 15],[43.39047619 24.60952381] ; [23.60952381 13.39047619],0
u1,1,0.528252,0.397753,[ 6 62] ; [ 2 35],[ 5.18095238 62.81904762] ; [ 2.81904762 34.18095238],0
s1,1,0.528252,0.397753,[ 6 62] ; [ 2 35],[ 5.18095238 62.81904762] ; [ 2.81904762 34.18095238],0
n1,1,0.54955,0.358123,[ 8 19] ; [4 6],[ 8.75675676 18.24324324] ; [3.24324324 6.75675676],0
n2,1,0.549667,0.357914,[16 11] ; [7 3],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
b2,1,0.551772,0.354153,[11 27] ; [ 8 14],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
b3,1,0.551772,0.354153,[11 27] ; [ 8 14],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
p4,1,0.553566,0.350968,[25 42] ; [16 21],[26.41346154 40.58653846] ; [14.58653846 22.41346154],0
p6,1,0.582742,0.301822,[11 53] ; [ 8 29],[12.03960396 51.96039604] ; [ 6.96039604 30.03960396],0
p1,1,0.588288,0.293025,[ 8 60] ; [ 3 33],[ 7.19230769 60.80769231] ; [ 3.80769231 32.19230769],0
d1,1,0.588579,0.29257,[35 33] ; [17 20],[33.67619048 34.32380952] ; [18.32380952 18.67619048],0
b4,1,0.616795,0.250397,[42 26] ; [21 16],[40.8 27.2] ; [22.2 14.8],0
r2,1,0.621958,0.243125,[56 12] ; [31  5],[56.88461538 11.11538462] ; [30.11538462  5.88461538],0
p12,1,0.660282,0.193182,[ 1 65] ; [ 1 35],[ 1.29411765 64.70588235] ; [ 0.70588235 35.29411765],0
a2,1,0.67668,0.173887,[ 9 59] ; [ 6 31],[ 9.71428571 58.28571429] ; [ 5.28571429 31.71428571],0
d4,1,0.721692,0.126878,[57 11] ; [30  7],[56.34285714 11.65714286] ; [30.65714286  6.34285714],0
v3,1,0.733045,0.116334,[16 47] ; [10 25],[16.71428571 46.28571429] ; [ 9.28571429 25.71428571],0
v4,1,0.758284,0.0947,[55 13] ; [30  6],[55.57692308 12.42307692] ; [29.42307692  6.57692308],0
a1,1,0.819336,0.052166,[ 3 65] ; [ 2 35],[ 3.23809524 64.76190476] ; [ 1.76190476 35.23809524],0
u3,1,0.864967,0.028918,[21  9] ; [8 3],[21.2195122  8.7804878] ; [7.7804878 3.2195122],0
u2,1,0.864967,0.028918,[21  9] ; [8 3],[21.2195122  8.7804878] ; [7.7804878 3.2195122],0
p7,1,0.86687,0.028102,[27 38] ; [16 21],[27.40196078 37.59803922] ; [15.59803922 21.40196078],0
s3,1,0.898992,0.016112,[33 35] ; [17 19],[32.69230769 35.30769231] ; [17.30769231 18.69230769],0
b5,1,0.933534,0.006955,[41 27] ; [22 15],[40.8 27.2] ; [22.2 14.8],0
a6,1,0.949525,0.004007,[40 28] ; [22 15],[40.15238095 27.84761905] ; [21.84761905 15.15238095],0
s7,1,0.952027,0.003619,[19 43] ; [10 22],[19.12765957 42.87234043] ; [ 9.87234043 22.12765957],0
v2,1,0.979252,0.000676,[26 36] ; [15 21],[25.93877551 36.06122449] ; [15.06122449 20.93877551],0
s4,1,0.980236,0.000614,[13 55] ; [ 7 30],[12.95238095 55.04761905] ; [ 7.04761905 29.95238095],0
n3,1,1.0,0.0,[18  9] ; [6 3],[18.  9.] ; [6. 3.],0
