Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9e-06,19.69496,[20  6] ; [ 5 24],[11.81818182 14.18181818] ; [13.18181818 15.81818182],1
p2,1,0.000258,13.35228,[20  6] ; [ 8 21],[13.23636364 12.76363636] ; [14.76363636 14.23636364],1
v4,1,0.000418,12.44916,[22  4] ; [11 18],[15.6 10.4] ; [17.4 11.6],1
p11,1,0.000736,11.396882,[16 10] ; [ 5 24],[ 9.92727273 16.07272727] ; [11.07272727 17.92727273],1
v1,1,0.000847,11.134299,[12 14] ; [ 2 27],[ 6.61818182 19.38181818] ; [ 7.38181818 21.61818182],1
p8,1,0.001583,9.979088,[13 13] ; [ 3 25],[ 7.7037037 18.2962963] ; [ 8.2962963 19.7037037],0
p3,1,0.002911,8.862732,[12 14] ; [ 3 26],[ 7.09090909 18.90909091] ; [ 7.90909091 21.09090909],0
r4,1,0.006249,7.476967,[ 8 18] ; [ 1 28],[ 4.25454545 21.74545455] ; [ 4.74545455 24.25454545],0
p4,1,0.009739,6.68207,[13 13] ; [ 5 24],[ 8.50909091 17.49090909] ; [ 9.49090909 19.50909091],0
s2,1,0.01427,6.004411,[10 16] ; [ 3 26],[ 6.14545455 19.85454545] ; [ 6.85454545 22.14545455],0
n2,1,0.017335,5.662167,[9 2] ; [ 7 12],[5.86666667 5.13333333] ; [10.13333333  8.86666667],0
b5,1,0.017957,5.600338,[19  7] ; [12 17],[14.65454545 11.34545455] ; [16.34545455 12.65454545],0
d4,1,0.029019,4.766511,[20  6] ; [14 15],[16.07272727  9.92727273] ; [17.92727273 11.07272727],0
s6,1,0.041007,4.17571,[11 15] ; [ 5 24],[ 7.56363636 18.43636364] ; [ 8.43636364 20.56363636],0
r2,1,0.04255,4.113209,[20  5] ; [15 13],[16.50943396  8.49056604] ; [18.49056604  9.50943396],0
d3,1,0.044802,4.026061,[16 10] ; [10 19],[12.29090909 13.70909091] ; [13.70909091 15.29090909],0
p6,1,0.05132,3.797802,[ 7 19] ; [ 2 26],[ 4.33333333 21.66666667] ; [ 4.66666667 23.33333333],0
s7,1,0.053949,3.714286,[ 9 15] ; [ 4 24],[ 6. 18.] ; [ 7. 21.],0
a1,1,0.061312,3.501543,[ 1 25] ; [ 6 23],[ 3.30909091 22.69090909] ; [ 3.69090909 25.30909091],0
s3,1,0.061993,3.483254,[12 12] ; [ 7 21],[ 8.76923077 15.23076923] ; [10.23076923 17.76923077],0
n6,1,0.102235,2.67033,[16 10] ; [11 17],[13. 13.] ; [14. 14.],0
n3,1,0.105209,2.624744,[8 3] ; [ 8 11],[5.86666667 5.13333333] ; [10.13333333  8.86666667],0
p5,1,0.13455,2.239202,[ 4 22] ; [ 1 27],[ 2.40740741 23.59259259] ; [ 2.59259259 25.40740741],0
a5,1,0.13542,2.229239,[16 10] ; [12 17],[13.23636364 12.76363636] ; [14.76363636 14.23636364],0
a7,1,0.142775,2.147794,[15 11] ; [11 18],[12.29090909 13.70909091] ; [13.70909091 15.29090909],0
n1,1,0.15631,2.009569,[7 4] ; [ 7 12],[5.13333333 5.86666667] ; [ 8.86666667 10.13333333],0
p7,1,0.167937,1.90126,[11 13] ; [ 8 21],[ 8.60377358 15.39622642] ; [10.39622642 18.60377358],0
