Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.003415,8.571429,[11  3] ; [ 4 12],[7. 7.] ; [8. 8.],0
d2,1,0.003674,8.438106,[10  4] ; [ 3 13],[6.06666667 7.93333333] ; [6.93333333 9.06666667],0
r2,1,0.005233,7.797052,[10  2] ; [ 4 10],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
v4,1,0.048954,3.876923,[12  1] ; [9 6],[9.75 3.25] ; [11.25  3.75],0
p7,1,0.062942,3.45812,[5 8] ; [11  4],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
a4,1,0.072998,3.214286,[8 6] ; [ 4 12],[5.6 8.4] ; [6.4 9.6],0
p10,1,0.096759,2.758172,[9 4] ; [14  1],[10.67857143  2.32142857] ; [12.32142857  2.67857143],0
a5,1,0.105209,2.624744,[11  3] ; [8 8],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
a7,1,0.143235,2.142857,[9 5] ; [ 6 10],[7. 7.] ; [8. 8.],0
b2,1,0.143687,2.138024,[ 2 11] ; [5 7],[3.64 9.36] ; [3.36 8.64],0
b3,1,0.143687,2.138024,[ 2 11] ; [5 7],[3.64 9.36] ; [3.36 8.64],0
s5,1,0.152057,2.051491,[5 8] ; [ 2 12],[3.37037037 9.62962963] ; [ 3.62962963 10.37037037],0
u2,1,0.196706,1.666667,[1 3] ; [4 2],[2. 2.] ; [3. 3.],0
s7,1,0.219786,1.505769,[12  1] ; [12  4],[10.75862069  2.24137931] ; [13.24137931  2.75862069],0
a2,1,0.222423,1.488668,[ 3 11] ; [ 1 15],[ 1.86666667 12.13333333] ; [ 2.13333333 13.86666667],0
p3,1,0.231998,1.428571,[ 4 10] ; [8 8],[5.6 8.4] ; [6.4 9.6],0
s2,1,0.244092,1.356807,[10  3] ; [9 7],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
v2,1,0.260679,1.265147,[9 5] ; [7 9],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
b4,1,0.260679,1.265147,[9 5] ; [7 9],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
p11,1,0.272254,1.205357,[10  4] ; [14  2],[11.2  2.8] ; [12.8  3.2],0
n1,1,0.280087,1.166667,[2 4] ; [5 3],[3. 3.] ; [4. 4.],0
a6,1,0.281979,1.157526,[8 6] ; [ 6 10],[6.53333333 7.46666667] ; [7.46666667 8.53333333],0
n4,1,0.337904,0.918367,[11  3] ; [10  6],[9.8 4.2] ; [11.2  4.8],0
u3,1,0.429195,0.625,[3 1] ; [3 3],[2.4 1.6] ; [3.6 2.4],0
b1,1,0.430841,0.620556,[5 9] ; [8 8],[6.06666667 7.93333333] ; [6.93333333 9.06666667],0
b5,1,0.430841,0.620556,[9 5] ; [8 8],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
r1,1,0.435819,0.607265,[5 8] ; [ 4 12],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
v1,1,0.445009,0.583333,[7 5] ; [7 9],[6. 6.] ; [8. 8.],0
s4,1,0.464214,0.535714,[ 2 12] ; [ 4 12],[ 2.8 11.2] ; [ 3.2 12.8],0
p8,1,0.464214,0.535714,[6 8] ; [9 7],[7. 7.] ; [8. 8.],0
s3,1,0.48338,0.491228,[9 3] ; [10  6],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p4,1,0.51043,0.433185,[8 6] ; [11  5],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
p2,1,0.512691,0.428571,[11  3] ; [14  2],[11.66666667  2.33333333] ; [13.33333333  2.66666667],0
n5,1,0.524967,0.404125,[11  2] ; [12  4],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
p6,1,0.549563,0.3581,[5 9] ; [7 8],[5.79310345 8.20689655] ; [6.20689655 8.79310345],0
a3,1,0.604773,0.267857,[10  4] ; [10  6],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
v3,1,0.604773,0.267857,[ 4 10] ; [ 6 10],[4.66666667 9.33333333] ; [ 5.33333333 10.66666667],0
n3,1,0.639994,0.21875,[3 3] ; [5 3],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
n6,1,0.729571,0.119505,[9 4] ; [12  4],[9.4137931 3.5862069] ; [11.5862069  4.4137931],0
r3,1,0.817521,0.053239,[11  3] ; [12  4],[10.73333333  3.26666667] ; [12.26666667  3.73333333],0
p9,1,0.822729,0.050192,[11  2] ; [14  2],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
n2,1,0.825498,0.048611,[5 1] ; [7 1],[5.14285714 0.85714286] ; [6.85714286 1.14285714],0
p5,1,0.885862,0.020604,[ 2 12] ; [ 2 14],[ 1.86666667 12.13333333] ; [ 2.13333333 13.86666667],0
a8,1,0.916299,0.011045,[ 1 12] ; [ 1 14],[ 0.92857143 12.07142857] ; [ 1.07142857 13.92857143],0
u1,1,0.922085,0.009566,[ 1 13] ; [ 1 15],[ 0.93333333 13.06666667] ; [ 1.06666667 14.93333333],0
s6,1,0.977797,0.000775,[9 4] ; [11  5],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
