Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.02931,[ 4 23] ; [41 16],[14.46428571 12.53571429] ; [30.53571429 26.46428571],1
r3,1,1.1e-05,19.414147,[ 9 18] ; [46 10],[17.89156627  9.10843373] ; [37.10843373 18.89156627],1
p2,1,4.5e-05,16.629514,[ 4 23] ; [35 21],[12.68674699 14.31325301] ; [26.31325301 29.68674699],1
s2,1,0.001895,9.648705,[ 3 24] ; [26 31],[ 9.32142857 17.67857143] ; [19.67857143 37.32142857],0
s6,1,0.002033,9.519835,[ 4 23] ; [28 28],[10.40963855 16.59036145] ; [21.59036145 34.40963855],0
d5,1,0.002731,8.978757,[13 14] ; [45 11],[18.86746988  8.13253012] ; [39.13253012 16.86746988],0
r2,1,0.002768,8.954385,[16 10] ; [51  6],[20.98795181  5.01204819] ; [46.01204819 10.98795181],0
d3,1,0.003289,8.639992,[10 17] ; [39 16],[16.13414634 10.86585366] ; [32.86585366 22.13414634],0
p9,1,0.00493,7.9048,[ 6 20] ; [30 23],[11.84810127 14.15189873] ; [24.15189873 28.84810127],0
r1,1,0.005977,7.557355,[11 16] ; [41 16],[16.71428571 10.28571429] ; [35.28571429 21.71428571],0
a1,1,0.006358,7.445983,[ 6 21] ; [ 2 55],[ 2.57142857 24.42857143] ; [ 5.42857143 51.57142857],0
u2,1,0.007976,7.038755,[3 9] ; [14  5],[6.58064516 5.41935484] ; [10.41935484  8.58064516],0
p10,1,0.009041,6.814659,[ 4 22] ; [24 29],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],0
n3,1,0.010063,6.623641,[ 6 10] ; [18  5],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
b2,1,0.012079,6.299244,[10  9] ; [ 5 23],[ 6.06382979 12.93617021] ; [ 8.93617021 19.06382979],0
b3,1,0.012079,6.299244,[10  9] ; [ 5 23],[ 6.06382979 12.93617021] ; [ 8.93617021 19.06382979],0
s7,1,0.016562,5.742222,[ 2 23] ; [17 34],[ 6.25 18.75] ; [12.75 38.25],0
a6,1,0.01727,5.668675,[12 15] ; [40 16],[16.91566265 10.08433735] ; [35.08433735 20.91566265],0
v2,1,0.034864,4.451826,[ 5 21] ; [23 30],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],0
