Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.008631,6.897609,[ 8 11] ; [49 17],[12.74117647  6.25882353] ; [44.25882353 21.74117647],0
p9,1,0.009344,6.755917,[10  9] ; [54 12],[14.30588235  4.69411765] ; [49.69411765 16.30588235],0
a3,1,0.02497,5.025937,[ 5 13] ; [38 28],[9.21428571 8.78571429] ; [33.78571429 32.21428571],0
d4,1,0.035504,4.420763,[10  9] ; [51 15],[13.63529412  5.36470588] ; [47.36470588 18.63529412],0
b5,1,0.055836,3.656948,[16  3] ; [40 26],[12.51764706  6.48235294] ; [43.48235294 22.51764706],0
u1,1,0.060692,3.518383,[ 2 17] ; [ 1 65],[ 0.67058824 18.32941176] ; [ 2.32941176 63.67058824],0
v1,1,0.087618,2.917598,[ 6 13] ; [35 30],[9.27380952 9.72619048] ; [31.72619048 33.27380952],0
d2,1,0.120546,2.41021,[ 7 12] ; [13 53],[ 4.47058824 14.52941176] ; [15.52941176 50.47058824],0
r3,1,0.153576,2.036364,[16  2] ; [64  2],[17.14285714  0.85714286] ; [62.85714286  3.14285714],0
a8,1,0.155434,2.0181,[ 1 16] ; [13 50],[ 2.975 14.025] ; [11.025 51.975],0
p8,1,0.166802,1.91145,[10  9] ; [46 20],[12.51764706  6.48235294] ; [43.48235294 22.51764706],0
v2,1,0.171875,1.866512,[ 7 12] ; [35 29],[9.61445783 9.38554217] ; [32.38554217 31.61445783],0
v4,1,0.173952,1.848554,[17  2] ; [64  2],[18.10588235  0.89411765] ; [62.89411765  3.10588235],0
s6,1,0.195667,1.674422,[10  9] ; [44 20],[12.36144578  6.63855422] ; [41.63855422 22.36144578],0
v3,1,0.196742,1.666397,[ 4 15] ; [24 41],[ 6.33333333 12.66666667] ; [21.66666667 43.33333333],0
a4,1,0.19723,1.662765,[ 2 17] ; [16 50],[ 4.02352941 14.97647059] ; [13.97647059 52.02352941],0
n1,1,0.199482,1.646161,[2 4] ; [12  7],[3.36 2.64] ; [10.64  8.36],0
d5,1,0.207403,1.589462,[10  8] ; [47 19],[12.21428571  5.78571429] ; [44.78571429 21.21428571],0
p10,1,0.216308,1.528699,[11  8] ; [48 18],[13.18823529  5.81176471] ; [45.81176471 20.18823529],0
n5,1,0.347879,0.88118,[13  6] ; [52 14],[14.52941176  4.47058824] ; [50.47058824 15.52941176],0
u2,1,0.368803,0.807692,[10  4] ; [16 12],[8.66666667 5.33333333] ; [17.33333333 10.66666667],0
d3,1,0.37205,0.796806,[8 9] ; [39 27],[9.62650602 7.37349398] ; [37.37349398 28.62650602],0
p2,1,0.4287,0.626342,[15  4] ; [57  9],[16.09411765  2.90588235] ; [55.90588235 10.09411765],0
p7,1,0.444865,0.583701,[15  4] ; [56  9],[16.05952381  2.94047619] ; [54.94047619 10.05952381],0
n6,1,0.451533,0.566802,[13  6] ; [50 15],[14.25  4.75] ; [48.75 16.25],0
s8,1,0.462133,0.540724,[ 6 13] ; [27 39],[ 7.37647059 11.62352941] ; [25.62352941 40.37647059],0
n4,1,0.501978,0.450753,[12  7] ; [47 19],[13.18823529  5.81176471] ; [45.81176471 20.18823529],0
b4,1,0.502857,0.448902,[ 9 10] ; [37 29],[10.28235294  8.71764706] ; [35.71764706 30.28235294],0
p1,1,0.512301,0.429365,[ 2 17] ; [11 55],[ 2.90588235 16.09411765] ; [10.09411765 55.90588235],0
b1,1,0.533705,0.387332,[ 9 10] ; [26 40],[ 7.82352941 11.17647059] ; [27.17647059 38.82352941],0
n2,1,0.539192,0.377039,[4 2] ; [15  4],[4.56 1.44] ; [14.44  4.56],0
b2,1,0.540549,0.374524,[3 7] ; [17 25],[3.84615385 6.15384615] ; [16.15384615 25.84615385],0
b3,1,0.540549,0.374524,[3 7] ; [17 25],[3.84615385 6.15384615] ; [16.15384615 25.84615385],0
s7,1,0.614792,0.253255,[7 9] ; [32 31],[7.89873418 8.10126582] ; [31.10126582 31.89873418],0
a1,1,0.642086,0.216024,[ 1 18] ; [ 2 64],[ 0.67058824 18.32941176] ; [ 2.32941176 63.67058824],0
s1,1,0.642086,0.216024,[ 1 18] ; [ 2 64],[ 0.67058824 18.32941176] ; [ 2.32941176 63.67058824],0
u3,1,0.662161,0.190909,[8 6] ; [14 14],[7.33333333 6.66666667] ; [14.66666667 13.33333333],0
r4,1,0.674657,0.176203,[16  3] ; [58  8],[16.54117647  2.45882353] ; [57.45882353  8.54117647],0
d1,1,0.713292,0.135011,[ 6 13] ; [18 48],[ 5.36470588 13.63529412] ; [18.63529412 47.36470588],0
n3,1,0.738568,0.11139,[4 2] ; [14  5],[4.32 1.68] ; [13.68  5.32],0
s2,1,0.750052,0.101487,[10  9] ; [32 34],[9.38823529 9.61176471] ; [32.61176471 33.38823529],0
r1,1,0.776209,0.080805,[12  7] ; [44 22],[12.51764706  6.48235294] ; [43.48235294 22.51764706],0
a7,1,0.784191,0.075,[11  7] ; [42 23],[11.4939759  6.5060241] ; [41.5060241 23.4939759],0
s5,1,0.831568,0.045237,[ 6 13] ; [18 44],[ 5.62962963 13.37037037] ; [18.37037037 43.62962963],0
r2,1,0.850236,0.035652,[17  2] ; [60  6],[17.21176471  1.78823529] ; [59.78823529  6.21176471],0
s3,1,0.882719,0.021763,[10  9] ; [36 30],[10.28235294  8.71764706] ; [35.71764706 30.28235294],0
p5,1,0.927623,0.008251,[ 3 16] ; [11 55],[ 3.12941176 15.87058824] ; [10.87058824 55.12941176],0
a6,1,0.931612,0.007364,[10  9] ; [34 32],[9.83529412 9.16470588] ; [34.16470588 31.83529412],0
p3,1,0.931612,0.007364,[ 9 10] ; [32 34],[9.16470588 9.83529412] ; [31.83529412 34.16470588],0
s4,1,0.944037,0.004928,[ 4 15] ; [13 51],[ 3.89156627 15.10843373] ; [13.10843373 50.89156627],0
