Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6.5e-05,15.949807,[46  5] ; [28 23],[37. 14.] ; [37. 14.],1
p4,1,0.001379,10.233998,[18 31] ; [ 5 46],[11.27 37.73] ; [11.73 39.27],0
b5,1,0.003288,8.640201,[38 13] ; [24 28],[30.69902913 20.30097087] ; [31.30097087 20.69902913],0
p2,1,0.005483,7.712963,[31 20] ; [17 34],[24. 27.] ; [24. 27.],0
s8,1,0.007043,7.261944,[ 9 42] ; [ 1 51],[ 4.95145631 46.04854369] ; [ 5.04854369 46.95145631],0
p7,1,0.009383,6.748443,[23 27] ; [11 40],[16.83168317 33.16831683] ; [17.16831683 33.83168317],0
r3,1,0.010346,6.574244,[38 13] ; [26 26],[31.68932039 19.31067961] ; [32.31067961 19.68932039],0
p8,1,0.011074,6.453333,[18 32] ; [ 7 43],[12.5 37.5] ; [12.5 37.5],0
u2,1,0.018125,5.584046,[ 3 17] ; [10 10],[ 6.5 13.5] ; [ 6.5 13.5],0
s7,1,0.018414,5.556304,[12 37] ; [ 3 42],[ 7.81914894 41.18085106] ; [ 7.18085106 37.81914894],0
p6,1,0.018977,5.503618,[14 35] ; [ 5 45],[ 9.4040404 39.5959596] ; [ 9.5959596 40.4040404],0
n2,1,0.019981,5.413534,[12  4] ; [ 9 15],[8.4 7.6] ; [12.6 11.4],0
r4,1,0.023481,5.132555,[31 20] ; [20 32],[25.25242718 25.74757282] ; [25.74757282 26.25242718],0
s1,1,0.029232,4.753897,[ 1 50] ; [ 7 45],[ 3.96116505 47.03883495] ; [ 4.03883495 47.96116505],0
n5,1,0.03586,4.403733,[34 17] ; [24 28],[28.7184466 22.2815534] ; [29.2815534 22.7184466],0
v2,1,0.042641,4.109589,[18 32] ; [ 9 41],[13.5 36.5] ; [13.5 36.5],0
n4,1,0.056534,3.636243,[34 17] ; [25 27],[29.21359223 21.78640777] ; [29.78640777 22.21359223],0
p9,1,0.056594,3.634503,[25 22] ; [17 33],[20.35051546 26.64948454] ; [21.64948454 28.35051546],0
a4,1,0.093296,2.816568,[15 35] ; [24 28],[19.11764706 30.88235294] ; [19.88235294 32.11764706],0
b4,1,0.140207,2.175682,[23 28] ; [31 21],[26.73786408 24.26213592] ; [27.26213592 24.73786408],0
p10,1,0.147097,2.102102,[22 28] ; [15 35],[18.5 31.5] ; [18.5 31.5],0
p3,1,0.177915,1.814952,[15 36] ; [ 9 41],[12.11881188 38.88118812] ; [11.88118812 38.11881188],0
r2,1,0.197082,1.663866,[40  8] ; [37 14],[37.33333333 10.66666667] ; [39.66666667 11.33333333],0
b1,1,0.199841,1.643538,[22 29] ; [29 23],[25.25242718 25.74757282] ; [25.74757282 26.25242718],0
d1,1,0.200444,1.639136,[25 26] ; [19 33],[21.78640777 29.21359223] ; [22.21359223 29.78640777],0
d3,1,0.361853,0.83145,[30 20] ; [26 25],[27.72277228 22.27722772] ; [28.27722772 22.72277228],0
n1,1,0.405033,0.693333,[7 8] ; [ 8 16],[5.76923077 9.23076923] ; [ 9.23076923 14.76923077],0
v3,1,0.442561,0.589632,[14 37] ; [10 38],[12.36363636 38.63636364] ; [11.63636364 36.36363636],0
s5,1,0.460995,0.543478,[ 3 47] ; [ 5 45],[ 4. 46.] ; [ 4. 46.],0
a5,1,0.485131,0.487307,[29 22] ; [26 26],[27.23300971 23.76699029] ; [27.76699029 24.23300971],0
u1,1,0.485219,0.487111,[ 6 45] ; [ 4 48],[ 4.95145631 46.04854369] ; [ 5.04854369 46.95145631],0
u3,1,0.490153,0.47619,[ 5 15] ; [ 7 13],[ 6. 14.] ; [ 6. 14.],0
d2,1,0.537504,0.380185,[21 29] ; [25 27],[22.54901961 27.45098039] ; [23.45098039 28.54901961],0
r1,1,0.549706,0.357845,[23 27] ; [27 25],[24.50980392 25.49019608] ; [25.49019608 26.50980392],0
s3,1,0.550717,0.356034,[13 37] ; [16 35],[14.35643564 35.64356436] ; [14.64356436 36.35643564],0
a2,1,0.584665,0.298753,[11 40] ; [ 9 43],[ 9.90291262 41.09708738] ; [10.09708738 41.90291262],0
a6,1,0.629183,0.23317,[30 21] ; [33 19],[31.19417476 19.80582524] ; [31.80582524 20.19417476],0
n3,1,0.637809,0.22162,[8 7] ; [10 12],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
d5,1,0.639424,0.219497,[33 17] ; [32 20],[31.8627451 18.1372549] ; [33.1372549 18.8627451],0
s4,1,0.738252,0.111669,[ 7 44] ; [ 6 46],[ 6.4368932 44.5631068] ; [ 6.5631068 45.4368932],0
s2,1,0.811362,0.056963,[ 7 44] ; [ 8 44],[ 7.42718447 43.57281553] ; [ 7.57281553 44.42718447],0
d4,1,0.834793,0.043497,[33 18] ; [34 17],[33.5 17.5] ; [33.5 17.5],0
a8,1,0.871367,0.026219,[ 3 41] ; [ 3 47],[ 2.80851064 41.19148936] ; [ 3.19148936 46.80851064],0
v1,1,0.906564,0.013777,[12 38] ; [13 39],[12.25490196 37.74509804] ; [12.74509804 39.25490196],0
b3,1,0.944949,0.004768,[10 17] ; [11 18],[10.125 16.875] ; [10.875 18.125],0
b2,1,0.944949,0.004768,[10 17] ; [11 18],[10.125 16.875] ; [10.875 18.125],0
a3,1,0.957044,0.002901,[31 18] ; [32 19],[30.87 18.13] ; [32.13 18.87],0
a7,1,0.968408,0.001569,[30 20] ; [31 21],[29.90196078 20.09803922] ; [31.09803922 20.90196078],0
