Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,93.717931,[198  39] ; [145 190],[142.11713287  94.88286713] ; [200.88286713 134.11713287],1
v1,1,0.0,40.513669,[171  67] ; [150 183],[133.79684764 104.20315236] ; [187.20315236 145.79684764],1
s8,1,0.0,26.436958,[141  97] ; [129 214],[110.60240964 127.39759036] ; [159.39759036 183.60240964],1
s7,1,6e-06,20.582577,[143  88] ; [141 191],[116.52575488 114.47424512] ; [167.47424512 164.52575488],1
n5,1,9.5e-05,15.239352,[203  36] ; [240  98],[183.49566724  55.50433276] ; [259.50433276  78.49566724],1
d1,1,0.000405,12.509494,[185  56] ; [216 127],[165.48116438  75.51883562] ; [235.51883562 107.48116438],1
p12,1,0.000409,12.490138,[ 35 203] ; [ 20 318],[ 22.72569444 215.27430556] ; [ 32.27430556 305.72569444],1
p5,1,0.000491,12.148404,[ 44 197] ; [ 29 311],[ 30.28055077 210.71944923] ; [ 42.71944923 297.28055077],1
p3,1,0.00206,9.495657,[142  98] ; [158 184],[123.71134021 116.28865979] ; [176.28865979 165.71134021],0
n4,1,0.002422,9.198901,[207  33] ; [261  82],[192.65866209  47.34133791] ; [275.34133791  67.65866209],0
a1,1,0.003992,8.287378,[ 21 220] ; [ 11 332],[ 13.20547945 227.79452055] ; [ 18.79452055 324.20547945],0
n6,1,0.004393,8.113976,[221  19] ; [286  54],[209.79310345  30.20689655] ; [297.20689655  42.79310345],0
p7,1,0.004577,8.039557,[174  60] ; [208 122],[158.4893617  75.5106383] ; [223.5106383 106.4893617],0
d2,1,0.005374,7.749147,[139 101] ; [158 184],[122.4742268 117.5257732] ; [174.5257732 167.4742268],0
a3,1,0.008334,6.960207,[195  45] ; [246  97],[181.54373928  58.45626072] ; [259.45626072  83.54373928],0
u4,1,0.01647,5.752006,[  9 232] ; [  3 340],[  4.95205479 236.04794521] ; [  7.04794521 335.95205479],0
r3,1,0.01789,5.606882,[238   2] ; [328  14],[233.40206186   6.59793814] ; [332.59793814   9.40206186],0
p1,1,0.021212,5.309255,[ 25 216] ; [ 18 322],[ 17.83648881 223.16351119] ; [ 25.16351119 314.83648881],0
p10,1,0.025298,5.003363,[214  23] ; [285  55],[204.96187175  32.03812825] ; [294.03812825  45.96187175],0
d5,1,0.036686,4.364914,[218  23] ; [290  53],[209.6369863  31.3630137] ; [298.3630137  44.6369863],0
s3,1,0.038037,4.303379,[145  88] ; [183 159],[132.91130435 100.08869565] ; [195.08869565 146.91130435],0
s4,1,0.03855,4.280594,[ 28 210] ; [ 61 276],[ 36.83826087 201.16173913] ; [ 52.16173913 284.83826087],0
s2,1,0.044891,4.022732,[136 102] ; [166 175],[124.13816926 113.86183074] ; [177.86183074 163.13816926],0
p8,1,0.048464,3.893823,[147  88] ; [184 155],[135.51393728  99.48606272] ; [195.48606272 143.51393728],0
p9,1,0.051525,3.791127,[217  19] ; [295  45],[209.77777778  26.22222222] ; [302.22222222  37.77777778],0
v4,1,0.055365,3.671069,[232   7] ; [319  22],[227.05  11.95] ; [323.95  17.05],0
r4,1,0.068243,3.32479,[225  16] ; [305  38],[218.71575342  22.28424658] ; [311.28424658  31.71575342],0
a4,1,0.073396,3.205382,[123 117] ; [150 193],[112.38421955 127.61578045] ; [160.61578045 182.38421955],0
a2,1,0.07894,3.086599,[ 68 173] ; [ 75 268],[ 59.0119863 181.9880137] ; [ 83.9880137 259.0119863],0
u1,1,0.133062,2.256417,[ 55 186] ; [ 61 282],[ 47.86986301 193.13013699] ; [ 68.13013699 274.86986301],0
p2,1,0.155506,2.017394,[215  25] ; [291  49],[209.37931034  30.62068966] ; [296.62068966  43.37931034],0
p4,1,0.175864,1.832232,[158  81] ; [206 134],[150.25215889  88.74784111] ; [213.74784111 126.25215889],0
a5,1,0.222053,1.491054,[193  48] ; [260  83],[186.94006849  54.05993151] ; [266.05993151  76.94006849],0
b3,1,0.280519,1.164573,[71 91] ; [ 80 129],[65.93530997 96.06469003] ; [ 85.06469003 123.93530997],0
b2,1,0.280519,1.164573,[71 91] ; [ 80 129],[65.93530997 96.06469003] ; [ 85.06469003 123.93530997],0
b5,1,0.295312,1.095245,[135 106] ; [207 136],[141.13356164  99.86643836] ; [200.86643836 142.13356164],0
s6,1,0.311833,1.022898,[164  69] ; [225 114],[158.45629371  74.54370629] ; [230.54370629 108.45629371],0
r1,1,0.348284,0.879699,[199  41] ; [273  69],[194.63917526  45.36082474] ; [277.36082474  64.63917526],0
a8,1,0.359496,0.839652,[ 36 178] ; [ 45 278],[ 32.27932961 181.72067039] ; [ 48.72067039 274.27932961],0
s5,1,0.367078,0.813532,[ 88 144] ; [114 219],[ 82.94513274 149.05486726] ; [119.05486726 213.94513274],0
n3,1,0.486346,0.4846,[33 12] ; [45 22],[31.33928571 13.66071429] ; [46.66071429 20.33928571],0
r2,1,0.532305,0.389988,[227  12] ; [315  21],[225.28347826  13.71652174] ; [316.71652174  19.28347826],0
n2,1,0.538424,0.378468,[34 10] ; [49 19],[32.60714286 11.39285714] ; [50.39285714 17.60714286],0
s1,1,0.589988,0.290364,[  4 232] ; [  8 333],[  4.90814558 231.09185442] ; [  7.09185442 333.90814558],0
p6,1,0.594919,0.282727,[ 94 141] ; [127 209],[ 90.95446585 144.04553415] ; [130.04553415 205.95446585],0
b1,1,0.802562,0.062516,[ 84 157] ; [123 220],[ 85.42294521 155.57705479] ; [121.57705479 221.42294521],0
a7,1,0.820362,0.051565,[175  65] ; [253  90],[176.19210978  63.80789022] ; [251.80789022  91.19210978],0
d3,1,0.851115,0.03523,[185  56] ; [261  82],[184.05136986  56.94863014] ; [261.94863014  81.05136986],0
u2,1,0.914124,0.011629,[29 17] ; [59 36],[28.70921986 17.29078014] ; [59.29078014 35.70921986],0
a6,1,0.920103,0.010061,[167  73] ; [240 103],[167.54716981  72.45283019] ; [239.45283019 103.54716981],0
b4,1,0.931169,0.007461,[147  94] ; [208 135],[146.49828767  94.50171233] ; [208.50171233 134.49828767],0
n1,1,0.932397,0.007196,[14 29] ; [23 46],[14.20535714 28.79464286] ; [22.79464286 46.20535714],0
u3,1,0.954014,0.003326,[29 17] ; [61 35],[29.15492958 16.84507042] ; [60.84507042 35.15492958],0
