Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.278352,[12  5] ; [22 96],[ 4.28148148 12.71851852] ; [29.71851852 88.28148148],1
s6,1,0.000177,14.057376,[14  2] ; [46 75],[7.00729927 8.99270073] ; [52.99270073 68.00729927],1
s2,1,0.000688,11.52039,[12  5] ; [35 86],[ 5.78985507 11.21014493] ; [41.21014493 79.78985507],1
p1,1,0.004682,7.99835,[ 5 12] ; [  9 113],[ 1.71223022 15.28776978] ; [ 12.28776978 109.71223022],0
s5,1,0.005276,7.782159,[7 8] ; [19 98],[ 2.95454545 12.04545455] ; [23.04545455 93.95454545],0
p3,1,0.011208,6.431959,[ 7 10] ; [ 19 103],[ 3.17985612 13.82014388] ; [22.82014388 99.17985612],0
p8,1,0.013113,6.153773,[ 6 11] ; [ 15 107],[ 2.56834532 14.43165468] ; [ 18.43165468 103.56834532],0
s1,1,0.021349,5.29805,[ 4 13] ; [  8 112],[ 1.48905109 15.51094891] ; [ 10.51094891 109.48905109],0
s7,1,0.022743,5.187995,[10  7] ; [35 79],[ 5.83969466 11.16030534] ; [39.16030534 74.83969466],0
b5,1,0.031626,4.618677,[14  3] ; [67 55],[9.90647482 7.09352518] ; [71.09352518 50.90647482],0
a6,1,0.034378,4.475802,[14  3] ; [67 54],[9.97826087 7.02173913] ; [71.02173913 49.97826087],0
r4,1,0.046058,3.97948,[15  2] ; [78 44],[11.37410072  5.62589928] ; [81.62589928 40.37410072],0
v4,1,0.055296,3.673143,[16  1] ; [88 33],[12.8115942  4.1884058] ; [91.1884058 29.8115942],0
r3,1,0.055296,3.673143,[16  1] ; [88 33],[12.8115942  4.1884058] ; [91.1884058 29.8115942],0
s3,1,0.059199,3.559671,[10  6] ; [45 74],[6.51851852 9.48148148] ; [48.48148148 70.51851852],0
v1,1,0.067026,3.3544,[9 8] ; [37 84],[ 5.66666667 11.33333333] ; [40.33333333 80.66666667],0
s8,1,0.103799,2.64618,[7 9] ; [30 92],[ 4.28985507 11.71014493] ; [32.71014493 89.28985507],0
a4,1,0.120066,2.416463,[ 4 13] ; [52 68],[ 6.94890511 10.05109489] ; [49.05109489 70.94890511],0
a2,1,0.131945,2.269469,[ 1 16] ; [26 96],[ 3.30215827 13.69784173] ; [23.69784173 98.30215827],0
p10,1,0.194835,1.680672,[11  6] ; [57 62],[8.5 8.5] ; [59.5 59.5],0
n6,1,0.244577,1.354019,[13  4] ; [75 46],[10.84057971  6.15942029] ; [77.15942029 43.84057971],0
d5,1,0.28782,1.129789,[9 8] ; [80 41],[10.96376812  6.03623188] ; [78.03623188 42.96376812],0
r2,1,0.298874,1.079212,[16  1] ; [100  18],[14.60740741  2.39259259] ; [101.39259259  16.60740741],0
a8,1,0.299018,1.07857,[ 3 14] ; [ 11 106],[ 1.7761194 15.2238806] ; [ 12.2238806 104.7761194],0
v2,1,0.338,0.918004,[8 7] ; [46 68],[6.27906977 8.72093023] ; [47.72093023 66.27906977],0
d1,1,0.342565,0.900808,[ 6 11] ; [58 64],[7.82733813 9.17266187] ; [56.17266187 65.82733813],0
u1,1,0.437664,0.602399,[ 1 16] ; [ 15 107],[ 1.95683453 15.04316547] ; [ 14.04316547 107.95683453],0
d4,1,0.491584,0.473056,[11  6] ; [88 33],[12.19565217  4.80434783] ; [86.80434783 34.19565217],0
b1,1,0.495352,0.46488,[10  7] ; [61 61],[8.68345324 8.31654676] ; [62.31654676 59.68345324],0
p11,1,0.495352,0.46488,[ 7 10] ; [61 61],[8.31654676 8.68345324] ; [59.68345324 62.31654676],0
u2,1,0.530703,0.393046,[4 3] ; [20 25],[3.23076923 3.76923077] ; [20.76923077 24.23076923],0
p5,1,0.594492,0.283384,[ 1 16] ; [  4 117],[ 0.61594203 16.38405797] ; [  4.38405797 116.61594203],0
s4,1,0.597512,0.278765,[ 4 13] ; [22 99],[ 3.20289855 13.79710145] ; [22.79710145 98.20289855],0
a1,1,0.599919,0.275119,[ 1 16] ; [ 12 110],[ 1.58992806 15.41007194] ; [ 11.41007194 110.58992806],0
u3,1,0.605806,0.266328,[4 3] ; [21 24],[3.36538462 3.63461538] ; [21.63461538 23.36538462],0
d3,1,0.606456,0.265369,[8 9] ; [65 56],[8.99275362 8.00724638] ; [64.00724638 56.99275362],0
p9,1,0.608121,0.26292,[10  7] ; [60 55],[9.01515152 7.98484848] ; [60.98484848 54.01515152],0
b3,1,0.615864,0.251724,[3 7] ; [29 47],[3.72093023 6.27906977] ; [28.27906977 47.72093023],0
b2,1,0.615864,0.251724,[3 7] ; [29 47],[3.72093023 6.27906977] ; [28.27906977 47.72093023],0
v3,1,0.635314,0.224923,[ 6 10] ; [36 78],[ 5.16923077 10.83076923] ; [36.83076923 77.16923077],0
n4,1,0.665961,0.186363,[12  5] ; [79 42],[11.21014493  5.78985507] ; [79.78985507 41.21014493],0
a3,1,0.668448,0.183423,[10  7] ; [77 43],[10.79562044  6.20437956] ; [76.20437956 43.79562044],0
b4,1,0.681269,0.168701,[9 8] ; [71 51],[9.78417266 7.21582734] ; [70.21582734 51.78417266],0
d2,1,0.696207,0.152447,[ 7 10] ; [55 64],[7.75 9.25] ; [54.25 64.75],0
n1,1,0.72704,0.121847,[2 3] ; [26 28],[2.37288136 2.62711864] ; [25.62711864 28.37288136],0
a7,1,0.729252,0.1198,[11  6] ; [73 48],[10.34782609  6.65217391] ; [73.65217391 47.34782609],0
p12,1,0.740394,0.10978,[ 1 16] ; [  5 116],[ 0.73913043 16.26086957] ; [  5.26086957 115.73913043],0
n3,1,0.86347,0.02957,[3 2] ; [28 22],[2.81818182 2.18181818] ; [28.18181818 21.81818182],0
r1,1,0.879463,0.022998,[11  6] ; [76 45],[10.7173913  6.2826087] ; [76.2826087 44.7173913],0
n5,1,0.931542,0.00738,[11  6] ; [77 44],[10.84057971  6.15942029] ; [77.15942029 43.84057971],0
a5,1,0.936442,0.006359,[10  7] ; [73 49],[10.15107914  6.84892086] ; [72.84892086 49.15107914],0
