Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,35.96252,[59 98] ; [63 17],[80.8185654 76.1814346] ; [41.1814346 38.8185654],1
v1,1,0.00091,11.00129,[66 91] ; [53 29],[78.17154812 78.82845188] ; [40.82845188 41.17154812],1
p3,1,0.001422,10.176799,[74 87] ; [56 27],[85.77868852 75.22131148] ; [44.22131148 38.77868852],0
r1,1,0.002799,8.934329,[103  56] ; [69 14],[113.00826446  45.99173554] ; [58.99173554 24.00826446],0
s7,1,0.003893,8.333035,[63 89] ; [48 30],[73.35652174 78.64347826] ; [37.64347826 40.35652174],0
n5,1,0.008641,6.895664,[107  52] ; [69 14],[115.63636364  43.36363636] ; [60.36363636 22.63636364],0
r4,1,0.009097,6.803756,[126  35] ; [76  7],[133.28688525  27.71311475] ; [68.71311475 14.28688525],0
n6,1,0.015706,5.835471,[122  38] ; [74  9],[129.05349794  30.94650206] ; [66.94650206 16.05349794],0
n4,1,0.025706,4.975658,[103  57] ; [65 18],[110.61728395  49.38271605] ; [57.38271605 25.61728395],0
p10,1,0.034405,4.474482,[114  44] ; [70 13],[120.63070539  37.36929461] ; [63.36929461 19.63070539],0
p5,1,0.044567,4.034949,[ 16 143] ; [16 67],[ 21.02479339 137.97520661] ; [10.97520661 72.02479339],0
a5,1,0.054382,3.700925,[82 79] ; [53 30],[89.07786885 71.92213115] ; [45.92213115 37.07786885],0
r2,1,0.072607,3.223083,[133  24] ; [77  6],[137.375  19.625] ; [72.625 10.375],0
b2,1,0.086535,2.937676,[26 73] ; [20 30],[30.56375839 68.43624161] ; [15.43624161 34.56375839],0
b3,1,0.086535,2.937676,[26 73] ; [20 30],[30.56375839 68.43624161] ; [15.43624161 34.56375839],0
v4,1,0.099003,2.721531,[143  15] ; [80  3],[146.19917012  11.80082988] ; [76.80082988  6.19917012],0
r3,1,0.103936,2.644089,[145  15] ; [80  3],[148.14814815  11.85185185] ; [76.85185185  6.14814815],0
s8,1,0.109502,2.561392,[ 56 103] ; [38 45],[61.76033058 97.23966942] ; [32.23966942 50.76033058],0
b1,1,0.117563,2.449491,[81 80] ; [33 50],[75.22131148 85.77868852] ; [38.77868852 44.22131148],0
p1,1,0.118842,2.432511,[ 10 150] ; [10 73],[ 13.16872428 146.83127572] ; [ 6.83127572 76.16872428],0
s1,1,0.135345,2.230101,[  8 151] ; [ 1 82],[  5.91322314 153.08677686] ; [ 3.08677686 79.91322314],0
p4,1,0.141335,2.16336,[91 70] ; [55 28],[96.33606557 64.66393443] ; [49.66393443 33.33606557],0
a3,1,0.156123,2.011381,[87 73] ; [53 30],[92.18106996 67.81893004] ; [47.81893004 35.18106996],0
s4,1,0.175152,1.838289,[ 30 129] ; [10 73],[ 26.28099174 132.71900826] ; [13.71900826 69.28099174],0
d2,1,0.176686,1.825282,[ 28 133] ; [ 9 74],[ 24.41393443 136.58606557] ; [12.58606557 70.41393443],0
