Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.1e-05,17.329077,[75  7] ; [22 15],[66.84033613 15.15966387] ; [30.15966387  6.84033613],1
r2,1,0.00113,10.601198,[77  4] ; [26  9],[71.92241379  9.07758621] ; [31.07758621  3.92241379],0
v4,1,0.014238,6.008404,[79  3] ; [30  6],[75.74576271  6.25423729] ; [33.25423729  2.74576271],0
a6,1,0.036425,4.377076,[48 34] ; [14 23],[42.72268908 39.27731092] ; [19.27731092 17.72268908],0
u3,1,0.065899,3.382336,[21 14] ; [ 6 12],[17.83018868 17.16981132] ; [9.16981132 8.83018868],0
b4,1,0.080148,3.061897,[46 36] ; [27 10],[50.30252101 31.69747899] ; [22.69747899 14.30252101],0
a8,1,0.085962,2.948409,[11 67] ; [ 1 32],[ 8.43243243 69.56756757] ; [ 3.56756757 29.43243243],0
a7,1,0.090849,2.859271,[58 22] ; [21 16],[54.01709402 25.98290598] ; [24.98290598 12.01709402],0
b1,1,0.10215,2.671644,[23 59] ; [16 21],[26.87394958 55.12605042] ; [12.12605042 24.87394958],0
s3,1,0.113915,2.499044,[45 35] ; [15 22],[41.02564103 38.97435897] ; [18.97435897 18.02564103],0
s5,1,0.132954,2.257666,[22 57] ; [ 5 29],[18.87610619 60.12389381] ; [ 8.12389381 25.87610619],0
r3,1,0.13428,2.242312,[77  3] ; [33  4],[75.21367521  4.78632479] ; [34.78632479  2.21367521],0
s2,1,0.139705,2.181202,[38 43] ; [12 25],[34.3220339 46.6779661] ; [15.6779661 21.3220339],0
n4,1,0.215718,1.532634,[52 29] ; [28  9],[54.91525424 26.08474576] ; [25.08474576 11.91525424],0
b5,1,0.252865,1.307405,[44 38] ; [24 13],[46.85714286 35.14285714] ; [21.14285714 15.85714286],0
a4,1,0.257428,1.282536,[21 61] ; [ 6 31],[18.60504202 63.39495798] ; [ 8.39495798 28.60504202],0
b2,1,0.266687,1.233709,[10 35] ; [ 8 15],[11.91176471 33.08823529] ; [ 6.08823529 16.91176471],0
b3,1,0.266687,1.233709,[10 35] ; [ 8 15],[11.91176471 33.08823529] ; [ 6.08823529 16.91176471],0
d1,1,0.289694,1.121042,[35 47] ; [12 25],[32.38655462 49.61344538] ; [14.61344538 22.38655462],0
v3,1,0.326989,0.960785,[44 35] ; [17 20],[41.54310345 37.45689655] ; [19.45689655 17.54310345],0
p12,1,0.328548,0.954611,[ 3 76] ; [ 3 34],[ 4.0862069 74.9137931] ; [ 1.9137931 35.0862069],0
d5,1,0.359749,0.838768,[62 20] ; [25 12],[59.94957983 22.05042017] ; [27.05042017  9.94957983],0
s4,1,0.370422,0.802248,[14 67] ; [ 9 28],[15.78813559 65.21186441] ; [ 7.21186441 29.78813559],0
d4,1,0.379514,0.772276,[63 18] ; [26 11],[61.09322034 19.90677966] ; [27.90677966  9.09322034],0
a1,1,0.405943,0.690651,[ 2 80] ; [ 2 35],[ 2.75630252 79.24369748] ; [ 1.24369748 35.75630252],0
s1,1,0.42918,0.625043,[ 2 77] ; [ 2 35],[ 2.72413793 76.27586207] ; [ 1.27586207 35.72413793],0
n2,1,0.530057,0.394282,[13  5] ; [8 5],[12.19354839  5.80645161] ; [8.80645161 4.19354839],0
a3,1,0.544458,0.36734,[47 35] ; [19 18],[45.4789916 36.5210084] ; [20.5210084 16.4789916],0
p1,1,0.549867,0.357555,[ 7 75] ; [ 2 35],[ 6.20168067 75.79831933] ; [ 2.79831933 34.20168067],0
d2,1,0.563977,0.332865,[20 61] ; [11 26],[21.27966102 59.72033898] ; [ 9.72033898 27.27966102],0
p5,1,0.568837,0.324632,[10 71] ; [ 6 31],[10.98305085 70.01694915] ; [ 5.01694915 31.98305085],0
p2,1,0.581108,0.304447,[62 19] ; [30  7],[63.15254237 17.84745763] ; [28.84745763  8.15254237],0
p10,1,0.583577,0.300487,[58 20] ; [25 11],[56.78947368 21.21052632] ; [26.21052632  9.78947368],0
p11,1,0.660662,0.192721,[65 17] ; [28  9],[64.08403361 17.91596639] ; [28.91596639  8.08403361],0
