Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n2,1,0.007442,7.162965,[3 5] ; [19  3],[5.86666667 2.13333333] ; [16.13333333  5.86666667],0
n4,1,0.011017,6.462587,[11 20] ; [34 19],[16.60714286 14.39285714] ; [28.39285714 24.60714286],0
u3,1,0.022862,5.17895,[11  2] ; [ 9 11],[7.87878788 5.12121212] ; [12.12121212  7.87878788],0
p8,1,0.029273,4.751515,[ 5 25] ; [20 30],[ 9.375 20.625] ; [15.625 34.375],0
d3,1,0.040788,4.184814,[26  4] ; [35 18],[22.04819277  7.95180723] ; [38.95180723 14.04819277],0
u1,1,0.050209,3.834449,[ 6 25] ; [ 3 50],[ 3.32142857 27.67857143] ; [ 5.67857143 47.32142857],0
p4,1,0.054945,3.683762,[ 6 25] ; [21 32],[ 9.96428571 21.03571429] ; [17.03571429 35.96428571],0
p11,1,0.063759,3.436803,[16 15] ; [38 15],[19.92857143 11.07142857] ; [34.07142857 18.92857143],0
b5,1,0.078279,3.100286,[24  7] ; [31 22],[20.29761905 10.70238095] ; [34.70238095 18.29761905],0
n6,1,0.081941,3.025978,[22  9] ; [45  7],[25.02409639  5.97590361] ; [41.97590361 10.02409639],0
s5,1,0.093467,2.813625,[10 19] ; [26 22],[13.55844156 15.44155844] ; [22.44155844 25.55844156],0
p7,1,0.124559,2.359042,[10 20] ; [25 24],[13.29113924 16.70886076] ; [21.70886076 27.29113924],0
v2,1,0.14777,2.095118,[17 13] ; [20 30],[13.875 16.125] ; [23.125 26.875],0
s6,1,0.168061,1.90015,[20  9] ; [42  9],[22.475  6.525] ; [39.525 11.475],0
p2,1,0.170136,1.881748,[19 12] ; [40 13],[21.77380952  9.22619048] ; [37.22619048 15.77380952],0
d1,1,0.176362,1.828017,[17 14] ; [21 32],[14.02380952 16.97619048] ; [23.97619048 29.02380952],0
a6,1,0.180998,1.78941,[21 10] ; [28 25],[18.08333333 12.91666667] ; [30.91666667 22.08333333],0
d4,1,0.207075,1.591756,[25  6] ; [36 17],[22.51190476  8.48809524] ; [38.48809524 14.51190476],0
v1,1,0.22649,1.462768,[ 9 22] ; [22 30],[11.57831325 19.42168675] ; [19.42168675 32.57831325],0
a7,1,0.237654,1.394454,[24  6] ; [36 17],[21.68674699  8.31325301] ; [38.31325301 14.68674699],0
p6,1,0.238687,1.388334,[ 5 26] ; [14 37],[ 7.18292683 23.81707317] ; [11.81707317 39.18292683],0
r1,1,0.263059,1.252587,[23  8] ; [33 20],[20.66666667 10.33333333] ; [35.33333333 17.66666667],0
b1,1,0.275816,1.187592,[ 6 25] ; [16 37],[ 8.11904762 22.88095238] ; [13.88095238 39.11904762],0
s8,1,0.296319,1.090688,[11 20] ; [25 28],[13.28571429 17.71428571] ; [22.71428571 30.28571429],0
b4,1,0.357892,0.845275,[19 12] ; [27 26],[16.97619048 14.02380952] ; [29.02380952 23.97619048],0
p10,1,0.37987,0.771123,[25  5] ; [39 13],[23.41463415  6.58536585] ; [40.58536585 11.41463415],0
p1,1,0.419231,0.652471,[ 1 30] ; [ 4 49],[ 1.8452381 29.1547619] ; [ 3.1547619 49.8452381],0
s2,1,0.456241,0.5551,[22  8] ; [34 18],[20.48780488  9.51219512] ; [35.51219512 16.48780488],0
r3,1,0.458214,0.550254,[28  3] ; [44  8],[26.89156627  4.10843373] ; [45.10843373  6.89156627],0
d5,1,0.502609,0.449423,[23  7] ; [37 16],[21.68674699  8.31325301] ; [38.31325301 14.68674699],0
a4,1,0.522473,0.409008,[ 9 22] ; [19 34],[10.33333333 20.66666667] ; [17.66666667 35.33333333],0
v3,1,0.541226,0.373272,[ 8 23] ; [10 40],[ 6.88888889 24.11111111] ; [11.11111111 38.88888889],0
b2,1,0.579534,0.306989,[ 4 11] ; [ 5 21],[ 3.29268293 11.70731707] ; [ 5.70731707 20.29268293],0
b3,1,0.579534,0.306989,[ 4 11] ; [ 5 21],[ 3.29268293 11.70731707] ; [ 5.70731707 20.29268293],0
a5,1,0.619291,0.246865,[17 14] ; [32 21],[18.08333333 12.91666667] ; [30.91666667 22.08333333],0
a3,1,0.703722,0.144629,[18 13] ; [33 20],[18.82142857 12.17857143] ; [32.17857143 20.82142857],0
p9,1,0.70717,0.14112,[23  6] ; [43  9],[23.62962963  5.37037037] ; [42.37037037  9.62962963],0
s7,1,0.736935,0.112839,[15 15] ; [28 24],[15.73170732 14.26829268] ; [27.26829268 24.73170732],0
d2,1,0.793182,0.068738,[12 19] ; [19 34],[11.44047619 19.55952381] ; [19.55952381 33.44047619],0
u2,1,0.828975,0.046663,[7 6] ; [10 10],[6.6969697 6.3030303] ; [10.3030303  9.6969697],0
v4,1,0.853143,0.034265,[28  2] ; [50  3],[28.19277108  1.80722892] ; [49.80722892  3.19277108],0
n3,1,0.896446,0.01694,[6 2] ; [17  5],[6.13333333 1.86666667] ; [16.86666667  5.13333333],0
n1,1,0.900933,0.015496,[2 6] ; [ 6 16],[2.13333333 5.86666667] ; [ 5.86666667 16.13333333],0
s3,1,0.936017,0.006444,[20 11] ; [34 18],[20.1686747 10.8313253] ; [33.8313253 18.1686747],0
r4,1,0.956266,0.003007,[25  6] ; [43 10],[25.0952381  5.9047619] ; [42.9047619 10.0952381],0
a2,1,0.968176,0.001592,[ 4 27] ; [ 7 46],[ 4.05952381 26.94047619] ; [ 6.94047619 46.05952381],0
