Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.003807,8.373469,[ 22 138] ; [31 80],[ 31.29151292 128.70848708] ; [21.70848708 89.29151292],0
r1,1,0.005695,7.644324,[114  49] ; [93 17],[123.59340659  39.40659341] ; [83.40659341 26.59340659],0
p8,1,0.011536,6.380801,[67 94] ; [64 48],[77.25641026 83.74358974] ; [53.74358974 58.25641026],0
p4,1,0.01279,6.197884,[81 81] ; [73 39],[91.05109489 70.94890511] ; [62.94890511 49.05109489],0
s5,1,0.014933,5.924331,[ 43 117] ; [44 63],[ 52.13483146 107.86516854] ; [34.86516854 72.13483146],0
s2,1,0.018449,5.553005,[ 62 100] ; [58 52],[71.47058824 90.52941176] ; [48.52941176 61.47058824],0
r2,1,0.020644,5.356566,[140  18] ; [108   4],[145.12592593  12.87407407] ; [102.87407407   9.12592593],0
s6,1,0.021741,5.266361,[93 66] ; [78 30],[101.83146067  57.16853933] ; [69.16853933 38.83146067],0
s8,1,0.026113,4.94853,[ 57 105] ; [54 57],[65.86813187 96.13186813] ; [45.13186813 65.86813187],0
r4,1,0.02775,4.843528,[131  32] ; [101  11],[137.51272727  25.48727273] ; [94.48727273 17.51272727],0
p10,1,0.027829,4.838651,[111  50] ; [89 21],[118.81918819  42.18081181] ; [81.18081181 28.81918819],0
p9,1,0.05042,3.827437,[118  42] ; [93 18],[124.57564576  35.42435424] ; [86.42435424 24.57564576],0
b4,1,0.071859,3.240031,[84 79] ; [70 42],[91.28 71.72] ; [62.72 49.28],0
n5,1,0.078998,3.085407,[115  47] ; [90 22],[121.20437956  40.79562044] ; [83.79562044 28.20437956],0
p11,1,0.089372,2.885653,[113  50] ; [88 24],[119.13818182  43.86181818] ; [81.86181818 30.13818182],0
p7,1,0.115976,2.470837,[87 74] ; [70 40],[93.27306273 67.72693727] ; [63.72693727 46.27306273],0
b5,1,0.120482,2.411047,[85 78] ; [69 43],[91.28 71.72] ; [62.72 49.28],0
