Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,40.351956,[104   2] ; [21 15],[93.30985915 12.69014085] ; [31.69014085  4.30985915],1
v4,1,0.0,31.878871,[103   3] ; [21 13],[93.88571429 12.11428571] ; [30.11428571  3.88571429],1
r2,1,0.0,28.398637,[102   5] ; [21 14],[92.68309859 14.31690141] ; [30.31690141  4.68309859],1
r1,1,0.0,28.024056,[82 25] ; [10 26],[68.83916084 38.16083916] ; [23.16083916 12.83916084],1
s6,1,0.000354,12.762024,[59 45] ; [ 8 28],[49.77142857 54.22857143] ; [17.22857143 18.77142857],1
n2,1,0.001595,9.965824,[32 10] ; [ 6 12],[26.6 15.4] ; [11.4  6.6],0
p9,1,0.002009,9.541398,[81 22] ; [18 17],[73.89130435 29.10869565] ; [25.10869565  9.89130435],0
s1,1,0.00424,8.178108,[  1 105] ; [ 4 32],[  3.73239437 102.26760563] ; [ 1.26760563 34.73239437],0
s8,1,0.004769,7.964835,[30 76] ; [ 2 34],[23.88732394 82.11267606] ; [ 8.11267606 27.88732394],0
a6,1,0.008868,6.849163,[71 36] ; [15 21],[64.34965035 42.65034965] ; [21.65034965 14.34965035],0
n6,1,0.010902,6.481223,[73 34] ; [16 20],[66.59440559 40.40559441] ; [22.40559441 13.59440559],0
s2,1,0.013295,6.129473,[45 61] ; [ 7 29],[38.81690141 67.18309859] ; [13.18309859 22.81690141],0
p11,1,0.014803,5.939772,[72 35] ; [16 20],[65.84615385 41.15384615] ; [22.15384615 13.84615385],0
a5,1,0.029983,4.710274,[55 52] ; [11 25],[49.38461538 57.61538462] ; [16.61538462 19.38461538],0
u3,1,0.052097,3.772636,[29 20] ; [ 5 11],[25.63076923 23.36923077] ; [8.36923077 7.63076923],0
p3,1,0.052479,3.760427,[21 86] ; [ 2 33],[17.33098592 89.66901408] ; [ 5.66901408 29.33098592],0
d5,1,0.056951,3.624023,[77 29] ; [20 16],[72.4084507 33.5915493] ; [24.5915493 11.4084507],0
d3,1,0.068222,3.325282,[67 39] ; [16 19],[62.39716312 43.60283688] ; [20.60283688 14.39716312],0
v1,1,0.07735,3.119718,[45 61] ; [ 9 26],[40.59574468 65.40425532] ; [13.40425532 21.59574468],0
p7,1,0.08439,2.978253,[44 58] ; [ 9 25],[39.75 62.25] ; [13.25 20.75],0
s7,1,0.085083,2.965028,[27 77] ; [ 4 30],[23.36231884 80.63768116] ; [ 7.63768116 26.36231884],0
p2,1,0.086134,2.945173,[75 32] ; [19 16],[70.83098592 36.16901408] ; [23.16901408 11.83098592],0
p10,1,0.091795,2.842603,[70 34] ; [18 17],[65.84172662 38.15827338] ; [22.15827338 12.84172662],0
p8,1,0.098903,2.723147,[37 69] ; [ 7 28],[33.07801418 72.92198582] ; [10.92198582 24.07801418],0
d4,1,0.126507,2.334854,[84 22] ; [24 12],[80.61971831 25.38028169] ; [27.38028169  8.61971831],0
v2,1,0.133054,2.256507,[46 54] ; [11 24],[42.22222222 57.77777778] ; [14.77777778 20.22222222],0
p1,1,0.140912,2.167973,[  3 104] ; [ 3 32],[  4.52112676 102.47887324] ; [ 1.47887324 33.52112676],0
n1,1,0.142821,2.147294,[12 30] ; [ 2 16],[ 9.8 32.2] ; [ 4.2 13.8],0
b1,1,0.203584,1.616474,[35 72] ; [16 20],[38.16083916 68.83916084] ; [12.83916084 23.16083916],0
s5,1,0.206313,1.597115,[28 75] ; [ 6 30],[25.1942446 77.8057554] ; [ 8.8057554 27.1942446],0
d1,1,0.225416,1.469557,[48 59] ; [12 24],[44.8951049 62.1048951] ; [15.1048951 20.8951049],0
a7,1,0.282611,1.154493,[75 31] ; [22 14],[72.4084507 33.5915493] ; [24.5915493 11.4084507],0
v3,1,0.368776,0.807786,[25 77] ; [ 6 29],[23.08029197 78.91970803] ; [ 7.91970803 27.08029197],0
b4,1,0.411179,0.675388,[60 47] ; [23 13],[62.1048951 44.8951049] ; [20.8951049 15.1048951],0
n3,1,0.41841,0.654777,[27 15] ; [9 8],[25.62711864 16.37288136] ; [10.37288136  6.62711864],0
b3,1,0.429645,0.623782,[13 35] ; [ 6 10],[14.25 33.75] ; [ 4.75 11.25],0
b2,1,0.429645,0.623782,[13 35] ; [ 6 10],[14.25 33.75] ; [ 4.75 11.25],0
d2,1,0.434335,0.611204,[34 73] ; [14 22],[35.91608392 71.08391608] ; [12.08391608 23.91608392],0
b5,1,0.452757,0.563742,[67 40] ; [20 16],[65.0979021 41.9020979] ; [21.9020979 14.0979021],0
s3,1,0.480729,0.497209,[47 60] ; [13 22],[45.21126761 61.78873239] ; [14.78873239 20.21126761],0
s4,1,0.549829,0.357624,[26 81] ; [ 7 29],[24.69230769 82.30769231] ; [ 8.30769231 27.69230769],0
p6,1,0.641961,0.216187,[15 88] ; [ 4 31],[14.18115942 88.81884058] ; [ 4.81884058 30.18115942],0
u2,1,0.664852,0.187683,[24 24] ; [7 9],[23.25 24.75] ; [7.75 8.25],0
u1,1,0.695828,0.152849,[ 8 99] ; [ 2 34],[ 7.48251748 99.51748252] ; [ 2.51748252 33.48251748],0
a3,1,0.761767,0.091907,[58 49] ; [20 15],[58.77464789 48.22535211] ; [19.22535211 15.77464789],0
a8,1,0.76502,0.089338,[ 4 97] ; [ 1 34],[ 3.71323529 97.28676471] ; [ 1.28676471 33.71323529],0
a1,1,0.786087,0.073655,[  4 103] ; [ 1 35],[  3.74125874 103.25874126] ; [ 1.25874126 34.74125874],0
n5,1,0.810789,0.057316,[35 72] ; [11 25],[34.41958042 72.58041958] ; [11.58041958 24.41958042],0
a2,1,0.888099,0.019799,[11 96] ; [ 4 32],[11.22377622 95.77622378] ; [ 3.77622378 32.22377622],0
a4,1,0.97771,0.000781,[27 80] ; [ 9 27],[26.93706294 80.06293706] ; [ 9.06293706 26.93706294],0
