Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.691367,[13 27] ; [70 22],[25.15151515 14.84848485] ; [57.84848485 34.15151515],1
d3,1,0.000103,15.083152,[17 23] ; [71 21],[26.66666667 13.33333333] ; [61.33333333 30.66666667],1
b5,1,0.000323,12.933235,[13 27] ; [61 31],[22.42424242 17.57575758] ; [51.57575758 40.42424242],1
a2,1,0.002662,9.025729,[ 2 38] ; [26 66],[ 8.48484848 31.51515152] ; [19.51515152 72.48484848],0
r3,1,0.004677,8.0003,[29 11] ; [84  8],[34.24242424  5.75757576] ; [78.75757576 13.24242424],0
p2,1,0.013325,6.125405,[15 25] ; [56 36],[21.51515152 18.48484848] ; [49.48484848 42.51515152],0
r4,1,0.014664,5.95645,[23 17] ; [72 20],[28.78787879 11.21212121] ; [66.21212121 25.78787879],0
v4,1,0.020271,5.388406,[28 12] ; [80 12],[32.72727273  7.27272727] ; [75.27272727 16.72727273],0
u1,1,0.023852,5.105389,[ 2 38] ; [19 73],[ 6.36363636 33.63636364] ; [14.63636364 77.36363636],0
n4,1,0.079465,3.075815,[21 19] ; [63 29],[25.45454545 14.54545455] ; [58.54545455 33.45454545],0
r2,1,0.083011,3.004948,[30  8] ; [83  9],[33.03076923  4.96923077] ; [79.96923077 12.03076923],0
a3,1,0.106531,2.60495,[22 18] ; [64 28],[26.06060606 13.93939394] ; [59.93939394 32.06060606],0
s6,1,0.107865,2.585227,[15 24] ; [49 42],[19.2 19.8] ; [44.8 46.2],0
r1,1,0.109345,2.563662,[26 14] ; [72 20],[29.6969697 10.3030303] ; [68.3030303 23.6969697],0
p4,1,0.115582,2.47619,[11 28] ; [39 52],[15. 24.] ; [35. 56.],0
n5,1,0.138277,2.197029,[17 23] ; [52 40],[20.90909091 19.09090909] ; [48.09090909 43.90909091],0
n3,1,0.139358,2.185031,[5 9] ; [19 13],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
s5,1,0.141773,2.15861,[11 28] ; [15 74],[ 7.921875 31.078125] ; [18.078125 70.921875],0
v2,1,0.151216,2.059938,[15 25] ; [46 44],[18.76923077 21.23076923] ; [42.23076923 47.76923077],0
p3,1,0.152169,2.050368,[17 23] ; [27 64],[13.4351145 26.5648855] ; [30.5648855 60.4351145],0
s4,1,0.156972,2.003157,[ 8 31] ; [10 80],[ 5.44186047 33.55813953] ; [12.55813953 77.44186047],0
n6,1,0.192869,1.695566,[23 17] ; [63 28],[26.25954198 13.74045802] ; [59.74045802 31.25954198],0
p11,1,0.198386,1.65422,[16 24] ; [48 44],[19.39393939 20.60606061] ; [44.60606061 47.39393939],0
s1,1,0.217306,1.522072,[ 4 36] ; [ 4 87],[ 2.44274809 37.55725191] ; [ 5.55725191 85.44274809],0
u3,1,0.279617,1.168949,[ 8 10] ; [17 11],[9.7826087 8.2173913] ; [15.2173913 12.7826087],0
d5,1,0.310713,1.027641,[31  9] ; [78 14],[33.03030303  6.96969697] ; [75.96969697 16.03030303],0
