Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001873,9.669892,[16 11] ; [ 4 20],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
p8,1,0.003922,8.319498,[12 15] ; [ 2 22],[ 7.41176471 19.58823529] ; [ 6.58823529 17.41176471],0
n6,1,0.005384,7.745569,[16 11] ; [ 5 19],[11.11764706 15.88235294] ; [ 9.88235294 14.11764706],0
p2,1,0.00846,6.933333,[15 12] ; [ 5 20],[10.38461538 16.61538462] ; [ 9.61538462 15.38461538],0
u2,1,0.009578,6.711746,[6 4] ; [ 1 11],[3.18181818 6.81818182] ; [3.81818182 8.18181818],0
a1,1,0.032156,4.590185,[ 1 26] ; [ 6 19],[ 3.63461538 23.36538462] ; [ 3.36538462 21.63461538],0
n4,1,0.044483,4.038141,[12 15] ; [18  7],[15.57692308 11.42307692] ; [14.42307692 10.57692308],0
p9,1,0.052489,3.760105,[13 12] ; [ 6 18],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
d5,1,0.053949,3.714286,[18  9] ; [10 15],[14.53846154 12.46153846] ; [13.46153846 11.53846154],0
p1,1,0.066098,3.377348,[ 1 26] ; [ 5 20],[ 3.11538462 23.88461538] ; [ 2.88461538 22.11538462],0
s7,1,0.074591,3.178993,[ 7 17] ; [ 2 21],[ 4.59574468 19.40425532] ; [ 4.40425532 18.59574468],0
b5,1,0.087493,2.9199,[15 12] ; [ 8 17],[11.94230769 15.05769231] ; [11.05769231 13.94230769],0
r2,1,0.108478,2.576253,[19  6] ; [13 11],[16.32653061  8.67346939] ; [15.67346939  8.32653061],0
r1,1,0.121552,2.397211,[12 15] ; [ 6 19],[ 9.34615385 17.65384615] ; [ 8.65384615 16.34615385],0
n3,1,0.12663,2.333333,[8 6] ; [ 4 10],[6. 8.] ; [6. 8.],0
s1,1,0.132897,2.258333,[ 1 26] ; [ 4 21],[ 2.59615385 24.40384615] ; [ 2.40384615 22.59615385],0
a7,1,0.147697,2.095874,[14 13] ; [ 8 17],[11.42307692 15.57692308] ; [10.57692308 14.42307692],0
p4,1,0.148042,2.092308,[10 16] ; [ 5 20],[ 7.64705882 18.35294118] ; [ 7.35294118 17.64705882],0
p11,1,0.14924,2.08,[ 9 18] ; [ 4 21],[ 6.75 20.25] ; [ 6.25 18.75],0
n2,1,0.190932,1.710408,[9 6] ; [5 9],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
d3,1,0.261979,1.258272,[15 12] ; [10 15],[12.98076923 14.01923077] ; [12.01923077 12.98076923],0
s2,1,0.266856,1.232837,[ 5 22] ; [ 2 23],[ 3.63461538 23.36538462] ; [ 3.36538462 21.63461538],0
p5,1,0.357193,0.847739,[ 3 24] ; [ 1 23],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
d4,1,0.415801,0.662152,[16 11] ; [12 13],[14.53846154 12.46153846] ; [13.46153846 11.53846154],0
b1,1,0.429565,0.624,[18  9] ; [14 11],[16.61538462 10.38461538] ; [15.38461538  9.61538462],0
a2,1,0.442181,0.590617,[ 4 23] ; [ 2 23],[ 3.11538462 23.88461538] ; [ 2.88461538 22.11538462],0
d1,1,0.48762,0.481773,[10 17] ; [ 7 18],[ 8.82692308 18.17307692] ; [ 8.17307692 16.82692308],0
a3,1,0.524065,0.405886,[17 10] ; [13 11],[15.88235294 11.11764706] ; [14.11764706  9.88235294],0
s5,1,0.528533,0.397212,[ 1 25] ; [ 2 23],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
d2,1,0.538962,0.377467,[ 9 18] ; [10 14],[10.05882353 16.94117647] ; [ 8.94117647 15.05882353],0
p7,1,0.54429,0.367647,[ 9 16] ; [ 7 18],[ 8. 17.] ; [ 8. 17.],0
v3,1,0.569479,0.323556,[ 6 21] ; [ 4 21],[ 5.19230769 21.80769231] ; [ 4.80769231 20.19230769],0
a5,1,0.585864,0.296849,[15 12] ; [12 13],[14.01923077 12.98076923] ; [12.98076923 12.01923077],0
n1,1,0.588439,0.292788,[6 9] ; [7 7],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
s3,1,0.623808,0.240551,[ 6 20] ; [ 7 17],[ 6.76 19.24] ; [ 6.24 17.76],0
n5,1,0.677166,0.173333,[18  9] ; [18  7],[18.69230769  8.30769231] ; [17.30769231  7.69230769],0
a4,1,0.75596,0.096591,[ 9 18] ; [ 9 15],[ 9.52941176 17.47058824] ; [ 8.47058824 15.52941176],0
b2,1,0.765243,0.089164,[8 9] ; [ 8 11],[7.55555556 9.44444444] ; [ 8.44444444 10.55555556],0
b3,1,0.765243,0.089164,[8 9] ; [ 8 11],[7.55555556 9.44444444] ; [ 8.44444444 10.55555556],0
b4,1,0.797205,0.066032,[15 12] ; [13 12],[14.53846154 12.46153846] ; [13.46153846 11.53846154],0
p3,1,0.872687,0.025679,[ 7 20] ; [ 6 19],[ 6.75 20.25] ; [ 6.25 18.75],0
v1,1,0.879168,0.023111,[ 6 21] ; [ 6 19],[ 6.23076923 20.76923077] ; [ 5.76923077 19.23076923],0
s4,1,0.90579,0.014007,[ 4 23] ; [ 4 21],[ 4.15384615 22.84615385] ; [ 3.84615385 21.15384615],0
p12,1,0.955731,0.003081,[ 1 26] ; [ 1 24],[ 1.03846154 25.96153846] ; [ 0.96153846 24.03846154],0
a6,1,0.991476,0.000114,[13 14] ; [12 13],[12.98076923 14.01923077] ; [12.01923077 12.98076923],0
