Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.213975,[44  6] ; [11 20],[33.95061728 16.04938272] ; [21.04938272  9.95061728],1
a5,1,0.000597,11.785322,[39 14] ; [11 20],[31.54761905 21.45238095] ; [18.45238095 12.54761905],1
a4,1,0.016704,5.727247,[24 29] ; [ 6 25],[18.92857143 34.07142857] ; [11.07142857 19.92857143],0
s7,1,0.018422,5.555556,[25 25] ; [ 7 23],[20. 30.] ; [12. 18.],0
d2,1,0.037461,4.329341,[24 29] ; [ 7 24],[19.55952381 33.44047619] ; [11.44047619 19.55952381],0
p11,1,0.038119,4.299696,[42 11] ; [18 13],[37.85714286 15.14285714] ; [22.14285714  8.85714286],0
d5,1,0.050714,3.817706,[40 13] ; [17 14],[35.96428571 17.03571429] ; [21.03571429  9.96428571],0
s6,1,0.05622,3.645514,[27 23] ; [10 21],[22.83950617 27.16049383] ; [14.16049383 16.83950617],0
n6,1,0.062855,3.460399,[36 14] ; [16 15],[32.09876543 17.90123457] ; [19.90123457 11.09876543],0
a6,1,0.08009,3.063064,[31 22] ; [12 19],[27.13095238 25.86904762] ; [15.86904762 15.13095238],0
a1,1,0.089681,2.880097,[ 8 45] ; [ 1 30],[ 5.67857143 47.32142857] ; [ 3.32142857 27.67857143],0
s8,1,0.098812,2.724612,[19 33] ; [ 6 25],[15.6626506 36.3373494] ; [ 9.3373494 21.6626506],0
a3,1,0.106994,2.598068,[36 17] ; [15 15],[32.56626506 20.43373494] ; [18.43373494 11.56626506],0
n1,1,0.109906,2.555573,[ 9 10] ; [2 9],[ 6.96666667 12.03333333] ; [4.03333333 6.96666667],0
n3,1,0.122056,2.390742,[14  5] ; [5 6],[12.03333333  6.96666667] ; [6.96666667 4.03333333],0
p1,1,0.14308,2.144515,[ 7 46] ; [ 1 29],[ 5.10843373 47.89156627] ; [ 2.89156627 27.10843373],0
p6,1,0.155383,2.018595,[17 33] ; [ 6 25],[14.19753086 35.80246914] ; [ 8.80246914 22.19753086],0
v3,1,0.158757,1.986029,[16 36] ; [ 5 25],[13.31707317 38.68292683] ; [ 7.68292683 22.31707317],0
n2,1,0.159877,1.975393,[15  4] ; [6 5],[13.3  5.7] ; [7.7 3.3],0
d1,1,0.190824,1.711246,[23 30] ; [ 9 22],[20.19047619 32.80952381] ; [11.80952381 19.19047619],0
d3,1,0.209768,1.573028,[26 27] ; [19 11],[28.73493976 24.26506024] ; [16.26506024 13.73493976],0
a2,1,0.23788,1.393114,[ 8 45] ; [ 2 29],[ 6.30952381 46.69047619] ; [ 3.69047619 27.30952381],0
r3,1,0.25223,1.31091,[36 13] ; [19 12],[33.6875 15.3125] ; [21.3125  9.6875],0
v2,1,0.265211,1.24135,[23 27] ; [10 20],[20.625 29.375] ; [12.375 17.625],0
p3,1,0.268258,1.225631,[21 30] ; [ 9 22],[18.65853659 32.34146341] ; [11.34146341 19.65853659],0
s5,1,0.323639,0.974185,[ 8 40] ; [ 8 23],[ 9.72151899 38.27848101] ; [ 6.27848101 24.72151899],0
a7,1,0.357892,0.845275,[27 26] ; [19 12],[29.02380952 23.97619048] ; [16.97619048 14.02380952],0
p5,1,0.367164,0.813242,[ 9 43] ; [ 3 27],[ 7.6097561 44.3902439] ; [ 4.3902439 25.6097561],0
p2,1,0.437606,0.602552,[38 12] ; [25  5],[39.375 10.625] ; [23.625  6.375],0
u3,1,0.465209,0.533333,[ 5 11] ; [7 9],[ 6. 10.] ; [ 6. 10.],0
u2,1,0.476033,0.507937,[ 6 10] ; [8 8],[7. 9.] ; [7. 9.],0
p4,1,0.476403,0.507087,[26 26] ; [13 18],[24.43373494 27.56626506] ; [14.56626506 16.43373494],0
v4,1,0.503258,0.44806,[33 15] ; [22  7],[34.28571429 13.71428571] ; [20.71428571  8.28571429],0
p7,1,0.538811,0.377747,[26 24] ; [13 16],[24.6835443 25.3164557] ; [14.3164557 14.6835443],0
p10,1,0.563703,0.333333,[41  9] ; [23  7],[40. 10.] ; [24.  6.],0
d4,1,0.567309,0.327206,[39 14] ; [21 10],[37.85714286 15.14285714] ; [22.14285714  8.85714286],0
s2,1,0.608359,0.262571,[21 30] ; [11 20],[19.90243902 31.09756098] ; [12.09756098 18.90243902],0
r2,1,0.608579,0.26225,[28 18] ; [20 10],[29.05263158 16.94736842] ; [18.94736842 11.05263158],0
s1,1,0.613138,0.25563,[ 3 50] ; [ 1 30],[ 2.52380952 50.47619048] ; [ 1.47619048 29.52380952],0
r1,1,0.624165,0.240057,[14 37] ; [ 7 24],[13.06097561 37.93902439] ; [ 7.93902439 23.06097561],0
s3,1,0.62548,0.23824,[24 25] ; [13 17],[22.94936709 26.05063291] ; [14.05063291 15.94936709],0
b4,1,0.674181,0.17675,[30 23] ; [19 12],[30.91666667 22.08333333] ; [18.08333333 12.91666667],0
v1,1,0.740786,0.109437,[21 28] ; [14 16],[21.70886076 27.29113924] ; [13.29113924 16.70886076],0
b5,1,0.800837,0.063637,[31 22] ; [19 12],[31.54761905 21.45238095] ; [18.45238095 12.54761905],0
b1,1,0.858634,0.031724,[28 25] ; [17 14],[28.39285714 24.60714286] ; [16.60714286 14.39285714],0
p12,1,0.870733,0.02648,[ 2 49] ; [ 1 30],[ 1.86585366 49.13414634] ; [ 1.13414634 29.86585366],0
a8,1,0.872337,0.025822,[ 4 45] ; [ 2 26],[ 3.81818182 45.18181818] ; [ 2.18181818 25.81818182],0
s4,1,0.928077,0.008148,[ 8 44] ; [ 5 26],[ 8.14457831 43.85542169] ; [ 4.85542169 26.14457831],0
u1,1,0.97074,0.001345,[ 5 48] ; [ 3 28],[ 5.04761905 47.95238095] ; [ 2.95238095 28.04761905],0
b2,1,0.989825,0.000163,[11 24] ; [ 5 11],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
b3,1,0.989825,0.000163,[11 24] ; [ 5 11],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
p8,1,0.990737,0.000135,[19 33] ; [11 19],[19.02439024 32.97560976] ; [10.97560976 19.02439024],0
