Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.8697,[ 65 280] ; [18 14],[ 75.95490716 269.04509284] ; [ 7.04509284 24.95490716],1
p12,1,1e-05,19.600614,[  9 342] ; [ 6 27],[ 13.7109375 337.2890625] ; [ 1.2890625 31.7109375],1
p3,1,0.000544,11.957728,[150 202] ; [25  9],[159.58549223 192.41450777] ; [15.41450777 18.58549223],1
p7,1,0.001685,9.864014,[191 160] ; [28  6],[199.65974026 151.34025974] ; [19.34025974 14.65974026],0
p4,1,0.001898,9.645245,[178 174] ; [26  7],[186.51428571 165.48571429] ; [17.48571429 15.51428571],0
v3,1,0.003522,8.514987,[115 228] ; [19 13],[122.56533333 220.43466667] ; [11.43466667 20.56533333],0
p8,1,0.00445,8.090498,[162 184] ; [24  9],[169.80474934 176.19525066] ; [16.19525066 16.80474934],0
p10,1,0.006089,7.52391,[252  98] ; [31  2],[258.61618799  91.38381201] ; [24.38381201  8.61618799],0
p9,1,0.019311,5.473116,[266  83] ; [31  2],[271.34293194  77.65706806] ; [25.65706806  7.34293194],0
a5,1,0.024138,5.084708,[247 106] ; [30  4],[252.66408269 100.33591731] ; [24.33591731  9.66408269],0
s7,1,0.036119,4.391462,[ 86 250] ; [13 17],[ 90.8852459 245.1147541] ; [ 8.1147541 21.8852459],0
p6,1,0.038387,4.287801,[107 240] ; [16 17],[112.31842105 234.68157895] ; [10.68157895 22.31842105],0
s8,1,0.042349,4.121189,[ 82 268] ; [13 20],[ 86.81462141 263.18537859] ; [ 8.18537859 24.81462141],0
p11,1,0.053194,3.737812,[258  95] ; [30  4],[262.69767442  90.30232558] ; [25.30232558  8.69767442],0
b4,1,0.064744,3.411481,[191 162] ; [24 10],[196.11111111 156.88888889] ; [18.88888889 15.11111111],0
b3,1,0.06494,3.40651,[ 72 134] ; [13 11],[ 76.13043478 129.86956522] ; [ 8.86956522 15.13043478],0
b2,1,0.06494,3.40651,[ 72 134] ; [13 11],[ 76.13043478 129.86956522] ; [ 8.86956522 15.13043478],0
n4,1,0.077272,3.121367,[251 102] ; [29  5],[255.4005168  97.5994832] ; [24.5994832  9.4005168],0
n5,1,0.085021,2.966201,[239 112] ; [28  6],[243.42077922 107.57922078] ; [23.57922078 10.42077922],0
u2,1,0.088147,2.907895,[56 60] ; [7 2],[58.464 57.536] ; [4.536 4.464],0
p1,1,0.113789,2.50079,[ 25 327] ; [ 5 29],[ 27.35751295 324.64248705] ; [ 2.64248705 31.35751295],0
s6,1,0.115326,2.479671,[146 203] ; [17 13],[150.09762533 198.90237467] ; [12.90237467 17.09762533],0
