Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000796,11.25,[56  8] ; [8 8],[51.2 12.8] ; [12.8  3.2],1
n6,1,0.002981,8.818935,[55  9] ; [9 8],[50.56790123 13.43209877] ; [13.43209877  3.56790123],0
n1,1,0.004613,8.025124,[9 2] ; [2 8],[5.76190476 5.23809524] ; [5.23809524 4.76190476],0
v3,1,0.02925,4.752862,[30 34] ; [ 3 14],[26.07407407 37.92592593] ; [ 6.92592593 10.07407407],0
p6,1,0.046649,3.957995,[23 39] ; [ 2 15],[19.62025316 42.37974684] ; [ 5.37974684 11.62025316],0
b5,1,0.049842,3.84678,[43 21] ; [ 7 10],[39.50617284 24.49382716] ; [10.49382716  6.50617284],0
p11,1,0.076185,3.144474,[51 13] ; [10  7],[48.19753086 15.80246914] ; [12.80246914  4.19753086],0
p3,1,0.145442,2.11942,[31 32] ; [ 5 12],[28.35 34.65] ; [7.65 9.35],0
p8,1,0.147268,2.100328,[30 31] ; [ 5 12],[27.37179487 33.62820513] ; [7.62820513 9.37179487],0
s5,1,0.17017,1.881448,[12 48] ; [ 1 16],[10.12987013 49.87012987] ; [ 2.87012987 14.12987013],0
a6,1,0.179513,1.801654,[38 26] ; [ 7 10],[35.55555556 28.44444444] ; [9.44444444 7.55555556],0
s8,1,0.179991,1.797697,[26 37] ; [ 4 13],[23.625 39.375] ; [ 6.375 10.625],0
u3,1,0.189333,1.722797,[14 15] ; [4 1],[15.35294118 13.64705882] ; [2.64705882 2.35294118],0
d2,1,0.254072,1.300774,[14 50] ; [ 6 11],[15.80246914 48.19753086] ; [ 4.19753086 12.80246914],0
r1,1,0.254072,1.300774,[50 14] ; [11  6],[48.19753086 15.80246914] ; [12.80246914  4.19753086],0
r4,1,0.255173,1.294757,[56  8] ; [13  4],[54.51851852  9.48148148] ; [14.48148148  2.51851852],0
a3,1,0.263866,1.248362,[35 28] ; [12  5],[37.0125 25.9875] ; [9.9875 7.0125],0
r2,1,0.289822,1.120448,[60  3] ; [15  2],[59.0625  3.9375] ; [15.9375  1.0625],0
b4,1,0.321669,0.982148,[35 29] ; [ 7 10],[33.18518519 30.81481481] ; [8.81481481 8.18518519],0
d3,1,0.334705,0.930607,[23 41] ; [ 4 13],[21.33333333 42.66666667] ; [ 5.66666667 11.33333333],0
p9,1,0.338783,0.915033,[49 14] ; [15  2],[50.4 12.6] ; [13.6  3.4],0
p2,1,0.33956,0.912094,[48 15] ; [11  6],[46.4625 16.5375] ; [12.5375  4.4625],0
r3,1,0.346894,0.884786,[57  6] ; [14  3],[55.9125  7.0875] ; [15.0875  1.9125],0
a8,1,0.355985,0.852007,[ 8 48] ; [ 1 16],[ 6.90410959 49.09589041] ; [ 2.09589041 14.90410959],0
p4,1,0.389329,0.741037,[37 26] ; [8 9],[35.4375 27.5625] ; [9.5625 7.4375],0
p1,1,0.405681,0.691422,[13 50] ; [ 2 15],[11.8125 51.1875] ; [ 3.1875 13.8125],0
p5,1,0.429957,0.622939,[ 8 55] ; [ 1 16],[ 7.0875 55.9125] ; [ 1.9125 15.0875],0
u2,1,0.438661,0.599782,[12 17] ; [3 2],[12.79411765 16.20588235] ; [2.20588235 2.79411765],0
a7,1,0.440266,0.595588,[44 20] ; [10  7],[42.66666667 21.33333333] ; [11.33333333  5.66666667],0
p7,1,0.449387,0.572199,[35 26] ; [8 9],[33.62820513 27.37179487] ; [9.37179487 7.62820513],0
a5,1,0.4639,0.536467,[39 25] ; [12  5],[40.2962963 23.7037037] ; [10.7037037  6.2962963],0
v2,1,0.490899,0.474554,[35 27] ; [8 9],[33.74683544 28.25316456] ; [9.25316456 7.74683544],0
b2,1,0.619825,0.246114,[14 32] ; [2 7],[13.38181818 32.61818182] ; [2.61818182 6.38181818],0
b3,1,0.619825,0.246114,[14 32] ; [2 7],[13.38181818 32.61818182] ; [2.61818182 6.38181818],0
s1,1,0.634359,0.226196,[ 5 57] ; [ 2 15],[ 5.49367089 56.50632911] ; [ 1.50632911 15.49367089],0
a4,1,0.653859,0.201069,[18 44] ; [ 4 13],[17.26582278 44.73417722] ; [ 4.73417722 12.26582278],0
d5,1,0.656353,0.197984,[30 34] ; [9 8],[30.81481481 33.18518519] ; [8.18518519 8.81481481],0
p10,1,0.661019,0.192288,[48 14] ; [14  3],[48.65822785 13.34177215] ; [13.34177215  3.65822785],0
s6,1,0.691681,0.157271,[35 25] ; [9 8],[34.28571429 25.71428571] ; [9.71428571 7.28571429],0
s2,1,0.699793,0.148687,[22 39] ; [ 7 10],[22.67948718 38.32051282] ; [ 6.32051282 10.67948718],0
b1,1,0.718544,0.129892,[27 37] ; [8 9],[27.65432099 36.34567901] ; [7.34567901 9.65432099],0
v4,1,0.800484,0.063868,[56  6] ; [15  2],[55.72151899  6.27848101] ; [15.27848101  1.72151899],0
s3,1,0.830459,0.045844,[30 30] ; [8 9],[29.61038961 30.38961039] ; [8.38961039 8.61038961],0
a2,1,0.93471,0.006711,[ 8 56] ; [ 2 15],[ 7.90123457 56.09876543] ; [ 2.09876543 14.90123457],0
s7,1,0.976165,0.000893,[26 34] ; [7 9],[26.05263158 33.94736842] ; [6.94736842 9.05263158],0
s4,1,0.985653,0.000323,[11 52] ; [ 3 14],[11.025 51.975] ; [ 2.975 14.025],0
