Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,43.210986,[111  36] ; [ 2 23],[96.5755814 50.4244186] ; [16.4244186  8.5755814],1
d5,1,0.0,38.835142,[133  14] ; [10 15],[122.21511628  24.78488372] ; [20.78488372  4.21511628],1
d3,1,2e-06,22.415925,[115  32] ; [ 8 17],[105.12209302  41.87790698] ; [17.87790698  7.12209302],1
a3,1,7.7e-05,15.619344,[118  28] ; [11 14],[110.14035088  35.85964912] ; [18.85964912  6.14035088],1
a5,1,0.000416,12.457714,[126  21] ; [14 11],[119.65116279  27.34883721] ; [20.34883721  4.65116279],1
p4,1,0.000732,11.406518,[121  26] ; [13 12],[114.52325581  32.47674419] ; [19.47674419  5.52325581],1
d2,1,0.001808,9.735371,[79 68] ; [ 5 20],[71.79069767 75.20930233] ; [12.20930233 12.79069767],0
v1,1,0.00734,7.187703,[104  42] ; [11 14],[98.1871345 47.8128655] ; [16.8128655  8.1871345],0
p3,1,0.008132,7.004261,[109  38] ; [12 13],[103.4127907  43.5872093] ; [17.5872093  7.4127907],0
a4,1,0.010358,6.572193,[76 71] ; [ 6 19],[70.08139535 76.91860465] ; [11.91860465 13.08139535],0
p2,1,0.014802,5.939837,[138   9] ; [19  5],[134.96491228  12.03508772] ; [22.03508772  1.96491228],0
p1,1,0.032252,4.585029,[ 18 127] ; [ 7 17],[ 21.44970414 123.55029586] ; [ 3.55029586 20.44970414],0
a2,1,0.075328,3.162918,[ 35 112] ; [ 2 23],[ 31.62209302 115.37790698] ; [ 5.37790698 19.62209302],0
s1,1,0.103034,2.657937,[  3 143] ; [ 2 23],[  4.26900585 141.73099415] ; [ 0.73099415 24.26900585],0
s6,1,0.144594,2.128378,[129  15] ; [19  5],[126.85714286  17.14285714] ; [21.14285714  2.85714286],0
r4,1,0.183563,1.768541,[143   4] ; [23  2],[141.87209302   5.12790698] ; [24.12790698  0.87209302],0
s7,1,0.226037,1.465626,[93 49] ; [18  5],[95.52727273 46.47272727] ; [15.47272727  7.52727273],0
u1,1,0.262035,1.257973,[ 32 115] ; [ 3 22],[ 29.9127907 117.0872093] ; [ 5.0872093 19.9127907],0
b5,1,0.309789,1.031575,[69 78] ; [ 9 16],[66.6627907 80.3372093] ; [11.3372093 13.6627907],0
s3,1,0.321451,0.983034,[105  40] ; [15  9],[102.95857988  42.04142012] ; [17.04142012  6.95857988],0
u3,1,0.329453,0.951045,[19 10] ; [7 7],[17.53488372 11.46511628] ; [8.46511628 5.53488372],0
n1,1,0.411654,0.67402,[13 14] ; [4 2],[13.90909091 13.09090909] ; [3.09090909 2.90909091],0
a1,1,0.412916,0.670388,[ 13 134] ; [ 1 24],[ 11.96511628 135.03488372] ; [ 2.03488372 22.96511628],0
n6,1,0.458439,0.549703,[134  11] ; [22  3],[133.05882353  11.94117647] ; [22.94117647  2.05882353],0
s8,1,0.462351,0.540197,[93 53] ; [14 11],[91.35672515 54.64327485] ; [15.64327485  9.35672515],0
v3,1,0.487111,0.482901,[74 72] ; [14 10],[75.57647059 70.42352941] ; [12.42352941 11.57647059],0
n3,1,0.488593,0.479623,[18  8] ; [5 1],[18.6875  7.3125] ; [4.3125 1.6875],0
s4,1,0.568279,0.32557,[ 33 112] ; [ 7 18],[ 34.11764706 110.88235294] ; [ 5.88235294 19.11764706],0
s2,1,0.584239,0.299432,[107  39] ; [17  8],[105.87134503  40.12865497] ; [18.12865497  6.87134503],0
u2,1,0.585705,0.297102,[15 14] ; [6 8],[14.1627907 14.8372093] ; [6.8372093 7.1627907],0
p9,1,0.619697,0.246294,[138   8] ; [23  2],[137.4619883   8.5380117] ; [23.5380117  1.4619883],0
b2,1,0.620685,0.244906,[43 51] ; [5 8],[42.1682243 51.8317757] ; [5.8317757 7.1682243],0
b3,1,0.620685,0.244906,[43 51] ; [5 8],[42.1682243 51.8317757] ; [5.8317757 7.1682243],0
v2,1,0.620856,0.244666,[89 56] ; [16  8],[90.0887574 54.9112426] ; [14.9112426  9.0887574],0
p5,1,0.634419,0.226116,[ 42 105] ; [ 8 16],[ 42.98245614 104.01754386] ; [ 7.01754386 16.98245614],0
b4,1,0.668245,0.183661,[89 58] ; [14 11],[88.02906977 58.97093023] ; [14.97093023 10.02906977],0
p10,1,0.682299,0.16755,[138   9] ; [22  2],[137.54385965   9.45614035] ; [22.45614035  1.54385965],0
a8,1,0.732102,0.11719,[ 22 117] ; [ 3 20],[ 21.45061728 117.54938272] ; [ 3.54938272 19.45061728],0
p12,1,0.832593,0.04468,[ 21 125] ; [ 4 21],[ 21.34502924 124.65497076] ; [ 3.65497076 21.34502924],0
a7,1,0.835119,0.043323,[103  44] ; [17  8],[102.55813953  44.44186047] ; [17.44186047  7.55813953],0
n4,1,0.84623,0.037609,[120  27] ; [20  5],[119.65116279  27.34883721] ; [20.34883721  4.65116279],0
b1,1,0.856325,0.032781,[56 91] ; [10 15],[56.40697674 90.59302326] ; [ 9.59302326 15.40697674],0
r3,1,0.885136,0.020869,[141   5] ; [24  1],[140.87719298   5.12280702] ; [24.12280702  0.87719298],0
p7,1,0.912048,0.0122,[131  13] ; [22  2],[131.14285714  12.85714286] ; [21.85714286  2.14285714],0
a6,1,0.927688,0.008236,[89 57] ; [15 10],[88.79532164 57.20467836] ; [15.20467836  9.79532164],0
p6,1,0.948292,0.004206,[86 59] ; [15 10],[86.14705882 58.85294118] ; [14.85294118 10.14705882],0
n5,1,0.956354,0.002995,[122  24] ; [21  4],[122.09356725  23.90643275] ; [20.90643275  4.09356725],0
r1,1,0.963088,0.002142,[128  18] ; [22  3],[128.07017544  17.92982456] ; [21.92982456  3.07017544],0
p11,1,0.972418,0.001196,[129  18] ; [22  3],[129.05232558  17.94767442] ; [21.94767442  3.05232558],0
