Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,35.301348,[100  38] ; [13 39],[82.07368421 55.92631579] ; [30.92631579 21.07368421],1
d4,1,0.0,30.626598,[121  17] ; [26 26],[106.76842105  31.23157895] ; [40.23157895 11.76842105],1
d1,1,0.0,25.553063,[91 47] ; [13 39],[75.53684211 62.46315789] ; [28.46315789 23.53684211],1
a4,1,1e-05,19.501829,[73 65] ; [ 9 43],[59.55789474 78.44210526] ; [22.44210526 29.55789474],1
d5,1,0.000266,13.295147,[120  18] ; [33 19],[111.12631579  26.87368421] ; [41.87368421 10.12631579],1
r1,1,0.001246,10.420347,[113  23] ; [31 20],[104.72727273  31.27272727] ; [39.27272727 11.72727273],0
d2,1,0.001577,9.986281,[72 65] ; [14 38],[62.33862434 74.66137566] ; [23.66137566 28.33862434],0
d3,1,0.002857,8.896321,[96 42] ; [24 28],[87.15789474 50.84210526] ; [32.84210526 19.15789474],0
a6,1,0.002857,8.896321,[105  33] ; [28 24],[96.6 41.4] ; [36.4 15.6],0
p8,1,0.003952,8.30567,[95 43] ; [24 28],[86.43157895 51.56842105] ; [32.56842105 19.43157895],0
u1,1,0.004298,8.153306,[ 29 109] ; [ 2 50],[ 22.51578947 115.48421053] ; [ 8.48421053 43.51578947],0
p10,1,0.005284,7.779551,[115  22] ; [34 18],[108.00529101  28.99470899] ; [40.99470899 11.00529101],0
p9,1,0.010695,6.515288,[118  20] ; [36 16],[111.85263158  26.14736842] ; [42.14736842  9.85263158],0
p11,1,0.015799,5.825141,[117  21] ; [36 16],[111.12631579  26.87368421] ; [41.87368421 10.12631579],0
v2,1,0.024855,5.033944,[83 50] ; [22 28],[76.31147541 56.68852459] ; [28.68852459 21.31147541],0
p2,1,0.068411,3.320738,[118  19] ; [39 13],[113.8042328  23.1957672] ; [43.1957672  8.8042328],0
r4,1,0.091412,2.849326,[126  12] ; [43  9],[122.74736842  15.25263158] ; [46.25263158  5.74736842],0
s5,1,0.094859,2.78992,[41 92] ; [ 9 40],[36.53846154 96.46153846] ; [13.46153846 35.53846154],0
b4,1,0.136415,2.217941,[88 50] ; [27 25],[83.52631579 54.47368421] ; [31.47368421 20.52631579],0
p6,1,0.205744,1.601126,[54 83] ; [15 36],[50.28191489 86.71808511] ; [18.71808511 32.28191489],0
s4,1,0.225653,1.468055,[ 17 118] ; [10 41],[ 19.59677419 115.40322581] ; [ 7.40322581 43.59677419],0
b3,1,0.265163,1.241601,[31 54] ; [ 7 21],[28.5840708 56.4159292] ; [ 9.4159292 18.5840708],0
b2,1,0.265163,1.241601,[31 54] ; [ 7 21],[28.5840708 56.4159292] ; [ 9.4159292 18.5840708],0
r2,1,0.268013,1.226891,[128   7] ; [47  5],[126.3368984   8.6631016] ; [48.6631016  3.3368984],0
s8,1,0.277424,1.179665,[40 98] ; [11 41],[ 37.04210526 100.95789474] ; [13.95789474 38.04210526],0
v1,1,0.2783,1.175371,[77 56] ; [25 26],[73.72826087 59.27173913] ; [28.27173913 22.72826087],0
