Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.004845,7.936508,[4 2] ; [ 1 13],[1.5 4.5] ; [ 3.5 10.5],0
p2,1,0.090969,2.857143,[3 3] ; [12  2],[4.5 1.5] ; [10.5  3.5],0
a6,1,0.095437,2.780183,[5 1] ; [6 8],[3.3 2.7] ; [7.7 6.3],0
d2,1,0.095437,2.780183,[1 5] ; [8 6],[2.7 3.3] ; [6.3 7.7],0
n4,1,0.111017,2.539683,[2 4] ; [10  4],[3.6 2.4] ; [8.4 5.6],0
v3,1,0.163187,1.944444,[1 5] ; [7 7],[2.4 3.6] ; [5.6 8.4],0
p3,1,0.163187,1.944444,[1 5] ; [7 7],[2.4 3.6] ; [5.6 8.4],0
r1,1,0.202288,1.625782,[2 4] ; [9 5],[3.3 2.7] ; [7.7 6.3],0
b5,1,0.260452,1.266353,[5 1] ; [8 6],[3.9 2.1] ; [9.1 4.9],0
d1,1,0.260452,1.266353,[1 5] ; [6 8],[2.1 3.9] ; [4.9 9.1],0
d3,1,0.260452,1.266353,[5 1] ; [8 6],[3.9 2.1] ; [9.1 4.9],0
b1,1,0.329114,0.952381,[4 2] ; [6 8],[3. 3.] ; [7. 7.],0
a3,1,0.329114,0.952381,[2 4] ; [8 6],[3. 3.] ; [7. 7.],0
p5,1,0.357197,0.847724,[3 3] ; [ 4 10],[2.1 3.9] ; [4.9 9.1],0
n5,1,0.357197,0.847724,[3 3] ; [10  4],[3.9 2.1] ; [9.1 4.9],0
p4,1,0.357197,0.847724,[3 3] ; [10  4],[3.9 2.1] ; [9.1 4.9],0
v2,1,0.405187,0.692877,[2 4] ; [7 6],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
b4,1,0.492353,0.47138,[4 2] ; [7 7],[3.3 2.7] ; [7.7 6.3],0
p12,1,0.515305,0.42328,[1 5] ; [ 1 13],[0.6 5.4] ; [ 1.4 12.6],0
p7,1,0.573138,0.31746,[4 2] ; [11  3],[4.5 1.5] ; [10.5  3.5],0
s7,1,0.622252,0.242716,[1 5] ; [3 8],[1.41176471 4.58823529] ; [2.58823529 8.41176471],0
a7,1,0.690328,0.15873,[4 2] ; [8 6],[3.6 2.4] ; [8.4 5.6],0
p8,1,0.690328,0.15873,[4 2] ; [8 6],[3.6 2.4] ; [8.4 5.6],0
a8,1,0.708687,0.139592,[1 4] ; [ 4 10],[1.31578947 3.68421053] ; [ 3.68421053 10.31578947],0
s3,1,0.831359,0.045351,[2 4] ; [ 4 10],[1.8 4.2] ; [4.2 9.8],0
v1,1,0.831359,0.045351,[2 4] ; [ 4 10],[1.8 4.2] ; [4.2 9.8],0
n6,1,0.831359,0.045351,[4 2] ; [10  4],[4.2 1.8] ; [9.8 4.2],0
d4,1,0.831359,0.045351,[4 2] ; [10  4],[4.2 1.8] ; [9.8 4.2],0
p9,1,0.891305,0.018674,[5 1] ; [12  2],[5.1 0.9] ; [11.9  2.1],0
s5,1,0.918517,0.010466,[2 4] ; [5 9],[2.1 3.9] ; [4.9 9.1],0
s8,1,0.918517,0.010466,[2 4] ; [5 9],[2.1 3.9] ; [4.9 9.1],0
p6,1,0.918517,0.010466,[2 4] ; [5 9],[2.1 3.9] ; [4.9 9.1],0
a5,1,1.0,0.0,[3 3] ; [7 7],[3. 3.] ; [7. 7.],0
u3,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
