Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,53.941239,[127  65] ; [27 90],[95.68932039 96.31067961] ; [58.31067961 58.68932039],1
v1,1,1.5e-05,18.722119,[137  51] ; [56 60],[119.35526316  68.64473684] ; [73.64473684 42.35526316],1
a7,1,0.007688,7.104723,[144  49] ; [73 48],[133.37898089  59.62101911] ; [83.62101911 37.37898089],0
s4,1,0.009672,6.694331,[ 26 167] ; [30 90],[ 34.53035144 158.46964856] ; [21.46964856 98.53035144],0
n6,1,0.03891,4.264783,[176  17] ; [101  20],[170.25796178  22.74203822] ; [106.74203822  14.25796178],0
s6,1,0.047872,3.91449,[153  39] ; [106  14],[159.38461538  32.61538462] ; [99.61538462 20.38461538],0
a3,1,0.061638,3.492759,[159  34] ; [89 32],[152.43312102  40.56687898] ; [95.56687898 25.43312102],0
d5,1,0.067943,3.332036,[170  24] ; [96 24],[164.34394904  29.65605096] ; [101.65605096  18.34394904],0
r3,1,0.069336,3.298659,[192   2] ; [116   5],[189.68888889   4.31111111] ; [118.31111111   2.68888889],0
n4,1,0.107813,2.585983,[170  24] ; [98 23],[165.05396825  28.94603175] ; [102.94603175  18.05396825],0
a6,1,0.10806,2.582372,[132  61] ; [72 49],[125.38853503  67.61146497] ; [78.61146497 42.38853503],0
s7,1,0.112653,2.516601,[148  39] ; [84 34],[142.24262295  44.75737705] ; [89.75737705 28.24262295],0
d4,1,0.122884,2.380166,[172  22] ; [99 21],[167.43312102  26.56687898] ; [103.56687898  16.43312102],0
n5,1,0.135381,2.229692,[162  30] ; [94 27],[157.03514377  34.96485623] ; [98.96485623 22.03514377],0
b4,1,0.136343,2.21876,[116  78] ; [62 59],[109.62539683  84.37460317] ; [68.37460317 52.62539683],0
r2,1,0.139112,2.187752,[183   7] ; [111   9],[180.19354839   9.80645161] ; [113.80645161   6.19354839],0
r1,1,0.171729,1.867783,[166  27] ; [97 24],[161.65286624  31.34713376] ; [101.34713376  19.65286624],0
u1,1,0.179982,1.797772,[ 46 148] ; [ 21 100],[ 41.26349206 152.73650794] ; [25.73650794 95.26349206],0
p12,1,0.203987,1.6136,[ 27 166] ; [ 11 109],[ 23.4313099 169.5686901] ; [ 14.5686901 105.4313099],0
u4,1,0.223765,1.480061,[  8 186] ; [  2 119],[  6.15873016 187.84126984] ; [  3.84126984 117.15873016],0
b1,1,0.225353,1.469955,[ 67 127] ; [50 71],[ 72.05714286 121.94285714] ; [44.94285714 76.05714286],0
a1,1,0.263418,1.250706,[ 14 180] ; [  5 116],[ 11.7015873 182.2984127] ; [  7.2984127 113.7015873],0
p3,1,0.276722,1.183117,[121  73] ; [68 53],[116.4  77.6] ; [72.6 48.4],0
s5,1,0.298942,1.078909,[ 82 100] ; [46 72],[ 77.65333333 104.34666667] ; [50.34666667 67.65333333],0
p2,1,0.328626,0.954305,[171  23] ; [102  19],[168.13333333  25.86666667] ; [104.86666667  16.13333333],0
a5,1,0.383775,0.758574,[160  34] ; [95 26],[157.04761905  36.95238095] ; [97.95238095 23.04761905],0
d1,1,0.396322,0.719457,[134  60] ; [78 43],[130.56507937  63.43492063] ; [81.43492063 39.56507937],0
p7,1,0.400609,0.706497,[145  43] ; [86 32],[141.92156863  46.07843137] ; [89.07843137 28.92156863],0
n2,1,0.402594,0.700565,[26  7] ; [18  8],[24.61016949  8.38983051] ; [19.38983051  6.61016949],0
n1,1,0.413452,0.668852,[11 20] ; [12 14],[12.50877193 18.49122807] ; [10.49122807 15.50877193],0
a8,1,0.416383,0.660501,[ 33 143] ; [17 96],[ 30.44982699 145.55017301] ; [19.55017301 93.44982699],0
u3,1,0.436958,0.604257,[25 10] ; [20 12],[23.50746269 11.49253731] ; [21.49253731 10.50746269],0
