Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000305,13.04023,[ 37 106] ; [68 79],[51.77586207 91.22413793] ; [53.22413793 93.77586207],1
v2,1,0.003523,8.514581,[59 75] ; [88 55],[71.11191336 62.88808664] ; [75.88808664 67.11191336],0
a2,1,0.00691,7.296288,[  4 140] ; [ 16 133],[  9.82935154 134.17064846] ; [ 10.17064846 138.82935154],0
p9,1,0.014031,6.034204,[97 42] ; [120  26],[105.83508772  33.16491228] ; [111.16491228  34.83508772],0
b5,1,0.023789,5.109925,[70 74] ; [92 57],[79.61774744 64.38225256] ; [82.38225256 66.61774744],0
s7,1,0.029431,4.742246,[50 84] ; [71 70],[58.96 75.04] ; [62.04 78.96],0
p6,1,0.029654,4.729242,[ 36 106] ; [53 89],[44.5 97.5] ; [44.5 97.5],0
v3,1,0.035666,4.413017,[41 96] ; [62 86],[49.5122807 87.4877193] ; [53.4877193 94.5122807],0
u1,1,0.036263,4.384682,[  2 142] ; [  9 140],[  5.40614334 138.59385666] ; [  5.59385666 143.40614334],0
a3,1,0.03661,4.368446,[79 63] ; [100  48],[87.64827586 54.35172414] ; [91.35172414 56.64827586],0
p1,1,0.051749,3.783865,[  8 133] ; [ 18 129],[ 12.72916667 128.27083333] ; [ 13.27083333 133.72916667],0
n5,1,0.056301,3.643142,[92 49] ; [111  36],[99.38541667 41.61458333] ; [103.61458333  43.38541667],0
a8,1,0.056945,3.624197,[ 14 120] ; [ 26 114],[ 19.5620438 114.4379562] ; [ 20.4379562 119.5620438],0
b3,1,0.057701,3.602265,[16 48] ; [39 60],[21.59509202 42.40490798] ; [33.40490798 65.59509202],0
b2,1,0.057701,3.602265,[16 48] ; [39 60],[21.59509202 42.40490798] ; [33.40490798 65.59509202],0
r4,1,0.063314,3.448387,[129  15] ; [142   7],[133.18771331  10.81228669] ; [137.81228669  11.18771331],0
a4,1,0.066514,3.367029,[ 32 111] ; [ 47 100],[ 38.95517241 104.04482759] ; [ 40.04482759 106.95517241],0
p2,1,0.070002,3.282982,[106  37] ; [121  25],[112.32179931  30.67820069] ; [114.67820069  31.32179931],0
p10,1,0.095554,2.778217,[98 42] ; [114  31],[104.14035088  35.85964912] ; [107.85964912  37.14035088],0
p11,1,0.095875,2.772862,[103  41] ; [119  30],[109.10580205  34.89419795] ; [112.89419795  36.10580205],0
s6,1,0.113675,2.502375,[84 56] ; [100  45],[90.38596491 49.61403509] ; [93.61403509 51.38596491],0
n6,1,0.123289,2.375036,[106  37] ; [120  27],[111.44137931  31.55862069] ; [114.55862069  32.44137931],0
r3,1,0.124641,2.358009,[131  12] ; [142   6],[134.15463918   8.84536082] ; [138.84536082   9.15463918],0
b1,1,0.152133,2.050735,[66 78] ; [56 93],[59.95904437 84.04095563] ; [62.04095563 86.95904437],0
p7,1,0.158397,1.989461,[78 61] ; [92 51],[83.79432624 55.20567376] ; [86.20567376 56.79432624],0
a7,1,0.162041,1.955071,[100  43] ; [92 56],[94.35051546 48.64948454] ; [97.64948454 50.35051546],0
a5,1,0.173747,1.850317,[83 60] ; [98 51],[88.64041096 54.35958904] ; [92.35958904 56.64041096],0
r2,1,0.206187,1.597998,[131  12] ; [141   7],[133.66323024   9.33676976] ; [138.33676976   9.66323024],0
n4,1,0.207154,1.591205,[98 45] ; [112  37],[102.84246575  40.15753425] ; [107.15753425  41.84246575],0
a1,1,0.217824,1.518652,[  3 141] ; [  7 142],[  4.91467577 139.08532423] ; [  5.08532423 143.91467577],0
u3,1,0.226308,1.463915,[34 29] ; [32 17],[37.125 25.875] ; [28.875 20.125],0
n2,1,0.227047,1.459266,[32 11] ; [25  4],[34.04166667  8.95833333] ; [22.95833333  6.04166667],0
s2,1,0.228349,1.451114,[57 86] ; [68 77],[62.06597222 80.93402778] ; [62.93402778 82.06597222],0
d5,1,0.279748,1.168313,[77 67] ; [89 60],[81.58361775 62.41638225] ; [84.41638225 64.58361775],0
v4,1,0.321693,0.982051,[131  12] ; [139   8],[133.13793103   9.86206897] ; [136.86206897  10.13793103],0
p3,1,0.388228,0.744484,[58 85] ; [67 80],[61.63793103 81.36206897] ; [63.36206897 83.63793103],0
n1,1,0.439906,0.596528,[15 27] ; [13 16],[16.56338028 25.43661972] ; [11.43661972 17.56338028],0
n3,1,0.489843,0.476871,[28 13] ; [22  7],[29.28571429 11.71428571] ; [20.71428571  8.28571429],0
s4,1,0.50686,0.440544,[ 24 117] ; [ 21 127],[ 21.9550173 119.0449827] ; [ 23.0449827 124.9550173],0
p4,1,0.515081,0.423732,[67 73] ; [76 71],[69.75609756 70.24390244] ; [73.24390244 73.75609756],0
p8,1,0.547809,0.361257,[64 77] ; [70 73],[66.52816901 74.47183099] ; [67.47183099 75.52816901],0
p12,1,0.647622,0.208912,[  7 134] ; [  9 136],[  7.88811189 133.11188811] ; [  8.11188811 136.88811189],0
d3,1,0.678458,0.171867,[58 85] ; [64 85],[59.74657534 83.25342466] ; [62.25342466 86.74657534],0
d2,1,0.708262,0.140019,[ 20 124] ; [ 23 126],[ 21.1331058 122.8668942] ; [ 21.8668942 127.1331058],0
s1,1,0.758977,0.094142,[  8 134] ; [  7 138],[  7.42160279 134.57839721] ; [  7.57839721 137.42160279],0
d4,1,0.842359,0.039552,[88 55] ; [90 59],[87.17123288 55.82876712] ; [90.82876712 58.17123288],0
s5,1,0.846786,0.037334,[41 97] ; [44 99],[41.74377224 96.25622776] ; [43.25622776 99.74377224],0
s3,1,0.865179,0.028827,[73 68] ; [76 68],[73.71578947 67.28421053] ; [75.28421053 68.71578947],0
u2,1,0.892865,0.018139,[32 31] ; [25 23],[32.35135135 30.64864865] ; [24.64864865 23.35135135],0
p5,1,0.913775,0.011724,[ 15 127] ; [ 16 130],[ 15.28472222 126.71527778] ; [ 15.71527778 130.28472222],0
b4,1,0.918429,0.010488,[83 61] ; [85 64],[82.5665529 61.4334471] ; [85.4334471 63.5665529],0
a6,1,0.955812,0.00307,[84 59] ; [88 61],[84.23287671 58.76712329] ; [87.76712329 61.23287671],0
