Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.00011,14.953846,[7 2] ; [ 3 24],[2.5 6.5] ; [ 7.5 19.5],1
s7,1,0.000695,11.503873,[8 1] ; [ 6 19],[3.70588235 5.29411765] ; [10.29411765 14.70588235],1
s4,1,0.001574,9.990148,[5 4] ; [ 2 25],[1.75 7.25] ; [ 5.25 21.75],0
p2,1,0.001946,9.6,[8 1] ; [ 8 19],[4. 5.] ; [12. 15.],0
n6,1,0.009085,6.806044,[8 1] ; [10 16],[4.62857143 4.37142857] ; [13.37142857 12.62857143],0
p11,1,0.027547,4.856187,[6 3] ; [ 7 20],[3.25 5.75] ; [ 9.75 17.25],0
p8,1,0.031305,4.636173,[7 2] ; [ 9 16],[4.23529412 4.76470588] ; [11.76470588 13.23529412],0
s8,1,0.037608,4.32265,[5 4] ; [ 5 21],[2.57142857 6.42857143] ; [ 7.42857143 18.57142857],0
p4,1,0.048398,3.896104,[6 3] ; [ 8 19],[3.5 5.5] ; [10.5 16.5],0
p10,1,0.054292,3.703704,[7 2] ; [11 16],[4.5 4.5] ; [13.5 13.5],0
b4,1,0.10247,2.666667,[4 5] ; [20  7],[6. 3.] ; [18.  9.],0
s3,1,0.106312,2.608199,[5 3] ; [ 8 18],[3.05882353 4.94117647] ; [ 9.94117647 16.05882353],0
v2,1,0.119814,2.419753,[4 5] ; [ 5 22],[2.25 6.75] ; [ 6.75 20.25],0
n5,1,0.143672,2.138182,[8 1] ; [17 10],[6.25 2.75] ; [18.75  8.25],0
n3,1,0.153338,2.03873,[4 1] ; [6 8],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
p9,1,0.20655,1.595442,[7 2] ; [14 12],[5.4 3.6] ; [15.6 10.4],0
u1,1,0.220671,1.5,[2 7] ; [ 2 25],[1. 8.] ; [ 3. 24.],0
a4,1,0.288589,1.126194,[3 6] ; [14 12],[4.37142857 4.62857143] ; [12.62857143 13.37142857],0
r4,1,0.29627,1.090909,[4 5] ; [ 7 20],[2.75 6.25] ; [ 8.25 18.75],0
d5,1,0.29627,1.090909,[5 4] ; [20  7],[6.25 2.75] ; [18.75  8.25],0
u2,1,0.310494,1.028571,[2 1] ; [3 6],[1.25 1.75] ; [3.75 5.25],0
b5,1,0.316503,1.003344,[7 2] ; [16 11],[5.75 3.25] ; [17.25  9.75],0
p7,1,0.319577,0.990676,[4 4] ; [ 8 18],[2.82352941 5.17647059] ; [ 9.17647059 16.82352941],0
s5,1,0.385183,0.754095,[3 5] ; [ 6 21],[2.05714286 5.94285714] ; [ 6.94285714 20.05714286],0
p12,1,0.400814,0.705882,[1 8] ; [ 1 26],[0.5 8.5] ; [ 1.5 25.5],0
s1,1,0.40387,0.696774,[2 7] ; [ 3 24],[1.25 7.75] ; [ 3.75 23.25],0
d3,1,0.414216,0.666667,[7 2] ; [17 10],[6. 3.] ; [18.  9.],0
v3,1,0.504985,0.444444,[3 6] ; [ 6 21],[2.25 6.75] ; [ 6.75 20.25],0
p3,1,0.547838,0.361204,[4 5] ; [ 9 18],[3.25 5.75] ; [ 9.75 17.25],0
b2,1,0.591838,0.287483,[3 4] ; [ 6 13],[2.42307692 4.57692308] ; [ 6.57692308 12.42307692],0
b3,1,0.591838,0.287483,[3 4] ; [ 6 13],[2.42307692 4.57692308] ; [ 6.57692308 12.42307692],0
p1,1,0.605577,0.266667,[2 7] ; [ 4 23],[1.5 7.5] ; [ 4.5 22.5],0
n1,1,0.636982,0.222711,[3 2] ; [10  4],[3.42105263 1.57894737] ; [9.57894737 4.42105263],0
a5,1,0.667436,0.184615,[7 2] ; [19  8],[6.5 2.5] ; [19.5  7.5],0
v1,1,0.693012,0.155844,[4 5] ; [10 17],[3.5 5.5] ; [10.5 16.5],0
r1,1,0.700311,0.148148,[5 4] ; [13 14],[4.5 4.5] ; [13.5 13.5],0
d1,1,0.700311,0.148148,[5 4] ; [13 14],[4.5 4.5] ; [13.5 13.5],0
u3,1,0.735317,0.114286,[2 1] ; [5 4],[1.75 1.25] ; [5.25 3.75],0
a3,1,0.763331,0.090667,[6 3] ; [18  7],[6.35294118 2.64705882] ; [17.64705882  7.35294118],0
s6,1,0.783758,0.075309,[3 6] ; [10 16],[3.34285714 5.65714286] ; [ 9.65714286 16.34285714],0
a2,1,0.824141,0.049383,[2 7] ; [ 7 20],[2.25 6.75] ; [ 6.75 20.25],0
d4,1,0.834532,0.043636,[6 3] ; [19  8],[6.25 2.75] ; [18.75  8.25],0
n4,1,0.841219,0.040134,[6 3] ; [17 10],[5.75 3.25] ; [17.25  9.75],0
a6,1,0.841219,0.040134,[6 3] ; [17 10],[5.75 3.25] ; [17.25  9.75],0
b1,1,0.841219,0.040134,[6 3] ; [17 10],[5.75 3.25] ; [17.25  9.75],0
p5,1,0.846667,0.037393,[2 7] ; [ 5 21],[1.8 7.2] ; [ 5.2 20.8],0
d2,1,0.847157,0.037152,[4 5] ; [13 14],[4.25 4.75] ; [12.75 14.25],0
r2,1,0.958027,0.00277,[6 2] ; [20  7],[5.94285714 2.05714286] ; [20.05714286  6.94285714],0
