Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.965683,[121  34] ; [26 33],[106.47196262  48.52803738] ; [40.52803738 18.47196262],1
d3,1,0.000218,13.667254,[117  38] ; [29 30],[105.74766355  49.25233645] ; [40.25233645 18.74766355],1
v2,1,0.000712,11.457987,[92 58] ; [20 37],[81.15942029 68.84057971] ; [30.84057971 26.15942029],1
d5,1,0.006379,7.440129,[131  24] ; [40 19],[123.85514019  31.14485981] ; [47.14485981 11.85514019],0
d4,1,0.009266,6.770835,[128  27] ; [39 20],[120.95794393  34.04205607] ; [46.04205607 12.95794393],0
u1,1,0.015918,5.811908,[ 28 127] ; [ 3 56],[ 22.45327103 132.54672897] ; [ 8.54672897 50.45327103],0
a2,1,0.018012,5.595002,[ 35 120] ; [ 5 54],[ 28.97196262 126.02803738] ; [11.02803738 47.97196262],0
u3,1,0.018022,5.594017,[34 17] ; [10 16],[29.14285714 21.85714286] ; [14.85714286 11.14285714],0
b1,1,0.024289,5.073879,[ 48 107] ; [28 31],[55.04672897 99.95327103] ; [20.95327103 38.04672897],0
s5,1,0.027891,4.834821,[ 35 118] ; [22 36],[ 41.33175355 111.66824645] ; [15.66824645 42.33175355],0
u2,1,0.055824,3.6573,[35 16] ; [12 14],[31.12987013 19.87012987] ; [15.87012987 10.12987013],0
v1,1,0.115491,2.477426,[86 65] ; [26 32],[80.91866029 70.08133971] ; [31.08133971 26.91866029],0
r3,1,0.121824,2.393711,[148   7] ; [53  6],[145.58411215   9.41588785] ; [55.41588785  3.58411215],0
p1,1,0.124932,2.354373,[  7 147] ; [ 6 53],[  9.39906103 144.60093897] ; [ 3.60093897 55.39906103],0
a3,1,0.136562,2.216274,[103  51] ; [33 26],[98.3286385 55.6713615] ; [37.6713615 21.3286385],0
s4,1,0.143525,2.139756,[ 19 134] ; [12 47],[ 22.37264151 130.62735849] ; [ 8.62735849 50.37264151],0
n5,1,0.163635,1.94031,[111  43] ; [48 11],[114.95774648  39.04225352] ; [44.04225352 14.95774648],0
n2,1,0.171857,1.866667,[32 10] ; [8 6],[30. 12.] ; [10.  4.],0
b5,1,0.180748,1.79146,[97 58] ; [31 28],[92.71028037 62.28971963] ; [35.28971963 23.71028037],0
p8,1,0.275273,1.190278,[83 68] ; [27 31],[79.47368421 71.52631579] ; [30.52631579 27.47368421],0
b2,1,0.290962,1.115163,[30 65] ; [13 18],[32.42063492 62.57936508] ; [10.57936508 20.42063492],0
b3,1,0.290962,1.115163,[30 65] ; [13 18],[32.42063492 62.57936508] ; [10.57936508 20.42063492],0
p4,1,0.298725,1.079877,[93 61] ; [31 28],[89.65258216 64.34741784] ; [34.34741784 24.65258216],0
s1,1,0.30513,1.051638,[  2 152] ; [ 2 56],[  2.90566038 151.09433962] ; [ 1.09433962 56.90566038],0
d1,1,0.323885,0.973192,[80 75] ; [26 33],[76.77570093 78.22429907] ; [29.22429907 29.77570093],0
p6,1,0.356847,0.84896,[ 45 107] ; [21 37],[ 47.77142857 104.22857143] ; [18.22857143 39.77142857],0
d2,1,0.394599,0.724723,[61 94] ; [27 32],[63.73831776 91.26168224] ; [24.26168224 34.73831776],0
p7,1,0.444893,0.58363,[99 51] ; [35 23],[96.63461538 53.36538462] ; [37.36538462 20.63461538],0
n4,1,0.459359,0.547456,[116  39] ; [47 12],[118.06074766  36.93925234] ; [44.93925234 14.06074766],0
a1,1,0.474348,0.51183,[  9 146] ; [ 2 57],[  7.96728972 147.03271028] ; [ 3.03271028 55.96728972],0
