Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000882,11.060049,[1 7] ; [14  3],[4.8 3.2] ; [10.2  6.8],1
n6,1,0.006691,7.35412,[1 7] ; [12  5],[4.16 3.84] ; [8.84 8.16],0
n4,1,0.014266,6.004902,[2 6] ; [13  4],[4.8 3.2] ; [10.2  6.8],0
a6,1,0.014266,6.004902,[2 6] ; [13  4],[4.8 3.2] ; [10.2  6.8],0
d5,1,0.014266,6.004902,[2 6] ; [13  4],[4.8 3.2] ; [10.2  6.8],0
d3,1,0.014266,6.004902,[2 6] ; [13  4],[4.8 3.2] ; [10.2  6.8],0
p11,1,0.0148,5.940092,[1 7] ; [11  6],[3.84 4.16] ; [8.16 8.84],0
a3,1,0.01962,5.445378,[3 4] ; [15  2],[5.25 1.75] ; [12.75  4.25],0
p3,1,0.040424,4.2,[1 7] ; [9 7],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
s2,1,0.054181,3.707108,[1 7] ; [9 8],[3.2 4.8] ; [ 6.8 10.2],0
d4,1,0.058274,3.585835,[3 5] ; [13  4],[5.12 2.88] ; [10.88  6.12],0
a4,1,0.080824,3.048259,[1 6] ; [9 8],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
n5,1,0.185659,1.75173,[4 4] ; [13  4],[5.44 2.56] ; [11.56  5.44],0
v3,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
r1,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
s5,1,0.236386,1.402019,[1 7] ; [ 6 11],[2.24 5.76] ; [ 4.76 12.24],0
r4,1,0.236386,1.402019,[1 7] ; [ 6 11],[2.24 5.76] ; [ 4.76 12.24],0
v2,1,0.236386,1.402019,[1 7] ; [ 6 11],[2.24 5.76] ; [ 4.76 12.24],0
s3,1,0.265572,1.239477,[1 6] ; [ 6 10],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
p4,1,0.293622,1.102941,[2 6] ; [8 9],[3.2 4.8] ; [ 6.8 10.2],0
n3,1,0.307741,1.040344,[5 1] ; [4 3],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
s6,1,0.319499,0.990997,[3 5] ; [10  7],[4.16 3.84] ; [8.84 8.16],0
p6,1,0.355703,0.853006,[1 7] ; [ 5 12],[1.92 6.08] ; [ 4.08 12.92],0
s7,1,0.371093,0.8,[2 6] ; [7 9],[3. 5.] ; [ 6. 10.],0
n1,1,0.428537,0.626786,[3 3] ; [5 2],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
b2,1,0.464214,0.535714,[3 2] ; [4 6],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
b3,1,0.464214,0.535714,[3 2] ; [4 6],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
b1,1,0.468011,0.526669,[5 3] ; [13  4],[5.76 2.24] ; [12.24  4.76],0
p8,1,0.470989,0.519655,[3 5] ; [9 8],[3.84 4.16] ; [8.16 8.84],0
p5,1,0.477197,0.505263,[1 7] ; [ 4 12],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
s8,1,0.520146,0.413603,[1 7] ; [ 4 13],[1.6 6.4] ; [ 3.4 13.6],0
n2,1,0.611541,0.257937,[5 1] ; [5 2],[4.61538462 1.38461538] ; [5.38461538 1.61538462],0
p7,1,0.672754,0.178397,[3 5] ; [7 8],[3.47826087 4.52173913] ; [6.52173913 8.47826087],0
a7,1,0.67844,0.171887,[4 4] ; [10  7],[4.48 3.52] ; [9.52 7.48],0
v4,1,0.68591,0.163549,[5 3] ; [12  5],[5.44 2.56] ; [11.56  5.44],0
p10,1,0.68591,0.163549,[5 3] ; [12  5],[5.44 2.56] ; [11.56  5.44],0
p1,1,0.74332,0.10723,[1 7] ; [ 3 14],[1.28 6.72] ; [ 2.72 14.28],0
p2,1,0.769698,0.085714,[5 3] ; [9 7],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
b4,1,0.914641,0.011489,[5 3] ; [11  6],[5.12 2.88] ; [10.88  6.12],0
r2,1,0.935989,0.00645,[6 2] ; [13  4],[6.08 1.92] ; [12.92  4.08],0
p9,1,0.935989,0.00645,[6 2] ; [13  4],[6.08 1.92] ; [12.92  4.08],0
s1,1,0.957911,0.002785,[1 7] ; [ 2 15],[0.96 7.04] ; [ 2.04 14.96],0
