Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.93243,[18 20] ; [12 97],[ 7.75510204 30.24489796] ; [22.24489796 86.75510204],1
p10,1,0.000284,13.172242,[18 20] ; [19 89],[ 9.63013699 28.36986301] ; [27.36986301 80.63013699],1
s2,1,0.001095,10.660371,[19 19] ; [24 85],[11.11564626 26.88435374] ; [31.88435374 77.11564626],0
s6,1,0.001395,10.212744,[23 15] ; [34 75],[14.73469388 23.26530612] ; [42.26530612 66.73469388],0
s3,1,0.001395,10.212744,[23 15] ; [34 75],[14.73469388 23.26530612] ; [42.26530612 66.73469388],0
v3,1,0.008731,6.876952,[18 20] ; [26 80],[11.61111111 26.38888889] ; [32.38888889 73.61111111],0
v1,1,0.019376,5.467218,[19 19] ; [32 78],[13.09459459 24.90540541] ; [37.90540541 72.09459459],0
n1,1,0.022031,5.243333,[8 4] ; [12 28],[4.61538462 7.38461538] ; [15.38461538 24.61538462],0
r4,1,0.029198,4.755887,[32  6] ; [72 38],[26.7027027 11.2972973] ; [77.2972973 32.7027027],0
n6,1,0.036934,4.353446,[30  8] ; [65 43],[24.7260274 13.2739726] ; [70.2739726 37.7260274],0
n4,1,0.040211,4.208969,[30  8] ; [66 43],[24.81632653 13.18367347] ; [71.18367347 37.81632653],0
d5,1,0.04053,4.195548,[31  7] ; [70 40],[25.93243243 12.06756757] ; [75.06756757 34.93243243],0
r3,1,0.050398,3.828154,[35  3] ; [84 24],[30.97260274  7.02739726] ; [88.02739726 19.97260274],0
u1,1,0.051783,3.782767,[ 8 30] ; [ 10 100],[ 4.62162162 33.37837838] ; [13.37837838 96.62162162],0
p5,1,0.052654,3.754853,[ 4 34] ; [  3 106],[ 1.80952381 36.19047619] ; [  5.19047619 103.80952381],0
r2,1,0.062495,3.469902,[36  2] ; [89 19],[32.53424658  5.46575342] ; [92.46575342 15.53424658],0
p11,1,0.074228,3.186952,[24 14] ; [51 59],[19.25675676 18.74324324] ; [55.74324324 54.25675676],0
s5,1,0.110978,2.540241,[10 28] ; [16 92],[ 6.76712329 31.23287671] ; [19.23287671 88.76712329],0
a8,1,0.11247,2.51917,[ 6 29] ; [ 8 95],[ 3.55072464 31.44927536] ; [10.44927536 92.55072464],0
v2,1,0.117744,2.447071,[21 17] ; [43 63],[16.88888889 21.11111111] ; [47.11111111 58.88888889],0
r1,1,0.130611,2.285224,[31  7] ; [75 34],[27.40136054 10.59863946] ; [78.59863946 30.40136054],0
d3,1,0.135242,2.231276,[25 13] ; [57 53],[21.05405405 16.94594595] ; [60.94594595 49.05405405],0
n5,1,0.178085,1.813529,[25 13] ; [58 51],[21.45578231 16.54421769] ; [61.54421769 47.45578231],0
p4,1,0.184047,1.764635,[18 20] ; [38 70],[14.57534247 23.42465753] ; [41.42465753 66.57534247],0
n2,1,0.231617,1.430902,[10  3] ; [24 17],[8.18518519 4.81481481] ; [25.81481481 15.18518519],0
a4,1,0.235241,1.408891,[16 22] ; [34 74],[13.01369863 24.98630137] ; [36.98630137 71.01369863],0
v4,1,0.237247,1.396881,[33  5] ; [85 24],[30.50340136  7.49659864] ; [87.49659864 21.50340136],0
d1,1,0.247633,1.336609,[20 18] ; [46 64],[16.94594595 21.05405405] ; [49.05405405 60.94594595],0
a3,1,0.248171,1.333573,[25 13] ; [60 49],[21.97278912 16.02721088] ; [63.02721088 45.97278912],0
p6,1,0.250134,1.322558,[ 9 28] ; [17 90],[ 6.68055556 30.31944444] ; [19.31944444 87.68055556],0
d4,1,0.274999,1.191638,[30  8] ; [76 33],[27.40136054 10.59863946] ; [78.59863946 30.40136054],0
b2,1,0.281439,1.16013,[13 18] ; [20 45],[10.65625 20.34375] ; [22.34375 42.65625],0
b3,1,0.281439,1.16013,[13 18] ; [20 45],[10.65625 20.34375] ; [22.34375 42.65625],0
a1,1,0.282895,1.153129,[ 4 34] ; [  6 104],[ 2.56756757 35.43243243] ; [  7.43243243 102.56756757],0
b4,1,0.308231,1.038242,[26 12] ; [65 45],[23.36486486 14.63513514] ; [67.63513514 42.36486486],0
a7,1,0.317817,0.997908,[26 12] ; [64 44],[23.42465753 14.57534247] ; [66.57534247 41.42465753],0
a2,1,0.348142,0.880218,[ 8 30] ; [16 94],[ 6.16216216 31.83783784] ; [17.83783784 92.16216216],0
p2,1,0.349227,0.876264,[22 16] ; [54 56],[19.51351351 18.48648649] ; [56.48648649 53.51351351],0
p8,1,0.39156,0.734094,[14 24] ; [32 77],[11.89115646 26.10884354] ; [34.10884354 74.89115646],0
u2,1,0.432882,0.615077,[7 6] ; [20 28],[5.75409836 7.24590164] ; [21.24590164 26.75409836],0
u3,1,0.443821,0.586385,[7 6] ; [21 29],[5.77777778 7.22222222] ; [22.22222222 27.77777778],0
b1,1,0.46134,0.542641,[23 15] ; [59 51],[21.05405405 16.94594595] ; [60.94594595 49.05405405],0
p3,1,0.495577,0.464395,[12 25] ; [29 80],[10.39041096 26.60958904] ; [30.60958904 78.39041096],0
p7,1,0.529236,0.395857,[19 18] ; [49 59],[17.35172414 19.64827586] ; [50.64827586 57.35172414],0
d2,1,0.76815,0.086905,[19 19] ; [51 57],[18.21917808 19.78082192] ; [51.78082192 56.21917808],0
a5,1,0.800167,0.064075,[23 15] ; [64 46],[22.33783784 15.66216216] ; [64.66216216 45.33783784],0
p1,1,0.822305,0.050437,[ 3 35] ; [ 10 100],[ 3.33783784 34.66216216] ; [  9.66216216 100.33783784],0
a6,1,0.883285,0.021552,[24 14] ; [68 42],[23.62162162 14.37837838] ; [68.37837838 41.62162162],0
s1,1,0.93336,0.006992,[ 3 35] ; [ 8 99],[ 2.88275862 35.11724138] ; [ 8.11724138 98.88275862],0
n3,1,0.989973,0.000158,[7 5] ; [24 17],[7.01886792 4.98113208] ; [23.98113208 17.01886792],0
