Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,84.94721,[ 2 58] ; [185  85],[34. 26.] ; [153. 117.],1
d3,1,0.0,48.177842,[18 40] ; [209  61],[40.1402439 17.8597561] ; [186.8597561  83.1402439],1
a4,1,1e-05,19.602402,[12 48] ; [139 131],[27.45454545 32.54545455] ; [123.54545455 146.45454545],1
d5,1,1.2e-05,19.133727,[37 22] ; [234  36],[48.59878419 10.40121581] ; [222.40121581  47.59878419],1
u1,1,0.000103,15.072182,[ 1 59] ; [ 64 206],[11.81818182 48.18181818] ; [ 53.18181818 216.81818182],1
d2,1,0.000337,12.854079,[16 44] ; [140 128],[28.53658537 31.46341463] ; [127.46341463 140.53658537],1
a2,1,0.000645,11.642657,[ 5 55] ; [ 80 190],[15.45454545 44.54545455] ; [ 69.54545455 200.45454545],1
a5,1,0.002168,9.401941,[33 27] ; [202  68],[42.72727273 17.27272727] ; [192.27272727  77.72727273],0
s5,1,0.005824,7.603908,[ 9 49] ; [ 88 171],[17.74763407 40.25236593] ; [ 79.25236593 179.74763407],0
r1,1,0.007123,7.241793,[37 22] ; [213  56],[44.9695122 14.0304878] ; [205.0304878  63.9695122],0
a6,1,0.010264,6.588555,[35 25] ; [202  68],[43.09090909 16.90909091] ; [193.90909091  76.09090909],0
a3,1,0.011927,6.321662,[36 24] ; [205  65],[43.81818182 16.18181818] ; [197.18181818  72.81818182],0
n2,1,0.059936,3.539155,[18  2] ; [49 22],[14.72527473  5.27472527] ; [52.27472527 18.72527473],0
a7,1,0.089404,2.885077,[37 22] ; [199  71],[42.32218845 16.67781155] ; [193.67781155  76.32218845],0
n3,1,0.093673,2.810093,[18  2] ; [51 20],[15.16483516  4.83516484] ; [53.83516484 17.16483516],0
u2,1,0.101794,2.677208,[11 13] ; [41 22],[14.34482759  9.65517241] ; [37.65517241 25.34482759],0
n5,1,0.110399,2.548507,[48 11] ; [190  77],[43.07361963 15.92638037] ; [194.92638037  72.07361963],0
b5,1,0.110879,2.541652,[33 27] ; [178  92],[38.36363636 21.63636364] ; [172.63636364  97.36363636],0
p12,1,0.114803,2.486828,[ 1 59] ; [ 19 251],[ 3.63636364 56.36363636] ; [ 16.36363636 253.63636364],0
b3,1,0.117634,2.448544,[10 26] ; [67 93],[14.14285714 21.85714286] ; [62.85714286 97.14285714],0
b2,1,0.117634,2.448544,[10 26] ; [67 93],[14.14285714 21.85714286] ; [62.85714286 97.14285714],0
p9,1,0.138588,2.193563,[52  7] ; [252  17],[54.68292683  4.31707317] ; [249.31707317  19.68292683],0
v2,1,0.167114,1.908647,[27 30] ; [147 109],[31.68690096 25.31309904] ; [142.31309904 113.68690096],0
r4,1,0.277312,1.180215,[49 11] ; [235  35],[51.63636364  8.36363636] ; [232.36363636  37.63636364],0
n6,1,0.295661,1.093664,[53  7] ; [222  46],[50.30487805  9.69512195] ; [224.69512195  43.30487805],0
b4,1,0.32585,0.965321,[33 27] ; [167 103],[36.36363636 23.63636364] ; [163.63636364 106.36363636],0
r3,1,0.370322,0.802583,[55  4] ; [258  11],[56.30182927  2.69817073] ; [256.69817073  12.30182927],0
n4,1,0.371545,0.79849,[42 18] ; [204  66],[44.72727273 15.27272727] ; [201.27272727  68.72727273],0
s2,1,0.396847,0.717859,[29 30] ; [148 120],[31.93577982 27.06422018] ; [145.06422018 122.93577982],0
u3,1,0.476867,0.50602,[13 11] ; [40 24],[14.45454545  9.54545455] ; [38.54545455 25.45454545],0
v1,1,0.483292,0.491425,[30 27] ; [124 137],[27.60377358 29.39622642] ; [126.39622642 134.60377358],0
s7,1,0.512503,0.428953,[24 31] ; [128 136],[26.20689655 28.79310345] ; [125.79310345 138.20689655],0
a8,1,0.535077,0.384741,[ 5 51] ; [ 29 216],[ 6.3255814 49.6744186] ; [ 27.6744186 217.3255814],0
p7,1,0.540396,0.374805,[25 34] ; [123 140],[27.11801242 31.88198758] ; [120.88198758 142.11801242],0
p3,1,0.540557,0.374508,[20 40] ; [101 168],[22.0668693 37.9331307] ; [ 98.9331307 170.0668693],0
p4,1,0.548283,0.360401,[30 30] ; [123 146],[27.90273556 32.09726444] ; [125.09726444 143.90273556],0
v3,1,0.550722,0.356025,[19 40] ; [ 93 163],[20.97777778 38.02222222] ; [ 91.02222222 164.97777778],0
v4,1,0.554099,0.350024,[54  5] ; [251  17],[55.03058104  3.96941896] ; [249.96941896  18.03058104],0
n1,1,0.579671,0.306766,[ 8 11] ; [25 46],[ 6.96666667 12.03333333] ; [26.03333333 44.96666667],0
s3,1,0.659736,0.193845,[36 23] ; [154 112],[34.49230769 24.50769231] ; [155.50769231 110.49230769],0
s6,1,0.711769,0.136517,[38 21] ; [180  89],[39.21341463 19.78658537] ; [178.78658537  90.21341463],0
p11,1,0.735779,0.113872,[45 15] ; [208  62],[46. 14.] ; [207.  63.],0
p5,1,0.752284,0.099622,[ 3 57] ; [ 16 248],[ 3.51851852 56.48148148] ; [ 15.48148148 248.51851852],0
b1,1,0.767097,0.087719,[23 37] ; [ 98 172],[22. 38.] ; [ 99. 171.],0
p1,1,0.780624,0.077565,[ 3 57] ; [ 16 254],[ 3.45454545 56.54545455] ; [ 15.54545455 254.45454545],0
p6,1,0.926944,0.008407,[15 45] ; [ 65 201],[14.72392638 45.27607362] ; [ 65.27607362 200.72392638],0
s8,1,0.937164,0.006215,[25 35] ; [114 156],[25.27272727 34.72727273] ; [113.72727273 156.27272727],0
r2,1,0.937371,0.006174,[56  4] ; [249  17],[56.13496933  3.86503067] ; [248.86503067  17.13496933],0
s4,1,0.972046,0.001228,[10 50] ; [ 45 222],[10.09174312 49.90825688] ; [ 44.90825688 222.09174312],0
p2,1,0.973655,0.001091,[46 14] ; [206  62],[46.09756098 13.90243902] ; [205.90243902  62.09756098],0
s1,1,0.998046,6e-06,[ 2 57] ; [  9 257],[ 1.99692308 57.00307692] ; [  9.00307692 256.99692308],0
