Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,49.209146,[41 19] ; [ 20 103],[20. 40.] ; [41. 82.],1
s2,1,0.0,31.060682,[48 17] ; [40 87],[29.79166667 35.20833333] ; [58.20833333 68.79166667],1
s3,1,0.0,27.403097,[50 15] ; [47 80],[32.83854167 32.16145833] ; [64.16145833 62.83854167],1
s6,1,2e-06,22.891028,[55  9] ; [64 63],[39.87434555 24.12565445] ; [79.12565445 47.87434555],1
p1,1,0.000159,14.267491,[10 54] ; [  2 125],[ 4.02094241 59.97905759] ; [  7.97905759 119.02094241],1
s5,1,0.001378,10.235647,[29 34] ; [29 96],[19.43617021 43.56382979] ; [38.56382979 86.43617021],0
b2,1,0.001541,10.028501,[18 18] ; [11 47],[11.10638298 24.89361702] ; [17.89361702 40.10638298],0
b3,1,0.001541,10.028501,[18 18] ; [11 47],[11.10638298 24.89361702] ; [17.89361702 40.10638298],0
p10,1,0.005701,7.642546,[53 10] ; [81 44],[44.90425532 18.09574468] ; [89.09574468 35.90425532],0
p3,1,0.011876,6.329296,[32 33] ; [39 88],[24.03645833 40.96354167] ; [46.96354167 80.03645833],0
p9,1,0.019395,5.465587,[56  7] ; [92 32],[49.86096257 13.13903743] ; [98.13903743 25.86096257],0
v1,1,0.041051,4.173908,[33 30] ; [46 79],[26.47340426 36.52659574] ; [52.52659574 72.47340426],0
a2,1,0.048115,3.905972,[14 51] ; [ 14 114],[ 9.43005181 55.56994819] ; [ 18.56994819 109.43005181],0
d2,1,0.054499,3.697358,[30 35] ; [41 87],[23.9119171 41.0880829] ; [47.0880829 80.9119171],0
p4,1,0.062006,3.482897,[35 30] ; [50 76],[28.92670157 36.07329843] ; [56.07329843 69.92670157],0
u1,1,0.065624,3.389228,[10 55] ; [  9 119],[ 6.39896373 58.60103627] ; [ 12.60103627 115.39896373],0
a3,1,0.081093,3.04286,[45 20] ; [72 56],[39.40414508 25.59585492] ; [77.59585492 50.40414508],0
n1,1,0.084616,2.973924,[ 9 12] ; [10 35],[ 6.04545455 14.95454545] ; [12.95454545 32.04545455],0
a5,1,0.101951,2.674752,[44 21] ; [71 57],[38.73056995 26.26943005] ; [76.26943005 51.73056995],0
p6,1,0.110449,2.547791,[20 45] ; [25 98],[15.55851064 49.44148936] ; [29.44148936 93.55851064],0
u3,1,0.127087,2.327728,[16  4] ; [33 21],[13.24324324  6.75675676] ; [35.75675676 18.24324324],0
p7,1,0.130413,2.287577,[40 22] ; [65 58],[35.18918919 26.81081081] ; [69.81081081 53.18918919],0
p8,1,0.146285,2.110564,[34 31] ; [52 74],[29.26701571 35.73298429] ; [56.73298429 69.26701571],0
a8,1,0.150715,2.065,[ 5 55] ; [  4 115],[ 3.01675978 56.98324022] ; [  5.98324022 113.01675978],0
p5,1,0.151141,2.060697,[ 5 59] ; [  4 123],[ 3.01570681 60.98429319] ; [  5.98429319 121.01570681],0
p12,1,0.177096,1.821831,[ 4 60] ; [  3 124],[ 2.34554974 61.65445026] ; [  4.65445026 122.34554974],0
n5,1,0.179047,1.805518,[27 38] ; [40 86],[22.80104712 42.19895288] ; [44.19895288 81.80104712],0
r2,1,0.19546,1.675976,[64  1] ; [121   7],[62.30569948  2.69430052] ; [122.69430052   5.30569948],0
b1,1,0.219235,1.50937,[25 40] ; [38 90],[21.21761658 43.78238342] ; [41.78238342 86.21761658],0
d1,1,0.262147,1.257383,[35 30] ; [58 70],[31.32124352 33.67875648] ; [61.67875648 66.32124352],0
p2,1,0.294815,1.097502,[51 14] ; [90 36],[47.98429319 17.01570681] ; [93.01570681 32.98429319],0
s4,1,0.317979,0.997239,[19 46] ; [29 99],[16.16580311 48.83419689] ; [31.83419689 96.16580311],0
n6,1,0.34604,0.887927,[40 24] ; [88 39],[42.89005236 21.10994764] ; [85.10994764 41.89005236],0
a6,1,0.351477,0.868119,[46 19] ; [82 46],[43.10880829 21.89119171] ; [84.89119171 43.10880829],0
v4,1,0.366043,0.817053,[64  1] ; [122   5],[62.96875  2.03125] ; [123.03125   3.96875],0
v3,1,0.391735,0.73355,[19 41] ; [31 90],[16.57458564 43.42541436] ; [33.42541436 87.57458564],0
u2,1,0.43058,0.621259,[13  6] ; [32 23],[11.55405405  7.44594595] ; [33.44594595 21.55405405],0
a7,1,0.434024,0.612031,[50 15] ; [91 36],[47.734375 17.265625] ; [93.265625 33.734375],0
d5,1,0.503064,0.448466,[50 15] ; [92 35],[48.07291667 16.92708333] ; [93.92708333 33.07291667],0
s1,1,0.507111,0.440023,[ 1 64] ; [  4 123],[ 1.69270833 63.30729167] ; [  3.30729167 123.69270833],0
p11,1,0.539567,0.376343,[46 19] ; [85 43],[44.11917098 20.88082902] ; [86.88082902 41.11917098],0
a4,1,0.56263,0.335171,[23 42] ; [40 88],[21.21761658 43.78238342] ; [41.78238342 86.21761658],0
v2,1,0.66537,0.187066,[31 27] ; [61 61],[29.64444444 28.35555556] ; [62.35555556 59.64444444],0
d4,1,0.676879,0.17366,[50 15] ; [101  26],[51.11979167 13.88020833] ; [99.88020833 27.11979167],0
n2,1,0.684594,0.165,[16  6] ; [34 10],[16.66666667  5.33333333] ; [33.33333333 10.66666667],0
