Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.4e-05,17.845815,[19 16] ; [ 1 26],[11.29032258 23.70967742] ; [ 8.70967742 18.29032258],1
d5,1,0.000183,13.996542,[27  8] ; [ 8 19],[19.75806452 15.24193548] ; [15.24193548 11.75806452],1
d3,1,0.000294,13.111032,[24 11] ; [ 6 21],[16.93548387 18.06451613] ; [13.06451613 13.93548387],1
p3,1,0.010094,6.61822,[12 22] ; [ 2 25],[ 7.80327869 26.19672131] ; [ 6.19672131 20.80327869],0
a5,1,0.024842,5.03485,[23 12] ; [10 17],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
r1,1,0.042085,4.131771,[15 20] ; [ 5 22],[11.29032258 23.70967742] ; [ 8.70967742 18.29032258],0
a7,1,0.04239,4.119573,[18 17] ; [ 7 20],[14.11290323 20.88709677] ; [10.88709677 16.11290323],0
a4,1,0.055909,3.654759,[17 17] ; [ 7 20],[13.37704918 20.62295082] ; [10.62295082 16.37704918],0
b1,1,0.062045,3.481853,[25 10] ; [13 14],[21.4516129 13.5483871] ; [16.5483871 10.4516129],0
n5,1,0.068891,3.309252,[21 14] ; [22  5],[24.27419355 10.72580645] ; [18.72580645  8.27419355],0
a3,1,0.078311,3.099604,[24 11] ; [12 14],[20.6557377 14.3442623] ; [15.3442623 10.6557377],0
s8,1,0.097342,2.748569,[ 6 29] ; [ 1 26],[ 3.9516129 31.0483871] ; [ 3.0483871 23.9516129],0
n4,1,0.131678,2.272606,[18 17] ; [19  8],[20.88709677 14.11290323] ; [16.11290323 10.88709677],0
p5,1,0.164691,1.930618,[ 5 29] ; [ 1 25],[ 3.4 30.6] ; [ 2.6 23.4],0
u3,1,0.164725,1.930303,[5 6] ; [ 3 12],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
p1,1,0.246693,1.341936,[ 3 32] ; [ 5 22],[ 4.51612903 30.48387097] ; [ 3.48387097 23.51612903],0
a2,1,0.25689,1.28544,[ 6 29] ; [ 2 25],[ 4.51612903 30.48387097] ; [ 3.48387097 23.51612903],0
p4,1,0.266194,1.236257,[12 22] ; [ 6 21],[10.03278689 23.96721311] ; [ 7.96721311 19.03278689],0
n3,1,0.267511,1.229464,[ 5 11] ; [9 9],[6.58823529 9.41176471] ; [ 7.41176471 10.58823529],0
n1,1,0.267511,1.229464,[ 5 11] ; [9 9],[6.58823529 9.41176471] ; [ 7.41176471 10.58823529],0
a6,1,0.289979,1.119718,[19 16] ; [11 16],[16.93548387 18.06451613] ; [13.06451613 13.93548387],0
r2,1,0.291467,1.112835,[17 15] ; [18  9],[18.98305085 13.01694915] ; [16.01694915 10.98305085],0
v1,1,0.299465,1.076575,[12 23] ; [ 6 21],[10.16129032 24.83870968] ; [ 7.83870968 19.16129032],0
d2,1,0.311328,1.025034,[17 17] ; [10 17],[15.04918033 18.95081967] ; [11.95081967 15.04918033],0
n6,1,0.311328,1.025034,[17 17] ; [10 17],[15.04918033 18.95081967] ; [11.95081967 15.04918033],0
s5,1,0.374365,0.789123,[ 5 29] ; [ 2 25],[ 3.90163934 30.09836066] ; [ 3.09836066 23.90163934],0
v2,1,0.377358,0.779291,[ 7 28] ; [ 3 23],[ 5.73770492 29.26229508] ; [ 4.26229508 21.73770492],0
p10,1,0.383397,0.759781,[16 19] ; [ 9 17],[14.3442623 20.6557377] ; [10.6557377 15.3442623],0
p9,1,0.395634,0.721556,[16 18] ; [ 9 16],[14.40677966 19.59322034] ; [10.59322034 14.40677966],0
b5,1,0.403004,0.699344,[18 17] ; [11 16],[16.37096774 18.62903226] ; [12.62903226 14.37096774],0
b2,1,0.408187,0.684076,[ 8 15] ; [ 9 10],[ 9.30952381 13.69047619] ; [ 7.69047619 11.30952381],0
b3,1,0.408187,0.684076,[ 8 15] ; [ 9 10],[ 9.30952381 13.69047619] ; [ 7.69047619 11.30952381],0
s7,1,0.431156,0.619708,[ 9 23] ; [ 5 21],[ 7.72413793 24.27586207] ; [ 6.27586207 19.72413793],0
