Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.003409,8.574342,[4 4] ; [ 2 27],[1.2972973 6.7027027] ; [ 4.7027027 24.2972973],0
v2,1,0.011234,6.427915,[4 4] ; [ 3 26],[1.51351351 6.48648649] ; [ 5.48648649 23.51351351],0
r4,1,0.048031,3.908891,[2 6] ; [ 1 28],[0.64864865 7.35135135] ; [ 2.35135135 26.64864865],0
s2,1,0.065072,3.403156,[3 5] ; [ 3 26],[1.2972973 6.7027027] ; [ 4.7027027 24.2972973],0
p3,1,0.065072,3.403156,[3 5] ; [ 3 26],[1.2972973 6.7027027] ; [ 4.7027027 24.2972973],0
p8,1,0.072998,3.214286,[3 5] ; [ 3 25],[1.33333333 6.66666667] ; [ 4.66666667 23.33333333],0
a5,1,0.092109,2.837114,[6 2] ; [12 17],[3.89189189 4.10810811] ; [14.10810811 14.89189189],0
r1,1,0.104244,2.63939,[5 3] ; [ 9 20],[3.02702703 4.97297297] ; [10.97297297 18.02702703],0
d3,1,0.153022,2.041863,[5 3] ; [10 19],[3.24324324 4.75675676] ; [11.75675676 17.24324324],0
n1,1,0.161749,1.957794,[3 1] ; [ 7 12],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
n2,1,0.161749,1.957794,[3 1] ; [ 7 12],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
v4,1,0.214299,1.542141,[5 3] ; [11 18],[3.45945946 4.54054054] ; [12.54054054 16.45945946],0
n6,1,0.243878,1.358036,[5 3] ; [11 17],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
s1,1,0.283076,1.152263,[2 6] ; [ 3 26],[1.08108108 6.91891892] ; [ 3.91891892 25.08108108],0
s7,1,0.369722,0.804598,[2 5] ; [ 4 24],[1.2 5.8] ; [ 4.8 23.2],0
s4,1,0.378594,0.775263,[1 7] ; [ 8 21],[1.94594595 6.05405405] ; [ 7.05405405 21.94594595],0
p2,1,0.378594,0.775263,[1 7] ; [ 8 21],[1.94594595 6.05405405] ; [ 7.05405405 21.94594595],0
r2,1,0.393153,0.729167,[5 2] ; [15 13],[4. 3.] ; [16. 12.],0
n3,1,0.427205,0.630409,[2 1] ; [ 8 11],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
d4,1,0.476081,0.507827,[5 3] ; [14 15],[4.10810811 3.89189189] ; [14.89189189 14.10810811],0
d5,1,0.476081,0.507827,[5 3] ; [14 15],[4.10810811 3.89189189] ; [14.89189189 14.10810811],0
p4,1,0.496629,0.462132,[2 5] ; [ 5 24],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
n5,1,0.587042,0.294987,[5 3] ; [21  8],[5.62162162 2.37837838] ; [20.37837838  8.62162162],0
s6,1,0.619864,0.246059,[2 6] ; [ 5 24],[1.51351351 6.48648649] ; [ 5.48648649 23.51351351],0
p11,1,0.619864,0.246059,[2 6] ; [ 5 24],[1.51351351 6.48648649] ; [ 5.48648649 23.51351351],0
p6,1,0.628745,0.233766,[1 7] ; [ 2 26],[0.66666667 7.33333333] ; [ 2.33333333 25.66666667],0
b5,1,0.663033,0.18986,[4 4] ; [12 17],[3.45945946 4.54054054] ; [12.54054054 16.45945946],0
b1,1,0.663033,0.18986,[4 4] ; [17 12],[4.54054054 3.45945946] ; [16.45945946 12.54054054],0
b4,1,0.711107,0.137174,[5 3] ; [16 13],[4.54054054 3.45945946] ; [16.45945946 12.54054054],0
d1,1,0.729456,0.119612,[3 5] ; [ 9 20],[2.59459459 5.40540541] ; [ 9.40540541 19.59459459],0
p10,1,0.747376,0.10375,[1 7] ; [ 5 24],[1.2972973 6.7027027] ; [ 4.7027027 24.2972973],0
a6,1,0.794944,0.067546,[4 4] ; [13 16],[3.67567568 4.32432432] ; [13.32432432 15.67567568],0
d2,1,0.85837,0.031844,[4 4] ; [13 15],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
a2,1,0.862026,0.030205,[1 7] ; [ 3 26],[0.86486486 7.13513514] ; [ 3.13513514 25.86486486],0
n4,1,0.87425,0.025047,[5 3] ; [19 10],[5.18918919 2.81081081] ; [18.81081081 10.18918919],0
a4,1,0.927197,0.008349,[3 5] ; [11 17],[3.11111111 4.88888889] ; [10.88888889 17.11111111],0
p7,1,0.958343,0.002728,[2 5] ; [ 8 21],[1.94444444 5.05555556] ; [ 8.05555556 20.94444444],0
b2,1,0.97021,0.001395,[2 3] ; [ 9 13],[2.03703704 2.96296296] ; [ 8.96296296 13.03703704],0
b3,1,0.97021,0.001395,[2 3] ; [ 9 13],[2.03703704 2.96296296] ; [ 8.96296296 13.03703704],0
a7,1,0.982244,0.000495,[3 5] ; [11 18],[3.02702703 4.97297297] ; [10.97297297 18.02702703],0
s3,1,1.0,0.0,[2 6] ; [ 7 21],[2. 6.] ; [ 7. 21.],0
