Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.3e-05,17.898298,[73  9] ; [24 19],[63.632 18.368] ; [33.368  9.632],1
p4,1,0.000411,12.482214,[72 11] ; [26 18],[64.04724409 18.95275591] ; [33.95275591 10.04724409],1
p10,1,0.002167,9.402037,[79  4] ; [34 10],[73.8503937  9.1496063] ; [39.1496063  4.8503937],0
p6,1,0.004026,8.271894,[45 37] ; [12 31],[37.392 44.608] ; [19.608 23.392],0
p8,1,0.008557,6.912949,[65 18] ; [24 19],[58.62698413 24.37301587] ; [30.37301587 12.62698413],0
p2,1,0.028183,4.816837,[76  7] ; [35 10],[71.9765625 11.0234375] ; [39.0234375  5.9765625],0
p5,1,0.031711,4.614055,[32 51] ; [ 9 36],[26.5859375 56.4140625] ; [14.4140625 30.5859375],0
a3,1,0.053306,3.734295,[70 12] ; [32 13],[65.85826772 16.14173228] ; [36.14173228  8.85826772],0
p9,1,0.056416,3.639743,[78  5] ; [35  7],[75.032  7.968] ; [37.968  4.032],0
r4,1,0.089943,2.875398,[82  1] ; [42  3],[80.40625  2.59375] ; [43.59375  1.40625],0
p11,1,0.133774,2.248153,[70 13] ; [33 12],[66.7890625 16.2109375] ; [36.2109375  8.7890625],0
s2,1,0.147709,2.095752,[60 22] ; [38  7],[63.27559055 18.72440945] ; [34.72440945 10.27559055],0
v2,1,0.169707,1.885529,[70 12] ; [34 11],[67.1496063 14.8503937] ; [36.8503937  8.1496063],0
a5,1,0.190776,1.711614,[72 11] ; [35 10],[69.3828125 13.6171875] ; [37.6171875  7.3828125],0
n5,1,0.206294,1.597248,[73 10] ; [35  9],[70.58267717 12.41732283] ; [37.41732283  6.58267717],0
r1,1,0.24013,1.37983,[77  6] ; [38  6],[75.15748031  7.84251969] ; [39.84251969  4.15748031],0
a7,1,0.247312,1.338427,[56 27] ; [34 10],[58.81889764 24.18110236] ; [31.18110236 12.81889764],0
d4,1,0.259014,1.274017,[73  9] ; [36  8],[70.93650794 11.06349206] ; [38.06349206  5.93650794],0
p1,1,0.300413,1.072362,[17 65] ; [ 6 39],[14.8503937 67.1496063] ; [ 8.1496063 36.8503937],0
d1,1,0.304904,1.052622,[59 24] ; [28 17],[56.4140625 26.5859375] ; [30.5859375 14.4140625],0
u1,1,0.336087,0.925301,[23 60] ; [ 9 36],[20.75 62.25] ; [11.25 33.75],0
a8,1,0.345678,0.889258,[ 6 72] ; [ 5 33],[ 7.39655172 70.60344828] ; [ 3.60344828 34.39655172],0
n2,1,0.356216,0.85119,[11  1] ; [11  3],[10.15384615  1.84615385] ; [11.84615385  2.15384615],0
d5,1,0.388252,0.744411,[72 10] ; [37  8],[70.37795276 11.62204724] ; [38.62204724  6.37795276],0
s8,1,0.389879,0.739318,[59 24] ; [28 16],[56.85826772 26.14173228] ; [30.14173228 13.85826772],0
s6,1,0.40989,0.679121,[71 12] ; [39  4],[72.46031746 10.53968254] ; [37.53968254  5.46031746],0
u2,1,0.420113,0.65,[9 4] ; [7 6],[8. 5.] ; [8. 5.],0
n6,1,0.427227,0.630349,[79  3] ; [41  3],[78.0952381  3.9047619] ; [41.9047619  2.0952381],0
n3,1,0.432111,0.617143,[8 4] ; [12  3],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
a1,1,0.438906,0.599141,[ 9 74] ; [ 3 42],[ 7.78125 75.21875] ; [ 4.21875 40.78125],0
s3,1,0.467454,0.527988,[59 23] ; [32  9],[60.66666667 21.33333333] ; [30.33333333 10.66666667],0
