Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,8e-06,19.913972,[33 22] ; [71  6],[43.33333333 11.66666667] ; [60.66666667 16.33333333],1
s6,1,1.5e-05,18.781644,[14 40] ; [49 27],[26.16923077 27.83076923] ; [36.83076923 39.16923077],1
n5,1,0.000469,12.235175,[21 34] ; [53 24],[30.83333333 24.16666667] ; [43.16666667 33.83333333],1
s8,1,0.000724,11.426115,[ 8 47] ; [32 44],[16.79389313 38.20610687] ; [23.20610687 52.79389313],1
s7,1,0.000917,10.988659,[11 40] ; [35 33],[19.71428571 31.28571429] ; [26.28571429 41.71428571],1
p4,1,0.002049,9.505479,[11 44] ; [35 41],[19.3129771 35.6870229] ; [26.6870229 49.3129771],0
r4,1,0.003324,8.620408,[27 28] ; [57 20],[35. 20.] ; [49. 28.],0
b5,1,0.003796,8.379072,[24 31] ; [53 24],[32.08333333 22.91666667] ; [44.91666667 32.08333333],0
u1,1,0.004662,8.006015,[ 2 53] ; [16 61],[ 7.5 47.5] ; [10.5 66.5],0
s2,1,0.008905,6.841822,[15 40] ; [38 38],[22.2519084 32.7480916] ; [30.7480916 45.2519084],0
n2,1,0.015388,5.871487,[12 17] ; [25 10],[16.765625 12.234375] ; [20.234375 14.765625],0
r3,1,0.016194,5.781731,[33 22] ; [61 16],[39.16666667 15.83333333] ; [54.83333333 22.16666667],0
v2,1,0.028758,4.782043,[14 38] ; [35 41],[19.90625 32.09375] ; [29.09375 46.90625],0
p2,1,0.045308,4.007143,[21 34] ; [43 34],[26.66666667 28.33333333] ; [37.33333333 39.66666667],0
n4,1,0.048276,3.900366,[27 28] ; [51 26],[32.5 22.5] ; [45.5 31.5],0
s5,1,0.057107,3.619459,[ 8 42] ; [23 51],[12.5 37.5] ; [18.5 55.5],0
a1,1,0.058706,3.573583,[ 7 48] ; [ 3 74],[ 4.16666667 50.83333333] ; [ 5.83333333 71.16666667],0
p9,1,0.062935,3.458294,[22 31] ; [42 30],[27.136 25.864] ; [36.864 35.136],0
p10,1,0.085388,2.95924,[17 36] ; [35 39],[21.7007874 31.2992126] ; [30.2992126 43.7007874],0
d1,1,0.093165,2.818811,[24 31] ; [45 32],[28.75 26.25] ; [40.25 36.75],0
d5,1,0.130907,2.281714,[38 17] ; [62 15],[41.66666667 13.33333333] ; [58.33333333 18.66666667],0
b1,1,0.140499,2.172482,[25 30] ; [45 32],[29.16666667 25.83333333] ; [40.83333333 36.16666667],0
p3,1,0.140694,2.170355,[10 44] ; [23 54],[13.60305344 40.39694656] ; [19.39694656 57.60305344],0
p8,1,0.154892,2.023401,[ 8 47] ; [19 58],[11.25 43.75] ; [15.75 61.25],0
a6,1,0.156118,2.011429,[34 21] ; [38 39],[30. 25.] ; [42. 35.],0
s4,1,0.195567,1.675171,[ 8 47] ; [18 58],[10.91603053 44.08396947] ; [15.08396947 60.91603053],0
s3,1,0.241093,1.374194,[20 34] ; [36 40],[23.26153846 30.73846154] ; [32.73846154 43.26153846],0
p6,1,0.264167,1.246789,[ 5 49] ; [12 63],[ 7.11627907 46.88372093] ; [ 9.88372093 65.11627907],0
d4,1,0.271955,1.206857,[39 16] ; [61 16],[41.66666667 13.33333333] ; [58.33333333 18.66666667],0
