Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
v3,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
v1,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
p2,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
s8,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
s5,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
a3,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
s7,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
r1,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
b4,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
d5,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
a8,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
d2,1,0.635256,0.225,[3 3] ; [1 2],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
a5,1,0.635256,0.225,[3 3] ; [1 2],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
p9,1,0.635256,0.225,[3 3] ; [1 2],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
u2,1,1.0,0.0,[1 1] ; [1 1],[1. 1.] ; [1. 1.],0
s1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
s2,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
a6,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
a4,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
p7,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
p11,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
