Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.22101,[58 63] ; [53  9],[73.39344262 47.60655738] ; [37.60655738 24.39344262],1
p8,1,2e-06,22.184806,[43 79] ; [44 17],[58. 64.] ; [29. 32.],1
s8,1,4e-06,21.174277,[48 74] ; [46 15],[62.66666667 59.33333333] ; [31.33333333 29.66666667],1
p4,1,0.000408,12.495015,[53 69] ; [44 18],[64.31521739 57.68478261] ; [32.68478261 29.31521739],1
s6,1,0.000412,12.478433,[70 51] ; [49  9],[80.44134078 40.55865922] ; [38.55865922 19.44134078],1
s7,1,0.000599,11.778207,[54 60] ; [46 16],[64.77272727 49.22727273] ; [35.22727273 26.77272727],1
d1,1,0.001173,10.531933,[60 62] ; [46 16],[70.2826087 51.7173913] ; [35.7173913 26.2826087],0
a6,1,0.00256,9.097444,[66 56] ; [19 43],[56.35869565 65.64130435] ; [28.64130435 33.35869565],0
s2,1,0.005808,7.608999,[52 69] ; [40 22],[60.83060109 60.16939891] ; [31.16939891 30.83060109],0
p3,1,0.005817,7.606249,[58 63] ; [43 19],[66.78142077 54.21857923] ; [34.21857923 27.78142077],0
p9,1,0.006816,7.320771,[90 30] ; [56  5],[96.79558011 23.20441989] ; [49.20441989 11.79558011],0
s5,1,0.007581,7.12981,[40 80] ; [31 26],[48.13559322 71.86440678] ; [22.86440678 34.13559322],0
d5,1,0.019317,5.472579,[95 27] ; [56  5],[100.66666667  21.33333333] ; [50.33333333 10.66666667],0
u4,1,0.026357,4.932447,[  1 121] ; [ 4 58],[  3.31521739 118.68478261] ; [ 1.68478261 60.31521739],0
n6,1,0.027783,4.84151,[95 25] ; [57  5],[100.21978022  19.78021978] ; [51.78021978 10.21978022],0
p10,1,0.028675,4.787031,[88 34] ; [52  8],[93.84615385 28.15384615] ; [46.15384615 13.84615385],0
s3,1,0.028974,4.769171,[60 62] ; [41 21],[66.9673913 55.0326087] ; [34.0326087 27.9673913],0
p2,1,0.030859,4.660773,[86 35] ; [53  9],[91.90710383 29.09289617] ; [47.09289617 14.90710383],0
p5,1,0.059715,3.54527,[ 10 110] ; [11 51],[ 13.84615385 106.15384615] ; [ 7.15384615 54.84615385],0
a4,1,0.06658,3.365385,[60 61] ; [39 22],[65.81868132 55.18131868] ; [33.18131868 27.81868132],0
d2,1,0.078263,3.100605,[63 57] ; [41 21],[68.57142857 51.42857143] ; [35.42857143 26.57142857],0
r2,1,0.081395,3.036816,[107  13] ; [59  2],[110.05524862   9.94475138] ; [55.94475138  5.05524862],0
r3,1,0.107563,2.589667,[107  15] ; [59  3],[110.06521739  11.93478261] ; [55.93478261  6.06521739],0
n5,1,0.145004,2.124036,[90 31] ; [52 10],[93.89071038 27.10928962] ; [48.10928962 13.89071038],0
r4,1,0.151057,2.06154,[98 24] ; [55  7],[101.44565217  20.55434783] ; [51.55434783 10.44565217],0
d4,1,0.163468,1.941851,[98 24] ; [54  7],[101.33333333  20.66666667] ; [50.66666667 10.33333333],0
p1,1,0.179354,1.802968,[  7 115] ; [ 7 55],[  9.2826087 112.7173913] ; [ 4.7173913 57.2826087],0
a1,1,0.179354,1.802968,[  7 115] ; [ 7 55],[  9.2826087 112.7173913] ; [ 4.7173913 57.2826087],0
v3,1,0.183823,1.766439,[45 71] ; [30 31],[49.15254237 66.84745763] ; [25.84745763 35.15254237],0
s1,1,0.201161,1.633929,[  7 115] ; [ 1 60],[  5.33333333 116.66666667] ; [ 2.66666667 58.33333333],0
s4,1,0.221091,1.497273,[ 19 103] ; [14 47],[ 22. 100.] ; [11. 50.],0
p11,1,0.230608,1.437108,[93 29] ; [52 10],[96.14130435 25.85869565] ; [48.85869565 13.14130435],0
d3,1,0.247197,1.339075,[52 70] ; [32 30],[55.69565217 66.30434783] ; [28.30434783 33.69565217],0
n4,1,0.268405,1.224881,[93 28] ; [52 10],[95.87431694 25.12568306] ; [49.12568306 12.87431694],0
b2,1,0.278921,1.172341,[38 42] ; [27 20],[40.94488189 39.05511811] ; [24.05511811 22.94488189],0
