Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.355249,[ 9 15] ; [77 14],[17.94782609  6.05217391] ; [68.05217391 22.94782609],1
r3,1,0.000861,11.105421,[20  5] ; [90  2],[23.5042735  1.4957265] ; [86.4957265  5.5042735],1
p7,1,0.001757,9.787438,[ 9 15] ; [64 25],[15.50442478  8.49557522] ; [57.49557522 31.50442478],0
p8,1,0.018069,5.589425,[ 6 19] ; [46 45],[11.20689655 13.79310345] ; [40.79310345 50.20689655],0
p10,1,0.020899,5.335212,[13 11] ; [70 20],[17.47368421  6.52631579] ; [65.52631579 24.47368421],0
p3,1,0.031053,4.650032,[ 5 21] ; [39 53],[ 9.69491525 16.30508475] ; [34.30508475 57.69491525],0
r4,1,0.068021,3.330147,[18  8] ; [79 14],[21.19327731  4.80672269] ; [75.80672269 17.19327731],0
n6,1,0.076632,3.134928,[18  8] ; [77 14],[21.11111111  4.88888889] ; [73.88888889 17.11111111],0
u2,1,0.087495,2.919877,[10  4] ; [17 21],[7.26923077 6.73076923] ; [19.73076923 18.26923077],0
a7,1,0.091336,2.850671,[14 12] ; [65 26],[17.55555556  8.44444444] ; [61.44444444 29.55555556],0
b1,1,0.100124,2.703565,[12 14] ; [27 66],[ 8.5210084 17.4789916] ; [30.4789916 62.5210084],0
d3,1,0.119637,2.422071,[13 13] ; [62 31],[16.38655462  9.61344538] ; [58.61344538 34.38655462],0
a3,1,0.126857,2.330557,[11 15] ; [55 38],[14.42016807 11.57983193] ; [51.57983193 41.42016807],0
n3,1,0.151317,2.058924,[7 4] ; [18  3],[8.59375 2.40625] ; [16.40625  4.59375],0
p4,1,0.196916,1.665099,[ 9 16] ; [46 45],[11.85344828 13.14655172] ; [43.14655172 47.85344828],0
n4,1,0.211746,1.559447,[15 11] ; [65 27],[17.62711864  8.37288136] ; [62.37288136 29.62711864],0
p2,1,0.223579,1.481253,[18  8] ; [74 18],[20.27118644  5.72881356] ; [71.72881356 20.27118644],0
n2,1,0.243751,1.358766,[6 5] ; [15  5],[7.4516129 3.5483871] ; [13.5483871  6.4516129],0
a6,1,0.258173,1.278525,[11 15] ; [51 42],[13.54621849 12.45378151] ; [48.45378151 44.54621849],0
a8,1,0.262259,1.256793,[ 1 22] ; [11 77],[ 2.48648649 20.51351351] ; [ 9.51351351 78.48648649],0
d2,1,0.273577,1.198726,[ 9 17] ; [22 70],[ 6.83050847 19.16949153] ; [24.16949153 67.83050847],0
s4,1,0.278652,1.173651,[ 7 19] ; [16 76],[ 5.06779661 20.93220339] ; [17.93220339 74.06779661],0
p6,1,0.282413,1.155441,[ 7 18] ; [35 53],[ 9.2920354 15.7079646] ; [32.7079646 55.2920354],0
a4,1,0.314438,1.011943,[ 4 22] ; [23 70],[ 5.89915966 20.10084034] ; [21.10084034 71.89915966],0
p5,1,0.322355,0.979367,[ 2 24] ; [14 78],[ 3.52542373 22.47457627] ; [12.47457627 79.52542373],0
v3,1,0.331691,0.942286,[11 14] ; [50 41],[13.14655172 11.85344828] ; [47.85344828 43.14655172],0
b3,1,0.396283,0.719577,[ 2 10] ; [16 40],[3.17647059 8.82352941] ; [14.82352941 41.17647059],0
b2,1,0.396283,0.719577,[ 2 10] ; [16 40],[3.17647059 8.82352941] ; [14.82352941 41.17647059],0
u3,1,0.40731,0.68664,[9 6] ; [18 20],[7.64150943 7.35849057] ; [19.35849057 18.64150943],0
p1,1,0.417468,0.657432,[ 1 25] ; [ 8 85],[ 1.96638655 24.03361345] ; [ 7.03361345 85.96638655],0
v1,1,0.441869,0.591423,[14 12] ; [56 34],[15.68965517 10.31034483] ; [54.31034483 35.68965517],0
s7,1,0.442864,0.58885,[10 13] ; [31 58],[ 8.41964286 14.58035714] ; [32.58035714 56.41964286],0
n1,1,0.540396,0.374806,[3 8] ; [ 8 13],[3.78125 7.21875] ; [ 7.21875 13.78125],0
d5,1,0.619805,0.246142,[20  6] ; [67 26],[19.00840336  6.99159664] ; [67.99159664 25.00840336],0
u1,1,0.625852,0.237727,[ 1 25] ; [ 2 91],[ 0.65546218 25.34453782] ; [ 2.34453782 90.65546218],0
s2,1,0.647606,0.208932,[10 16] ; [40 52],[11.01694915 14.98305085] ; [38.98305085 53.01694915],0
r1,1,0.660662,0.192721,[17  9] ; [65 28],[17.91596639  8.08403361] ; [64.08403361 28.91596639],0
n5,1,0.709932,0.138345,[17  9] ; [63 28],[17.77777778  8.22222222] ; [62.22222222 28.77777778],0
s3,1,0.766774,0.08797,[14 12] ; [46 45],[13.33333333 12.66666667] ; [46.66666667 44.33333333],0
d4,1,0.840616,0.040443,[20  6] ; [69 23],[19.61016949  6.38983051] ; [69.38983051 22.61016949],0
s8,1,0.859004,0.031557,[10 16] ; [34 59],[ 9.61344538 16.38655462] ; [34.38655462 58.61344538],0
s1,1,0.864464,0.029137,[ 1 24] ; [ 3 88],[ 0.86206897 24.13793103] ; [ 3.13793103 87.86206897],0
a1,1,0.876701,0.024072,[ 1 25] ; [ 3 90],[ 0.87394958 25.12605042] ; [ 3.12605042 89.87394958],0
r2,1,0.887135,0.020144,[22  3] ; [81 10],[22.19827586  2.80172414] ; [80.80172414 10.19827586],0
d1,1,0.902872,0.014892,[10 16] ; [37 56],[10.26890756 15.73109244] ; [36.73109244 56.26890756],0
