Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.657185,[26 94] ; [17  9],[35.34246575 84.65753425] ; [ 7.65753425 18.34246575],1
s6,1,2e-05,18.220652,[40 81] ; [21  6],[49.87162162 71.12837838] ; [11.12837838 15.87162162],1
s7,1,2.3e-05,17.944748,[20 93] ; [15 11],[28.45323741 84.54676259] ; [ 6.54676259 19.45323741],1
r4,1,0.004752,7.971388,[73 48] ; [24  3],[79.30405405 41.69594595] ; [17.69594595  9.30405405],0
p10,1,0.007615,7.121922,[24 96] ; [12 15],[29.3877551 90.6122449] ; [ 6.6122449 20.3877551],0
r3,1,0.009305,6.763357,[87 32] ; [26  1],[92.10273973 26.89726027] ; [20.89726027  6.10273973],0
s3,1,0.012172,6.285622,[42 78] ; [16 10],[47.67123288 72.32876712] ; [10.32876712 15.67123288],0
r1,1,0.026229,4.940833,[81 39] ; [24  3],[85.71428571 34.28571429] ; [19.28571429  7.71428571],0
b1,1,0.034857,4.452167,[58 63] ; [19  8],[62.9527027 58.0472973] ; [14.0472973 12.9527027],0
v4,1,0.041712,4.146843,[88 30] ; [25  2],[91.95862069 26.04137931] ; [21.04137931  5.95862069],0
u3,1,0.04196,4.136826,[26 27] ; [7 1],[28.67213115 24.32786885] ; [4.32786885 3.67213115],0
r2,1,0.065566,3.390682,[97 21] ; [26  1],[100.09655172  17.90344828] ; [22.90344828  4.09655172],0
n6,1,0.066506,3.367229,[70 49] ; [21  6],[74.17123288 44.82876712] ; [16.82876712 10.17123288],0
u2,1,0.074208,3.187398,[21 30] ; [6 2],[23.33898305 27.66101695] ; [3.66101695 4.33898305],0
d5,1,0.083821,2.989207,[83 38] ; [23  4],[86.66216216 34.33783784] ; [19.33783784  7.66216216],0
b4,1,0.088601,2.899617,[73 48] ; [21  6],[76.85135135 44.14864865] ; [17.14864865  9.85135135],0
v3,1,0.091445,2.848747,[34 83] ; [12 14],[37.63636364 79.36363636] ; [ 8.36363636 17.63636364],0
n2,1,0.104867,2.629919,[25 23] ; [8 2],[27.31034483 20.68965517] ; [5.68965517 4.31034483],0
n5,1,0.106695,2.60251,[64 56] ; [19  8],[67.75510204 52.24489796] ; [15.24489796 11.75510204],0
p2,1,0.116953,2.457658,[56 65] ; [17 10],[59.68243243 61.31756757] ; [13.31756757 13.68243243],0
v2,1,0.154733,2.024957,[41 76] ; [13 13],[44.18181818 72.81818182] ; [ 9.81818182 16.18181818],0
a3,1,0.19054,1.713436,[68 52] ; [19  8],[71.02040816 48.97959184] ; [15.97959184 11.02040816],0
s5,1,0.206868,1.593207,[ 19 102] ; [ 7 20],[21.25675676 99.74324324] ; [ 4.74324324 22.25675676],0
a4,1,0.225077,1.471705,[46 74] ; [ 7 20],[43.26530612 76.73469388] ; [ 9.73469388 17.26530612],0
a1,1,0.420262,0.649582,[  8 113] ; [ 3 24],[  8.99324324 112.00675676] ; [ 2.00675676 24.99324324],0
p4,1,0.430894,0.620413,[39 80] ; [11 16],[40.75342466 78.24657534] ; [ 9.24657534 17.75342466],0
n1,1,0.440973,0.59375,[15 33] ; [4 5],[16. 32.] ; [3. 6.],0
d1,1,0.44734,0.577383,[53 68] ; [14 13],[54.77702703 66.22297297] ; [12.22297297 14.77702703],0
n4,1,0.489586,0.477436,[76 44] ; [19  8],[77.55102041 42.44897959] ; [17.44897959  9.55102041],0
p11,1,0.49585,0.463807,[54 67] ; [14 13],[55.59459459 65.40540541] ; [12.40540541 14.59459459],0
d3,1,0.49585,0.463807,[67 54] ; [13 14],[65.40540541 55.59459459] ; [14.59459459 12.40540541],0
a8,1,0.497657,0.459929,[  9 101] ; [ 1 23],[  8.20895522 101.79104478] ; [ 1.79104478 22.20895522],0
d2,1,0.522496,0.408964,[58 61] ; [15 12],[59.5 59.5] ; [13.5 13.5],0
p7,1,0.557917,0.343323,[41 77] ; [11 16],[42.31724138 75.68275862] ; [ 9.68275862 17.31724138],0
p1,1,0.561763,0.336661,[  8 112] ; [ 1 26],[  7.34693878 112.65306122] ; [ 1.65306122 25.34693878],0
a5,1,0.590916,0.288917,[74 47] ; [15 12],[72.76351351 48.23648649] ; [16.23648649 10.76351351],0
u1,1,0.640933,0.217525,[ 14 107] ; [ 4 23],[ 14.71621622 106.28378378] ; [ 3.28378378 23.71621622],0
a6,1,0.681748,0.168165,[71 50] ; [17 10],[71.94594595 49.05405405] ; [16.05405405 10.94594595],0
p3,1,0.686441,0.162965,[31 89] ; [ 8 19],[31.83673469 88.16326531] ; [ 7.16326531 19.83673469],0
a7,1,0.692312,0.156594,[70 49] ; [17 10],[70.9109589 48.0890411] ; [16.0890411 10.9109589],0
p8,1,0.702874,0.145499,[27 93] ; [ 7 20],[27.75510204 92.24489796] ; [ 6.24489796 20.75510204],0
p5,1,0.728337,0.120644,[  3 117] ; [ 1 26],[  3.26530612 116.73469388] ; [ 0.73469388 26.26530612],0
a2,1,0.750049,0.10149,[ 21 100] ; [ 4 23],[ 20.43918919 100.56081081] ; [ 4.56081081 22.43918919],0
v1,1,0.779744,0.078206,[37 84] ; [ 9 18],[37.60810811 83.39189189] ; [ 8.39189189 18.60810811],0
b5,1,0.801964,0.062904,[64 57] ; [15 12],[64.58783784 56.41216216] ; [14.41216216 12.58783784],0
s1,1,0.873855,0.025206,[ 10 110] ; [ 2 25],[  9.79591837 110.20408163] ; [ 2.20408163 24.79591837],0
b2,1,0.874595,0.024908,[19 52] ; [ 5 15],[18.72527473 52.27472527] ; [ 5.27472527 14.72527473],0
