Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.280946,[52 74] ; [37  8],[65.57894737 60.42105263] ; [23.42105263 21.57894737],1
p8,1,0.000135,14.57135,[40 89] ; [29 17],[50.86285714 78.13714286] ; [18.13714286 27.86285714],1
p4,1,0.000788,11.268794,[45 85] ; [29 17],[54.65909091 75.34090909] ; [19.34090909 26.65909091],1
s2,1,0.001895,9.648298,[45 85] ; [28 18],[53.92045455 76.07954545] ; [19.07954545 26.92045455],0
s7,1,0.004064,8.254955,[26 96] ; [20 26],[33.4047619 88.5952381] ; [12.5952381 33.4047619],0
u2,1,0.005337,7.761676,[23 36] ; [15  5],[28.37974684 30.62025316] ; [ 9.62025316 10.37974684],0
p3,1,0.01301,6.167697,[34 97] ; [21 25],[40.70621469 90.29378531] ; [14.29378531 31.70621469],0
s8,1,0.034918,4.449197,[ 31 100] ; [18 27],[36.47159091 94.52840909] ; [12.52840909 32.47159091],0
a8,1,0.042323,4.122236,[  4 118] ; [ 5 39],[  6.61445783 115.38554217] ; [ 2.38554217 41.61445783],0
s4,1,0.053835,3.717805,[ 27 104] ; [16 30],[31.82485876 99.17514124] ; [11.17514124 34.82485876],0
b1,1,0.072846,3.21769,[54 77] ; [26 20],[59.20903955 71.79096045] ; [20.79096045 25.20903955],0
n2,1,0.107091,2.596626,[32 19] ; [15  3],[34.73913043 16.26086957] ; [12.26086957  5.73913043],0
n1,1,0.132961,2.257586,[13 38] ; [ 8 10],[15.52173913 35.47826087] ; [ 5.47826087 12.52173913],0
s6,1,0.154618,2.02609,[62 68] ; [27 18],[66.11428571 63.88571429] ; [22.88571429 22.11428571],0
b5,1,0.166369,1.915363,[79 52] ; [33 13],[82.89265537 48.10734463] ; [29.10734463 16.89265537],0
a1,1,0.172445,1.86156,[  3 128] ; [ 3 43],[  4.44067797 126.55932203] ; [ 1.55932203 44.44067797],0
p5,1,0.175848,1.832367,[  3 127] ; [ 3 43],[  4.43181818 125.56818182] ; [ 1.56818182 44.43181818],0
r3,1,0.192734,1.696597,[113  18] ; [43  3],[115.45762712  15.54237288] ; [40.54237288  5.45762712],0
p1,1,0.195039,1.67914,[  5 126] ; [ 4 42],[  6.66101695 124.33898305] ; [ 2.33898305 43.66101695],0
v4,1,0.223102,1.484305,[112  17] ; [43  3],[114.25714286  14.74285714] ; [40.74285714  5.25714286],0
b3,1,0.253436,1.304261,[13 49] ; [ 9 19],[15.15555556 46.84444444] ; [ 6.84444444 21.15555556],0
b2,1,0.253436,1.304261,[13 49] ; [ 9 19],[15.15555556 46.84444444] ; [ 6.84444444 21.15555556],0
p11,1,0.263863,1.248377,[79 52] ; [32 14],[82.15254237 48.84745763] ; [28.84745763 17.15254237],0
b4,1,0.31033,1.029269,[74 57] ; [22 24],[71.05084746 59.94915254] ; [24.94915254 21.05084746],0
p10,1,0.314167,1.013075,[79 50] ; [32 14],[81.82285714 47.17714286] ; [29.17714286 16.82285714],0
v2,1,0.315417,1.007856,[40 86] ; [18 27],[42.73684211 83.26315789] ; [15.26315789 29.73684211],0
a4,1,0.316256,1.004367,[38 93] ; [17 29],[40.70621469 90.29378531] ; [14.29378531 31.70621469],0
s5,1,0.319941,0.989188,[32 97] ; [14 29],[34.5 94.5] ; [11.5 31.5],0
r2,1,0.327517,0.958691,[108  22] ; [41  5],[110.05681818  19.94318182] ; [38.94318182  7.05681818],0
r4,1,0.340103,0.910042,[93 38] ; [36 10],[95.47457627 35.52542373] ; [33.52542373 12.47457627],0
p2,1,0.393631,0.727695,[91 40] ; [35 11],[93.25423729 37.74576271] ; [32.74576271 13.25423729],0
d3,1,0.40238,0.701201,[77 54] ; [29 15],[79.34857143 51.65142857] ; [26.65142857 17.34857143],0
a5,1,0.404095,0.696106,[72 59] ; [22 24],[69.57062147 61.42937853] ; [24.42937853 21.57062147],0
n6,1,0.453719,0.561346,[85 46] ; [27 19],[82.89265537 48.10734463] ; [29.10734463 16.89265537],0
u3,1,0.477337,0.504941,[33 26] ; [13  7],[34.35443038 24.64556962] ; [11.64556962  8.35443038],0
v1,1,0.522176,0.409594,[41 88] ; [17 29],[42.75428571 86.24571429] ; [15.24571429 30.75428571],0
n5,1,0.579541,0.306978,[46 84] ; [18 27],[47.54285714 82.45714286] ; [16.45714286 28.54285714],0
a7,1,0.624991,0.238915,[85 46] ; [31 14],[86.34090909 44.65909091] ; [29.65909091 15.34090909],0
r1,1,0.665445,0.186976,[81 49] ; [27 19],[79.77272727 50.22727273] ; [28.22727273 17.77272727],0
d1,1,0.668687,0.183142,[56 75] ; [18 28],[54.76836158 76.23163842] ; [19.23163842 26.76836158],0
u1,1,0.683059,0.166703,[  9 122] ; [ 4 42],[  9.62146893 121.37853107] ; [ 3.37853107 42.62146893],0
d4,1,0.68449,0.165115,[92 38] ; [34 12],[93.06818182 36.93181818] ; [32.93181818 13.06818182],0
p9,1,0.705572,0.14274,[88 40] ; [33 13],[89.01149425 38.98850575] ; [31.98850575 14.01149425],0
s1,1,0.756758,0.095939,[  4 127] ; [ 1 45],[  3.70056497 127.29943503] ; [ 1.29943503 44.70056497],0
d5,1,0.760413,0.092987,[87 44] ; [31 14],[87.82954545 43.17045455] ; [30.17045455 14.82954545],0
s3,1,0.762198,0.091564,[56 74] ; [21 25],[56.875 73.125] ; [20.125 25.875],0
a6,1,0.789486,0.071278,[77 54] ; [26 20],[76.23163842 54.76836158] ; [26.76836158 19.23163842],0
a3,1,0.823213,0.049914,[71 59] ; [26 20],[71.64772727 58.35227273] ; [25.35227273 20.64772727],0
n3,1,0.87803,0.023552,[35 16] ; [12  6],[34.73913043 16.26086957] ; [12.26086957  5.73913043],0
d2,1,0.895779,0.01716,[47 84] ; [17 29],[47.36723164 83.63276836] ; [16.63276836 29.36723164],0
a2,1,0.914752,0.011459,[ 15 116] ; [ 5 41],[ 14.80225989 116.19774011] ; [ 5.19774011 40.80225989],0
