Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.00076,11.336094,[12  5] ; [35 85],[ 5.83211679 11.16788321] ; [41.16788321 78.83211679],1
s3,1,0.033878,4.500837,[12  5] ; [50 66],[7.92481203 9.07518797] ; [54.07518797 61.92481203],0
r3,1,0.03726,4.338498,[11  7] ; [98 21],[14.32116788  3.67883212] ; [94.67883212 24.32116788],0
s5,1,0.053552,3.726622,[ 6 10] ; [20 97],[ 3.12781955 12.87218045] ; [22.87218045 94.12781955],0
a6,1,0.071638,3.245087,[ 7 11] ; [73 46],[10.51094891  7.48905109] ; [69.48905109 49.51094891],0
s7,1,0.075966,3.149158,[10  7] ; [41 72],[ 6.66923077 10.33076923] ; [44.33076923 68.66923077],0
p8,1,0.084262,2.980717,[ 2 16] ; [36 81],[ 5.06666667 12.93333333] ; [32.93333333 84.06666667],0
s6,1,0.092053,2.838105,[12  6] ; [54 65],[8.67153285 9.32846715] ; [57.32846715 61.67153285],0
p11,1,0.113495,2.504874,[ 6 12] ; [64 56],[9.13043478 8.86956522] ; [60.86956522 59.13043478],0
a3,1,0.150612,2.066039,[14  4] ; [71 47],[11.25  6.75] ; [73.75 44.25],0
u2,1,0.180141,1.796463,[3 1] ; [19 28],[1.7254902 2.2745098] ; [20.2745098 26.7254902],0
n1,1,0.22144,1.495017,[2 5] ; [23 20],[3.5 3.5] ; [21.5 21.5],0
a4,1,0.224635,1.474511,[11  7] ; [54 64],[8.60294118 9.39705882] ; [56.39705882 61.60294118],0
p7,1,0.239895,1.381211,[ 5 13] ; [50 68],[ 7.27941176 10.72058824] ; [47.72058824 70.27941176],0
b4,1,0.247436,1.337724,[9 9] ; [77 43],[11.2173913  6.7826087] ; [74.7826087 45.2173913],0
r4,1,0.247559,1.337026,[11  7] ; [89 31],[13.04347826  4.95652174] ; [86.95652174 33.04347826],0
v3,1,0.253,1.306661,[ 4 14] ; [41 73],[ 6.13636364 11.86363636] ; [38.86363636 75.13636364],0
a8,1,0.305067,1.051913,[ 1 13] ; [20 91],[ 2.352 11.648] ; [18.648 92.352],0
s1,1,0.311458,1.024482,[ 2 16] ; [  6 112],[ 1.05882353 16.94117647] ; [  6.94117647 111.05882353],0
p6,1,0.335592,0.927198,[ 3 15] ; [32 85],[ 4.66666667 13.33333333] ; [30.33333333 86.66666667],0
d2,1,0.398374,0.713229,[11  7] ; [59 58],[9.33333333 8.66666667] ; [60.66666667 56.33333333],0
r2,1,0.429111,0.625229,[13  3] ; [105  14],[13.98518519  2.01481481] ; [104.01481481  14.98518519],0
p9,1,0.429701,0.62363,[ 5 13] ; [43 72],[ 6.4962406 11.5037594] ; [41.5037594 73.4962406],0
n5,1,0.455969,0.555771,[14  4] ; [83 37],[12.65217391  5.34782609] ; [84.34782609 35.65217391],0
a5,1,0.462408,0.54006,[13  5] ; [76 44],[11.60869565  6.39130435] ; [77.39130435 42.60869565],0
