Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.094836,[67  9] ; [ 6 23],[52.83809524 23.16190476] ; [20.16190476  8.83809524],1
r3,1,1e-06,24.242759,[66  9] ; [12 17],[56.25 18.75] ; [21.75  7.25],1
v4,1,3.8e-05,16.962872,[68  7] ; [16 13],[60.57692308 14.42307692] ; [23.42307692  5.57692308],1
u3,1,0.000905,11.013095,[18 10] ; [ 2 14],[12.72727273 15.27272727] ; [7.27272727 8.72727273],1
r2,1,0.001446,10.14602,[71  4] ; [21  8],[66.34615385  8.65384615] ; [25.65384615  3.34615385],0
n6,1,0.00366,8.445113,[64 12] ; [16 12],[58.46153846 17.53846154] ; [21.53846154  6.46153846],0
u2,1,0.014311,5.99939,[16 11] ; [ 3 12],[12.21428571 14.78571429] ; [6.78571429 8.21428571],0
s6,1,0.016157,5.785747,[43 32] ; [ 9 20],[37.5 37.5] ; [14.5 14.5],0
s2,1,0.016187,5.782497,[31 42] ; [ 5 24],[25.76470588 47.23529412] ; [10.23529412 18.76470588],0
d3,1,0.019834,5.426471,[48 28] ; [11 18],[42.7047619 33.2952381] ; [16.2952381 12.7047619],0
a7,1,0.02062,5.35859,[52 23] ; [13 16],[46.875 28.125] ; [18.125 10.875],0
d5,1,0.021612,5.276744,[57 19] ; [15 14],[52.11428571 23.88571429] ; [19.88571429  9.11428571],0
p2,1,0.027587,4.853702,[47 29] ; [11 18],[41.98095238 34.01904762] ; [16.01904762 12.98095238],0
p11,1,0.031862,4.605886,[44 32] ; [10 19],[39.08571429 36.91428571] ; [14.91428571 14.08571429],0
a5,1,0.031997,4.598654,[49 27] ; [12 17],[44.15238095 31.84761905] ; [16.84761905 12.15238095],0
p10,1,0.032024,4.59721,[26 48] ; [ 4 25],[21.55339806 52.44660194] ; [ 8.44660194 20.55339806],0
d4,1,0.039155,4.254115,[54 20] ; [15 14],[49.57281553 24.42718447] ; [19.42718447  9.57281553],0
v3,1,0.040564,4.194134,[29 47] ; [ 5 24],[24.60952381 51.39047619] ; [ 9.39047619 19.60952381],0
d1,1,0.047326,3.933757,[40 36] ; [ 9 20],[35.46666667 40.53333333] ; [13.53333333 15.46666667],0
