Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3.6e-05,17.069127,[ 5 35] ; [37 34],[15.13513514 24.86486486] ; [26.86486486 44.13513514],1
p8,1,5.7e-05,16.186083,[ 7 32] ; [42 31],[17.0625 21.9375] ; [31.9375 41.0625],1
p11,1,0.001757,9.787438,[25 15] ; [64  9],[31.50442478  8.49557522] ; [57.49557522 15.50442478],0
b5,1,0.002302,9.291277,[31  9] ; [35 38],[23.36283186 16.63716814] ; [42.63716814 30.36283186],0
p3,1,0.003435,8.560703,[ 8 32] ; [35 38],[15.22123894 24.77876106] ; [27.77876106 45.22123894],0
n5,1,0.003809,8.372776,[20 20] ; [56 17],[26.90265487 13.09734513] ; [49.09734513 23.90265487],0
p5,1,0.012464,6.243616,[ 1 39] ; [14 59],[ 5.30973451 34.69026549] ; [ 9.69026549 63.30973451],0
n4,1,0.013347,6.122544,[21 19] ; [55 18],[26.90265487 13.09734513] ; [49.09734513 23.90265487],0
p4,1,0.023148,5.157396,[13 27] ; [40 33],[18.76106195 21.23893805] ; [34.23893805 38.76106195],0
p10,1,0.023592,5.124368,[23 16] ; [57 15],[28.10810811 10.89189189] ; [51.89189189 20.10810811],0
v1,1,0.04308,4.092262,[19 21] ; [47 23],[24. 16.] ; [42. 28.],0
v4,1,0.043298,4.083711,[34  6] ; [69  3],[36.78571429  3.21428571] ; [66.21428571  5.78571429],0
d1,1,0.074242,3.186646,[20 20] ; [24 49],[15.57522124 24.42477876] ; [28.42477876 44.57522124],0
s3,1,0.074248,3.186512,[15 24] ; [41 32],[19.5 19.5] ; [36.5 36.5],0
d5,1,0.079793,3.069112,[33  7] ; [49 24],[29.02654867 10.97345133] ; [52.97345133 20.02654867],0
p2,1,0.091882,2.841088,[28 12] ; [61 12],[31.50442478  8.49557522] ; [57.49557522 15.50442478],0
r3,1,0.092363,2.832703,[35  4] ; [71  2],[36.91071429  2.08928571] ; [69.08928571  3.91071429],0
p9,1,0.095214,2.783928,[26 13] ; [59 14],[29.59821429  9.40178571] ; [55.40178571 17.59821429],0
s2,1,0.105263,2.623939,[12 27] ; [34 39],[16.01785714 22.98214286] ; [29.98214286 43.01785714],0
d2,1,0.111477,2.533154,[14 25] ; [16 57],[10.44642857 28.55357143] ; [19.55357143 53.44642857],0
a4,1,0.191199,1.708351,[12 28] ; [14 59],[ 9.20353982 30.79646018] ; [16.79646018 56.20353982],0
s8,1,0.191836,1.70346,[12 28] ; [31 42],[15.22123894 24.77876106] ; [27.77876106 45.22123894],0
r4,1,0.194321,1.684552,[30 10] ; [62 11],[32.56637168  7.43362832] ; [59.43362832 13.56637168],0
b3,1,0.207607,1.588033,[ 7 12] ; [10 36],[ 4.96923077 14.03076923] ; [12.03076923 33.96923077],0
b2,1,0.207607,1.588033,[ 7 12] ; [10 36],[ 4.96923077 14.03076923] ; [12.03076923 33.96923077],0
s7,1,0.210549,1.567646,[11 27] ; [28 40],[13.98113208 24.01886792] ; [25.01886792 42.98113208],0
