Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.309614,[235  89] ; [21 31],[220.59574468 103.40425532] ; [35.40425532 16.59574468],1
p9,1,3.4e-05,17.185062,[296  24] ; [40 14],[287.48663102  32.51336898] ; [48.51336898  5.48663102],1
p8,1,0.000116,14.857429,[200 117] ; [19 35],[187.12398922 129.87601078] ; [31.87601078 22.12398922],1
p11,1,0.002084,9.474181,[282  43] ; [38 16],[274.40633245  50.59366755] ; [45.59366755  8.40633245],0
r4,1,0.004032,8.269133,[303  22] ; [44 10],[297.55936675  27.44063325] ; [49.44063325  4.55936675],0
v1,1,0.004253,8.172676,[232  86] ; [29 25],[223.11290323  94.88709677] ; [37.88709677 16.11290323],0
p7,1,0.004546,8.051547,[236  82] ; [28 23],[227.51219512  90.48780488] ; [36.48780488 14.51219512],0
d5,1,0.006034,7.540195,[281  44] ; [38 15],[274.27248677  50.72751323] ; [44.72751323  8.27248677],0
p3,1,0.016352,5.764569,[198 127] ; [23 30],[190.01322751 134.98677249] ; [30.98677249 22.01322751],0
r3,1,0.020246,5.390564,[313   9] ; [49  5],[310.0106383  11.9893617] ; [51.9893617  2.0106383],0
p10,1,0.020381,5.378934,[291  31] ; [43 11],[286.03191489  35.96808511] ; [47.96808511  6.03191489],0
a1,1,0.021935,5.250955,[ 16 309] ; [ 7 47],[ 19.72295515 305.27704485] ; [ 3.27704485 50.72295515],0
v3,1,0.02381,5.108421,[199 119] ; [25 29],[191.48387097 126.51612903] ; [32.51612903 21.48387097],0
s1,1,0.028798,4.779671,[  4 315] ; [ 3 50],[  6.00268817 312.99731183] ; [ 0.99731183 52.00268817],0
a3,1,0.029435,4.741962,[254  70] ; [35 19],[247.71428571  76.28571429] ; [41.28571429 12.71428571],0
b1,1,0.042458,4.116843,[110 215] ; [26 28],[116.62269129 208.37730871] ; [19.37730871 34.62269129],0
s7,1,0.061518,3.495973,[183 122] ; [24 28],[176.8487395 128.1512605] ; [30.1512605 21.8487395],0
r1,1,0.062604,3.46703,[279  46] ; [41 13],[274.40633245  50.59366755] ; [45.59366755  8.40633245],0
d4,1,0.07322,3.209327,[281  43] ; [41 12],[276.73209549  47.26790451] ; [45.26790451  7.73209549],0
d3,1,0.077007,3.126958,[235  90] ; [32 21],[229.56349206  95.43650794] ; [37.43650794 15.56349206],0
p6,1,0.085739,2.952602,[143 177] ; [17 36],[137.26541555 182.73458445] ; [22.73458445 30.26541555],0
n6,1,0.095777,2.7745,[298  26] ; [45  8],[294.77984085  29.22015915] ; [48.22015915  4.77984085],0
n4,1,0.095832,2.773573,[295  30] ; [45  9],[291.55672823  33.44327177] ; [48.44327177  5.55672823],0
p5,1,0.132375,2.264429,[ 49 276] ; [ 4 50],[ 45.44854881 279.55145119] ; [ 7.55145119 46.44854881],0
r2,1,0.19237,1.699372,[305  16] ; [48  5],[302.97593583  18.02406417] ; [50.02406417  2.97593583],0
s5,1,0.215974,1.53092,[122 190] ; [16 37],[117.96164384 194.03835616] ; [20.03835616 32.96164384],0
n3,1,0.218468,1.514403,[44 10] ; [10  5],[42.26086957 11.73913043] ; [11.73913043  3.26086957],0
a2,1,0.224705,1.47407,[ 92 233] ; [11 43],[ 88.32453826 236.67546174] ; [14.67546174 39.32453826],0
d1,1,0.247915,1.335016,[213 112] ; [31 23],[209.2348285 115.7651715] ; [34.7651715 19.2348285],0
a6,1,0.255319,1.293965,[227  97] ; [33 20],[223.44827586 100.55172414] ; [36.55172414 16.44827586],0
n2,1,0.257237,1.283565,[43 10] ; [14  1],[44.42647059  8.57352941] ; [12.57352941  2.42647059],0
u1,1,0.315321,1.008257,[ 74 251] ; [ 9 45],[ 71.17414248 253.82585752] ; [11.82585752 42.17414248],0
a5,1,0.348828,0.877717,[259  66] ; [40 14],[256.39841689  68.60158311] ; [42.60158311 11.39841689],0
s4,1,0.394195,0.725962,[ 41 282] ; [ 9 44],[ 42.95212766 280.04787234] ; [ 7.04787234 45.95212766],0
s6,1,0.394221,0.725884,[230  88] ; [36 18],[227.38709677  90.61290323] ; [38.61290323 15.38709677],0
n1,1,0.418628,0.654162,[21 31] ; [ 4 10],[19.6969697 32.3030303] ; [5.3030303 8.6969697],0
p1,1,0.447389,0.577258,[ 28 297] ; [ 3 51],[ 26.58311346 298.41688654] ; [ 4.41688654 49.58311346],0
b3,1,0.467211,0.528564,[ 83 122] ; [13 25],[ 80.98765432 124.01234568] ; [15.01234568 22.98765432],0
b2,1,0.467211,0.528564,[ 83 122] ; [13 25],[ 80.98765432 124.01234568] ; [15.01234568 22.98765432],0
s8,1,0.512373,0.429218,[167 154] ; [25 28],[164.79144385 156.20855615] ; [27.20855615 25.79144385],0
d2,1,0.515115,0.423664,[174 149] ; [26 27],[171.80851064 151.19148936] ; [28.19148936 24.80851064],0
p12,1,0.538976,0.377441,[ 33 291] ; [ 7 47],[ 34.28571429 289.71428571] ; [ 5.71428571 48.28571429],0
u3,1,0.592943,0.285772,[40 31] ; [12  7],[41.02222222 29.97777778] ; [10.97777778  8.02222222],0
v4,1,0.605505,0.266772,[310  13] ; [51  3],[309.29177719  13.70822281] ; [51.70822281  2.29177719],0
a4,1,0.613893,0.254545,[156 168] ; [24 30],[154.28571429 169.71428571] ; [25.71428571 28.28571429],0
u4,1,0.70484,0.143486,[  9 316] ; [ 2 52],[  9.43271768 315.56728232] ; [ 1.56728232 52.43271768],0
s2,1,0.741674,0.108661,[179 140] ; [29 25],[177.88739946 141.11260054] ; [30.11260054 23.88739946],0
s3,1,0.784449,0.074817,[183 135] ; [30 24],[182.08064516 135.91935484] ; [30.91935484 23.08064516],0
a7,1,0.894243,0.017672,[242  81] ; [40 14],[241.60742706  81.39257294] ; [40.39257294 13.60742706],0
b5,1,0.912251,0.012144,[190 135] ; [32 22],[190.36939314 134.63060686] ; [31.63060686 22.36939314],0
u2,1,0.923124,0.009312,[38 32] ; [10  8],[38.18181818 31.81818182] ; [9.81818182 8.18181818],0
b4,1,0.952107,0.003607,[194 131] ; [32 22],[193.7994723 131.2005277] ; [32.2005277 21.7994723],0
a8,1,0.957587,0.002828,[ 49 238] ; [ 8 38],[ 49.12612613 237.87387387] ; [ 7.87387387 38.12612613],0
