Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,43.705686,[24 48] ; [114  30],[46. 26.] ; [92. 52.],1
a5,1,0.000157,14.286246,[31 41] ; [101  44],[43.79723502 28.20276498] ; [88.20276498 56.79723502],1
a4,1,0.00402,8.274668,[20 52] ; [69 74],[29.80465116 42.19534884] ; [59.19534884 83.80465116],0
n1,1,0.006346,7.449206,[ 8 28] ; [22 20],[13.84615385 22.15384615] ; [16.15384615 25.84615385],0
p3,1,0.008922,6.838407,[ 8 63] ; [ 39 106],[15.44907407 55.55092593] ; [ 31.55092593 113.44907407],0
n6,1,0.012817,6.194254,[44 28] ; [112  33],[51.76036866 20.23963134] ; [104.23963134  40.76036866],0
p11,1,0.014701,5.951982,[38 34] ; [101  44],[46.11981567 25.88018433] ; [92.88018433 52.11981567],0
d2,1,0.031439,4.628842,[21 51] ; [63 79],[28.26168224 43.73831776] ; [55.73831776 86.26168224],0
r2,1,0.031939,4.601776,[56 16] ; [127  16],[61.28372093 10.71627907] ; [121.71627907  21.28372093],0
b2,1,0.032626,4.565322,[ 9 24] ; [43 45],[14.18181818 18.81818182] ; [37.81818182 50.18181818],0
b3,1,0.032626,4.565322,[ 9 24] ; [43 45],[14.18181818 18.81818182] ; [37.81818182 50.18181818],0
a8,1,0.034042,4.492607,[ 2 67] ; [ 16 120],[ 6.05853659 62.94146341] ; [ 11.94146341 124.05853659],0
u1,1,0.040007,4.217598,[ 3 69] ; [ 19 126],[ 7.29953917 64.70046083] ; [ 14.70046083 130.29953917],0
a1,1,0.044125,4.051758,[ 1 71] ; [ 12 133],[ 4.31336406 67.68663594] ; [  8.68663594 136.31336406],0
n2,1,0.047849,3.915284,[17 18] ; [31 13],[21.26582278 13.73417722] ; [26.73417722 17.26582278],0
a6,1,0.058712,3.573388,[43 29] ; [105  40],[49.10599078 22.89400922] ; [98.89400922 46.10599078],0
s1,1,0.074532,3.180288,[ 5 67] ; [  3 141],[ 2.66666667 69.33333333] ; [  5.33333333 138.66666667],0
p4,1,0.074543,3.180031,[16 56] ; [49 95],[21.66666667 50.33333333] ; [ 43.33333333 100.66666667],0
s7,1,0.076761,3.132182,[ 9 61] ; [ 32 106],[13.79807692 56.20192308] ; [ 27.20192308 110.79807692],0
u3,1,0.077194,3.123015,[18 14] ; [19 33],[14.0952381 17.9047619] ; [22.9047619 29.0952381],0
s8,1,0.089513,2.883106,[ 7 65] ; [ 27 118],[11.28110599 60.71889401] ; [ 22.71889401 122.28110599],0
r4,1,0.109887,2.55584,[45 27] ; [106  39],[50.10138249 21.89861751] ; [100.89861751  44.10138249],0
p2,1,0.132685,2.260803,[37 35] ; [90 55],[42.13824885 29.86175115] ; [84.86175115 60.13824885],0
a3,1,0.176848,1.823913,[40 32] ; [93 50],[44.53953488 27.46046512] ; [88.46046512 54.53953488],0
a7,1,0.190284,1.715414,[51 21] ; [89 55],[46.66666667 25.33333333] ; [93.33333333 50.66666667],0
n3,1,0.193164,1.693318,[17 18] ; [26 15],[19.80263158 15.19736842] ; [23.19736842 17.80263158],0
p10,1,0.223369,1.482595,[37 34] ; [87 56],[41.14018692 29.85981308] ; [82.85981308 60.14018692],0
p5,1,0.27825,1.175616,[ 2 70] ; [  9 136],[ 3.64976959 68.35023041] ; [  7.35023041 137.64976959],0
s6,1,0.279892,1.167617,[21 51] ; [53 92],[24.55299539 47.44700461] ; [49.44700461 95.55299539],0
p1,1,0.29627,1.090909,[ 4 68] ; [ 14 130],[ 6. 66.] ; [ 12. 132.],0
s3,1,0.315242,1.008586,[11 61] ; [ 30 113],[13.73023256 58.26976744] ; [ 27.26976744 115.73023256],0
v1,1,0.323511,0.974698,[21 51] ; [51 91],[24.22429907 47.77570093] ; [47.77570093 94.22429907],0
p6,1,0.344592,0.893271,[ 5 66] ; [ 16 128],[ 6.93488372 64.06511628] ; [ 14.06511628 129.93488372],0
p8,1,0.347139,0.883887,[18 54] ; [ 28 116],[15.33333333 56.66666667] ; [ 30.66666667 113.33333333],0
v2,1,0.374476,0.788758,[32 39] ; [53 84],[29.01442308 41.98557692] ; [55.98557692 81.01442308],0
a2,1,0.382822,0.761621,[10 62] ; [ 27 118],[12.2764977 59.7235023] ; [ 24.7235023 120.2764977],0
s4,1,0.404544,0.694777,[ 8 64] ; [ 11 132],[ 6.3627907 65.6372093] ; [ 12.6372093 130.3627907],0
b5,1,0.461284,0.542778,[44 28] ; [81 64],[41.47465438 30.52534562] ; [83.52534562 61.47465438],0
d1,1,0.590752,0.289171,[30 42] ; [66 79],[31.85253456 40.14746544] ; [64.14746544 80.85253456],0
u2,1,0.606645,0.265089,[16 16] ; [23 29],[14.85714286 17.14285714] ; [24.14285714 27.85714286],0
d3,1,0.651044,0.204587,[45 27] ; [86 59],[43.46543779 28.53456221] ; [87.53456221 57.46543779],0
v3,1,0.657098,0.197067,[17 53] ; [ 38 102],[18.33333333 51.66666667] ; [ 36.66666667 103.33333333],0
s5,1,0.704119,0.144223,[10 61] ; [ 17 122],[ 9.12857143 61.87142857] ; [ 17.87142857 121.12857143],0
p9,1,0.705823,0.142485,[44 26] ; [93 49],[45.23584906 24.76415094] ; [91.76415094 50.23584906],0
b1,1,0.719587,0.128889,[26 46] ; [56 89],[27.20737327 44.79262673] ; [54.79262673 90.20737327],0
r3,1,0.724592,0.124135,[58 14] ; [118  25],[58.93953488 13.06046512] ; [117.06046512  25.93953488],0
r1,1,0.735302,0.114298,[46 26] ; [96 49],[47.11520737 24.88479263] ; [94.88479263 50.11520737],0
v4,1,0.800484,0.063868,[60 12] ; [118  26],[59.33333333 12.66666667] ; [118.66666667  25.33333333],0
d4,1,0.829022,0.046637,[53 19] ; [104  40],[52.33333333 19.66666667] ; [104.66666667  39.33333333],0
d5,1,0.89121,0.018707,[51 21] ; [104  41],[51.42857143 20.57142857] ; [103.57142857  41.42857143],0
b4,1,0.891263,0.018689,[44 28] ; [90 55],[44.46082949 27.53917051] ; [89.53917051 55.46082949],0
