Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,4e-06,21.345882,[4 6] ; [ 3 99],[0.625 9.375] ; [ 6.375 95.625],1
a1,1,0.003173,8.705237,[2 8] ; [  2 101],[0.3539823 9.6460177] ; [ 3.6460177 99.3539823],0
v1,1,0.006717,7.347021,[9 1] ; [46 56],[4.91071429 5.08928571] ; [50.08928571 51.91071429],0
d2,1,0.010385,6.567702,[9 1] ; [49 54],[5.13274336 4.86725664] ; [52.86725664 50.13274336],0
p1,1,0.01364,6.084148,[3 7] ; [ 7 96],[0.88495575 9.11504425] ; [ 9.11504425 93.88495575],0
p3,1,0.050218,3.834169,[8 2] ; [49 54],[5.04424779 4.95575221] ; [51.95575221 51.04424779],0
p8,1,0.0614,3.499172,[8 2] ; [49 51],[5.18181818 4.81818182] ; [51.81818182 48.18181818],0
p7,1,0.079987,3.065165,[9 1] ; [61 37],[6.48148148 3.51851852] ; [63.51851852 34.48148148],0
s1,1,0.09807,2.736652,[2 8] ; [ 6 96],[0.71428571 9.28571429] ; [ 7.28571429 94.71428571],0
p6,1,0.109573,2.56037,[7 3] ; [44 57],[4.59459459 5.40540541] ; [46.40540541 54.59459459],0
a3,1,0.146849,2.104684,[9 1] ; [70 33],[6.99115044 3.00884956] ; [72.00884956 30.99115044],0
s5,1,0.153069,2.0414,[6 1] ; [56 40],[4.21359223 2.78640777] ; [57.78640777 38.21359223],0
r1,1,0.234899,1.410946,[9 1] ; [75 28],[7.43362832 2.56637168] ; [76.56637168 26.43362832],0
b4,1,0.266154,1.236462,[4 6] ; [60 43],[5.66371681 4.33628319] ; [58.33628319 44.66371681],0
s7,1,0.268161,1.22613,[9 1] ; [72 25],[7.57009346 2.42990654] ; [73.42990654 23.57009346],0
a2,1,0.305956,1.048053,[1 9] ; [25 78],[2.30088496 7.69911504] ; [23.69911504 79.30088496],0
v3,1,0.401863,0.702745,[4 6] ; [28 74],[2.85714286 7.14285714] ; [29.14285714 72.85714286],0
a8,1,0.472053,0.517166,[1 8] ; [ 5 90],[0.51923077 8.48076923] ; [ 5.48076923 89.51923077],0
a4,1,0.489072,0.478567,[4 6] ; [53 50],[5.04424779 4.95575221] ; [51.95575221 51.04424779],0
b1,1,0.491084,0.47415,[5 5] ; [40 63],[3.98230088 6.01769912] ; [41.01769912 61.98230088],0
b2,1,0.498155,0.458865,[2 4] ; [11 41],[1.34482759 4.65517241] ; [11.65517241 40.34482759],0
b3,1,0.498155,0.458865,[2 4] ; [11 41],[1.34482759 4.65517241] ; [11.65517241 40.34482759],0
p11,1,0.502585,0.449473,[8 2] ; [72 31],[7.07964602 2.92035398] ; [72.92035398 30.07964602],0
d5,1,0.538639,0.378069,[9 1] ; [84 18],[8.30357143 1.69642857] ; [84.69642857 17.30357143],0
d3,1,0.65576,0.198715,[8 2] ; [75 27],[7.41071429 2.58928571] ; [75.58928571 26.41071429],0
b5,1,0.749926,0.101593,[6 4] ; [67 36],[6.46017699 3.53982301] ; [66.53982301 36.46017699],0
a6,1,0.799202,0.064709,[7 3] ; [68 35],[6.63716814 3.36283186] ; [68.36283186 34.63716814],0
u1,1,0.812824,0.056067,[2 8] ; [24 79],[2.30088496 7.69911504] ; [23.69911504 79.30088496],0
v2,1,0.830911,0.045596,[5 5] ; [46 53],[4.67889908 5.32110092] ; [46.32110092 52.67889908],0
a5,1,0.944407,0.004863,[7 3] ; [71 32],[6.90265487 3.09734513] ; [71.09734513 31.90265487],0
a7,1,0.968939,0.001516,[7 3] ; [72 30],[7.05357143 2.94642857] ; [71.94642857 30.05357143],0
s3,1,0.976334,0.00088,[9 1] ; [93 10],[9.02654867 0.97345133] ; [92.97345133 10.02654867],0
