Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,27.931225,[ 3 21] ; [22  3],[12.24489796 11.75510204] ; [12.75510204 12.24489796],1
u3,1,0.001785,9.758442,[ 3 12] ; [9 2],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
n5,1,0.002869,8.888889,[20  4] ; [10 14],[15.  9.] ; [15.  9.],0
p11,1,0.006704,7.350546,[ 8 16] ; [18  7],[12.73469388 11.26530612] ; [13.26530612 11.73469388],0
p3,1,0.009971,6.640015,[ 2 22] ; [10 15],[ 5.87755102 18.12244898] ; [ 6.12244898 18.87755102],0
r2,1,0.010361,6.571811,[14  9] ; [23  2],[17.72916667  5.27083333] ; [19.27083333  5.72916667],0
s6,1,0.02368,5.117924,[ 5 19] ; [13 12],[ 8.81632653 15.18367347] ; [ 9.18367347 15.81632653],0
b3,1,0.029345,4.747253,[7 6] ; [ 2 12],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
b2,1,0.029345,4.747253,[7 6] ; [ 2 12],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
a5,1,0.03182,4.608178,[ 8 16] ; [16  9],[11.75510204 12.24489796] ; [12.24489796 12.75510204],0
s8,1,0.039894,4.222376,[ 2 22] ; [ 8 17],[ 4.89795918 19.10204082] ; [ 5.10204082 19.89795918],0
p4,1,0.09502,2.787204,[ 6 18] ; [12 13],[ 8.81632653 15.18367347] ; [ 9.18367347 15.81632653],0
n2,1,0.099924,2.706755,[7 7] ; [9 2],[8.96 5.04] ; [7.04 3.96],0
p10,1,0.105773,2.616271,[ 8 15] ; [14 10],[10.76595745 12.23404255] ; [11.23404255 12.76595745],0
a7,1,0.110788,2.542941,[ 8 16] ; [14 11],[10.7755102 13.2244898] ; [11.2244898 13.7755102],0
p2,1,0.117017,2.456806,[11 13] ; [17  8],[13.71428571 10.28571429] ; [14.28571429 10.71428571],0
s3,1,0.145602,2.117729,[ 5 19] ; [10 15],[ 7.34693878 16.65306122] ; [ 7.65306122 17.34693878],0
s7,1,0.152763,2.044444,[ 3 20] ; [ 7 16],[ 5. 18.] ; [ 5. 18.],0
p8,1,0.171844,1.866787,[ 7 16] ; [12 12],[ 9.29787234 13.70212766] ; [ 9.70212766 14.29787234],0
d5,1,0.186858,1.742222,[ 8 16] ; [13 12],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
b5,1,0.199375,1.646944,[10 14] ; [15 10],[12.24489796 11.75510204] ; [12.75510204 12.24489796],0
a6,1,0.200004,1.642345,[12 12] ; [17  8],[14.20408163  9.79591837] ; [14.79591837 10.20408163],0
u2,1,0.233703,1.418182,[6 9] ; [7 4],[7.5 7.5] ; [5.5 5.5],0
a3,1,0.242501,1.365995,[ 9 14] ; [14 11],[11.02083333 11.97916667] ; [11.97916667 13.02083333],0
p7,1,0.248213,1.333333,[10 14] ; [14 10],[12. 12.] ; [12. 12.],0
v3,1,0.265103,1.241912,[ 4 20] ; [ 7 16],[ 5.61702128 18.38297872] ; [ 5.38297872 17.61702128],0
b4,1,0.307675,1.040631,[ 9 15] ; [13 12],[10.7755102 13.2244898] ; [11.2244898 13.7755102],0
a8,1,0.352261,0.865294,[ 2 22] ; [ 4 19],[ 3.06382979 20.93617021] ; [ 2.93617021 20.06382979],0
v1,1,0.365258,0.819734,[ 7 17] ; [10 14],[ 8.5 15.5] ; [ 8.5 15.5],0
v2,1,0.392998,0.729646,[ 6 17] ; [ 8 13],[ 7.31818182 15.68181818] ; [ 6.68181818 14.31818182],0
p9,1,0.47051,0.520777,[11 12] ; [14 10],[12.23404255 10.76595745] ; [12.76595745 11.23404255],0
p6,1,0.477197,0.505263,[ 6 18] ; [ 4 20],[ 5. 19.] ; [ 5. 19.],0
p1,1,0.477664,0.504192,[ 3 21] ; [ 5 20],[ 3.91836735 20.08163265] ; [ 4.08163265 20.91836735],0
a4,1,0.587669,0.294,[ 6 18] ; [ 8 17],[ 6.85714286 17.14285714] ; [ 7.14285714 17.85714286],0
a2,1,0.67166,0.179667,[ 2 22] ; [ 3 22],[ 2.44897959 21.55102041] ; [ 2.55102041 22.44897959],0
b1,1,0.868951,0.027222,[14 10] ; [14 11],[13.71428571 10.28571429] ; [14.28571429 10.71428571],0
d3,1,0.882172,0.021968,[ 5 18] ; [ 5 20],[ 4.79166667 18.20833333] ; [ 5.20833333 19.79166667],0
n1,1,0.888683,0.019592,[6 8] ; [4 6],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
n4,1,0.897374,0.016636,[13 11] ; [14 11],[13.2244898 10.7755102] ; [13.7755102 11.2244898],0
d2,1,0.927994,0.008167,[ 7 17] ; [ 7 18],[ 6.85714286 17.14285714] ; [ 7.14285714 17.85714286],0
s2,1,0.942321,0.005235,[ 5 19] ; [ 5 20],[ 4.89795918 19.10204082] ; [ 5.10204082 19.89795918],0
s4,1,0.957434,0.002849,[ 3 21] ; [ 3 22],[ 2.93877551 21.06122449] ; [ 3.06122449 21.93877551],0
s5,1,0.964507,0.00198,[ 2 22] ; [ 2 21],[ 2.04255319 21.95744681] ; [ 1.95744681 21.04255319],0
s1,1,0.96602,0.001815,[ 2 22] ; [ 2 23],[ 1.95918367 22.04081633] ; [ 2.04081633 22.95918367],0
