Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.003495,8.529023,[22  2] ; [21 16],[16.91803279  7.08196721] ; [26.08196721 10.91803279],0
p5,1,0.006075,7.527852,[ 8 17] ; [ 2 34],[ 4.09836066 20.90163934] ; [ 5.90163934 30.09836066],0
p8,1,0.014525,5.97319,[21  4] ; [20 17],[16.53225806  8.46774194] ; [24.46774194 12.53225806],0
p1,1,0.038303,4.291517,[ 8 17] ; [ 4 33],[ 4.83870968 20.16129032] ; [ 7.16129032 29.83870968],0
n5,1,0.041131,4.170611,[22  3] ; [24 13],[18.5483871  6.4516129] ; [27.4516129  9.5483871],0
a7,1,0.067572,3.34104,[18  7] ; [18 19],[14.51612903 10.48387097] ; [21.48387097 15.51612903],0
s5,1,0.070848,3.263253,[11 12] ; [ 9 27],[ 7.79661017 15.20338983] ; [12.20338983 23.79661017],0
r2,1,0.078846,3.088525,[24  1] ; [29  7],[21.72131148  3.27868852] ; [31.27868852  4.72131148],0
p12,1,0.081414,3.036451,[ 6 19] ; [ 3 34],[ 3.62903226 21.37096774] ; [ 5.37096774 31.62903226],0
n4,1,0.089654,2.880566,[20  5] ; [22 15],[16.93548387  8.06451613] ; [25.06451613 11.93548387],0
p4,1,0.12031,2.413278,[19  6] ; [21 16],[16.12903226  8.87096774] ; [23.87096774 13.12903226],0
a3,1,0.123377,2.373916,[12 13] ; [25 12],[14.91935484 10.08064516] ; [22.08064516 14.91935484],0
n2,1,0.124541,2.359259,[1 2] ; [8 2],[2.07692308 0.92307692] ; [6.92307692 3.07692308],0
b5,1,0.131678,2.272606,[17  8] ; [18 19],[14.11290323 10.88709677] ; [20.88709677 16.11290323],0
p3,1,0.132569,2.262162,[15 10] ; [15 22],[12.09677419 12.90322581] ; [17.90322581 19.09677419],0
a2,1,0.135966,2.223034,[ 1 24] ; [ 6 31],[ 2.82258065 22.17741935] ; [ 4.17741935 32.82258065],0
s2,1,0.154707,2.025216,[18  7] ; [20 17],[15.32258065  9.67741935] ; [22.67741935 14.32258065],0
b1,1,0.158639,1.987154,[14 11] ; [14 23],[11.29032258 13.70967742] ; [16.70967742 20.29032258],0
a8,1,0.215789,1.532158,[ 6 19] ; [ 4 30],[ 4.23728814 20.76271186] ; [ 5.76271186 28.23728814],0
d2,1,0.281728,1.158735,[ 5 20] ; [12 25],[ 6.85483871 18.14516129] ; [10.14516129 26.85483871],0
v2,1,0.286233,1.137255,[14 10] ; [15 19],[12. 12.] ; [17. 17.],0
a4,1,0.330642,0.946383,[ 3 22] ; [ 8 29],[ 4.43548387 20.56451613] ; [ 6.56451613 30.43548387],0
s7,1,0.442729,0.589198,[20  4] ; [27  9],[18.8  5.2] ; [28.2  7.8],0
v3,1,0.492547,0.470958,[10 15] ; [11 24],[ 8.75 16.25] ; [12.25 22.75],0
u1,1,0.518345,0.417185,[ 1 24] ; [ 3 34],[ 1.61290323 23.38709677] ; [ 2.38709677 34.61290323],0
n1,1,0.611541,0.257937,[1 2] ; [5 5],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
d4,1,0.639837,0.218955,[12 13] ; [20 17],[12.90322581 12.09677419] ; [19.09677419 17.90322581],0
d3,1,0.643219,0.214557,[10 15] ; [17 20],[10.88709677 14.11290323] ; [16.11290323 20.88709677],0
n6,1,0.643861,0.213728,[22  3] ; [31  6],[21.37096774  3.62903226] ; [31.62903226  5.37096774],0
r4,1,0.643861,0.213728,[22  3] ; [31  6],[21.37096774  3.62903226] ; [31.62903226  5.37096774],0
