Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00018,14.028824,[24  4] ; [106 114],[14.67741935 13.32258065] ; [115.32258065 104.67741935],1
p3,1,0.000323,12.934203,[22  6] ; [ 95 128],[13.05179283 14.94820717] ; [103.94820717 119.05179283],1
u4,1,0.000442,12.344939,[ 3 25] ; [  2 222],[ 0.55555556 27.44444444] ; [  4.44444444 219.55555556],1
p8,1,0.002976,8.822404,[21  7] ; [ 99 120],[13.60323887 14.39676113] ; [106.39676113 112.60323887],0
n5,1,0.006466,7.415704,[27  1] ; [162  60],[21.168  6.832] ; [167.832  54.168],0
v3,1,0.010337,6.575932,[17 11] ; [ 77 139],[10.78688525 17.21311475] ; [ 83.21311475 132.78688525],0
s5,1,0.015254,5.886872,[16 11] ; [ 75 138],[10.2375 16.7625] ; [ 80.7625 132.2375],0
p1,1,0.02007,5.405829,[ 5 23] ; [ 13 210],[ 2.00796813 25.99203187] ; [ 15.99203187 207.00796813],0
p7,1,0.021683,5.271061,[23  5] ; [131  88],[17.45748988 10.54251012] ; [136.54251012  82.45748988],0
n4,1,0.02228,5.223813,[26  2] ; [163  60],[21.08366534  6.91633466] ; [167.91633466  55.08366534],0
s7,1,0.041995,4.135426,[19  9] ; [101 112],[13.94190871 14.05809129] ; [106.05809129 106.94190871],0
s6,1,0.045575,3.997218,[21  5] ; [133  86],[16.34285714  9.65714286] ; [137.65714286  81.34285714],0
a1,1,0.048068,3.907595,[ 4 24] ; [ 11 213],[ 1.66666667 26.33333333] ; [ 13.33333333 210.66666667],0
p12,1,0.052214,3.768911,[ 4 24] ; [ 11 209],[ 1.69354839 26.30645161] ; [ 13.30645161 206.69354839],0
r4,1,0.064693,3.412784,[27  1] ; [186  38],[23.66666667  4.33333333] ; [189.33333333  34.66666667],0
p6,1,0.079259,3.080027,[14 14] ; [ 72 145],[ 9.82857143 18.17142857] ; [ 76.17142857 140.82857143],0
n6,1,0.087227,2.924811,[26  2] ; [177  46],[22.64541833  5.35458167] ; [180.35458167  42.64541833],0
d1,1,0.089292,2.887083,[17 11] ; [ 98 126],[12.77777778 15.22222222] ; [102.22222222 121.77777778],0
n2,1,0.103279,2.654167,[3 3] ; [57 15],[4.61538462 1.38461538] ; [55.38461538 16.61538462],0
n1,1,0.14727,2.100303,[4 2] ; [26 45],[2.33766234 3.66233766] ; [27.66233766 43.33766234],0
p9,1,0.15704,2.002495,[25  3] ; [171  49],[22.12903226  5.87096774] ; [173.87096774  46.12903226],0
a6,1,0.175334,1.836735,[15 13] ; [ 90 134],[11.66666667 16.33333333] ; [ 93.33333333 130.66666667],0
v1,1,0.180763,1.791344,[17 10] ; [108 111],[13.7195122 13.2804878] ; [111.2804878 107.7195122],0
s8,1,0.218521,1.514055,[16 12] ; [100 123],[12.94023904 15.05976096] ; [103.05976096 119.94023904],0
p11,1,0.226393,1.463379,[24  4] ; [169  55],[21.44444444  6.55555556] ; [171.55555556  52.44444444],0
p2,1,0.235676,1.406271,[24  4] ; [168  54],[21.504  6.496] ; [170.496  51.504],0
r2,1,0.236892,1.398992,[24  4] ; [204  17],[25.63855422  2.36144578] ; [202.36144578  18.63855422],0
b2,1,0.255204,1.294591,[11 10] ; [55 85],[ 8.60869565 12.39130435] ; [57.39130435 82.60869565],0
b3,1,0.255204,1.294591,[11 10] ; [55 85],[ 8.60869565 12.39130435] ; [57.39130435 82.60869565],0
s3,1,0.275438,1.189464,[18 10] ; [118 103],[15.29317269 12.70682731] ; [120.70682731 100.29317269],0
b1,1,0.284503,1.145455,[16 12] ; [104 120],[13.33333333 14.66666667] ; [106.66666667 117.33333333],0
r3,1,0.33355,0.935065,[27  1] ; [204  20],[25.66666667  2.33333333] ; [205.33333333  18.66666667],0
a2,1,0.33355,0.935065,[ 1 27] ; [ 20 204],[ 2.33333333 25.66666667] ; [ 18.66666667 205.33333333],0
n3,1,0.352772,0.863462,[3 3] ; [48 22],[4.02631579 1.97368421] ; [46.97368421 23.02631579],0
s1,1,0.371053,0.800137,[ 2 26] ; [  8 213],[ 1.12449799 26.87550201] ; [  8.87550201 212.12449799],0
d3,1,0.417887,0.65625,[14 14] ; [ 94 130],[12. 16.] ; [ 96. 128.],0
b5,1,0.421491,0.646154,[11 17] ; [106 118],[13. 15.] ; [104. 120.],0
d2,1,0.460635,0.544351,[15 13] ; [103 120],[13.16334661 14.83665339] ; [104.83665339 118.16334661],0
s2,1,0.473576,0.513621,[15 13] ; [103 119],[13.216 14.784] ; [104.784 117.216],0
d5,1,0.474403,0.511702,[22  6] ; [161  62],[20.41434263  7.58565737] ; [162.58565737  60.41434263],0
p10,1,0.479596,0.499782,[22  6] ; [159  61],[20.43548387  7.56451613] ; [160.56451613  59.43548387],0
b4,1,0.530688,0.393073,[17 11] ; [122 102],[15.44444444 12.55555556] ; [123.55555556 100.44444444],0
s4,1,0.55763,0.343824,[ 4 24] ; [ 42 181],[ 5.1314741 22.8685259] ; [ 40.8685259 182.1314741],0
v2,1,0.582624,0.302012,[12 16] ; [104 111],[13.36625514 14.63374486] ; [102.63374486 112.36625514],0
a8,1,0.588576,0.292573,[ 4 23] ; [ 24 189],[ 3.15 23.85] ; [ 24.85 188.15],0
r1,1,0.623438,0.241065,[21  7] ; [158  66],[19.88888889  8.11111111] ; [159.11111111  64.88888889],0
u1,1,0.626859,0.236345,[ 1 27] ; [ 13 211],[ 1.55555556 26.44444444] ; [ 12.44444444 211.55555556],0
a4,1,0.704259,0.144079,[11 17] ; [ 96 127],[11.93625498 16.06374502] ; [ 95.06374502 127.93625498],0
u3,1,0.732259,0.117048,[4 4] ; [31 40],[3.5443038 4.4556962] ; [31.4556962 39.5443038],0
a3,1,0.761302,0.092277,[20  8] ; [153  70],[19.29880478  8.70119522] ; [153.70119522  69.29880478],0
u2,1,0.878151,0.023505,[4 4] ; [37 33],[4.20512821 3.79487179] ; [36.79487179 33.20512821],0
a5,1,0.887288,0.020089,[19  9] ; [149  75],[18.66666667  9.33333333] ; [149.33333333  74.66666667],0
d4,1,0.931865,0.00731,[20  8] ; [161  62],[20.19123506  7.80876494] ; [160.80876494  62.19123506],0
