Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,57.117365,[289  22] ; [13 15],[277.0560472  33.9439528] ; [24.9439528  3.0560472],1
a5,1,0.000495,12.133543,[255  58] ; [15 13],[247.82991202  65.17008798] ; [22.17008798  5.82991202],1
a3,1,0.007738,7.093063,[255  57] ; [17 11],[249.6  62.4] ; [22.4  5.6],0
p3,1,0.013952,6.044156,[197 116] ; [11 17],[190.92082111 122.07917889] ; [17.07917889 10.92082111],0
a4,1,0.016644,5.73355,[152 161] ; [ 7 21],[145.94428152 167.05571848] ; [13.05571848 14.94428152],0
v1,1,0.024528,5.056907,[195 108] ; [12 16],[189.48942598 113.51057402] ; [17.51057402 10.48942598],0
s7,1,0.029853,4.717748,[235  67] ; [16 11],[230.40121581  71.59878419] ; [20.59878419  6.40121581],0
b1,1,0.033469,4.521645,[115 198] ; [16 12],[120.24340176 192.75659824] ; [10.75659824 17.24340176],0
p11,1,0.034851,4.452449,[262  51] ; [19  9],[257.92668622  55.07331378] ; [23.07331378  4.92668622],0
b4,1,0.037369,4.333521,[171 142] ; [21  7],[176.23460411 136.76539589] ; [15.76539589 12.23460411],0
s5,1,0.050831,3.813848,[139 158] ; [ 7 19],[134.24767802 162.75232198] ; [11.75232198 14.24767802],0
a8,1,0.064581,3.415659,[ 55 230] ; [ 1 23],[ 51.65048544 233.34951456] ; [ 4.34951456 19.65048544],0
p8,1,0.089448,2.884273,[204 105] ; [14 14],[199.88724036 109.11275964] ; [18.11275964  9.88724036],0
d4,1,0.095848,2.773309,[270  42] ; [21  7],[267.03529412  44.96470588] ; [23.96470588  4.03529412],0
p7,1,0.100922,2.690915,[235  70] ; [17 10],[231.5060241  73.4939759] ; [20.4939759  6.5060241],0
a2,1,0.114209,2.494997,[ 88 225] ; [ 4 24],[ 84.4457478 228.5542522] ; [ 7.5542522 20.4457478],0
r4,1,0.117598,2.449028,[293  20] ; [24  4],[290.97067449  22.02932551] ; [26.02932551  1.97067449],0
n6,1,0.131585,2.27371,[274  36] ; [22  6],[271.47928994  38.52071006] ; [24.52071006  3.47928994],0
b2,1,0.142949,2.145923,[ 97 109] ; [ 6 14],[ 93.88495575 112.11504425] ; [ 9.11504425 10.88495575],0
b3,1,0.142949,2.145923,[ 97 109] ; [ 6 14],[ 93.88495575 112.11504425] ; [ 9.11504425 10.88495575],0
p5,1,0.164793,1.929682,[ 54 258] ; [ 2 26],[ 51.38823529 260.61176471] ; [ 4.61176471 23.38823529],0
p6,1,0.19624,1.670135,[155 155] ; [10 17],[151.78041543 158.21958457] ; [13.21958457 13.78041543],0
p1,1,0.23654,1.401099,[ 33 279] ; [ 1 27],[ 31.2 280.8] ; [ 2.8 25.2],0
n4,1,0.247031,1.340018,[260  51] ; [21  7],[257.79056047  53.20943953] ; [23.20943953  4.79056047],0
d1,1,0.254109,1.300573,[212 101] ; [16 12],[209.27859238 103.72140762] ; [18.72140762  9.27859238],0
s4,1,0.306631,1.04513,[ 56 256] ; [ 7 20],[ 57.98230088 254.01769912] ; [ 5.01769912 21.98230088],0
s1,1,0.322374,0.979293,[ 11 297] ; [ 2 25],[ 11.95223881 296.04776119] ; [ 1.04776119 25.95223881],0
v3,1,0.341358,0.905325,[147 155] ; [11 17],[144.59393939 157.40606061] ; [13.40606061 14.59393939],0
r1,1,0.354669,0.856682,[264  46] ; [22  6],[262.30769231  47.69230769] ; [23.69230769  4.30769231],0
n3,1,0.367566,0.811876,[43 18] ; [5 4],[41.82857143 19.17142857] ; [6.17142857 2.82857143],0
s6,1,0.39121,0.735176,[261  47] ; [22  6],[259.41666667  48.58333333] ; [23.58333333  4.41666667],0
s3,1,0.43721,0.603593,[231  78] ; [22  5],[232.66964286  76.33035714] ; [20.33035714  6.66964286],0
n5,1,0.445519,0.582028,[251  59] ; [21  7],[249.46745562  60.53254438] ; [22.53254438  5.46745562],0
u2,1,0.475759,0.508569,[35 22] ; [8 3],[36.04411765 20.95588235] ; [6.95588235 4.04411765],0
r2,1,0.476248,0.507443,[294  13] ; [26  2],[293.25373134  13.74626866] ; [26.74626866  1.25373134],0
d2,1,0.503545,0.447457,[177 136] ; [14 14],[175.31671554 137.68328446] ; [15.68328446 12.31671554],0
u1,1,0.509456,0.435184,[ 73 240] ; [ 5 23],[ 71.59530792 241.40469208] ; [ 6.40469208 21.59530792],0
n2,1,0.585447,0.297511,[42 19] ; [7 2],[42.7 18.3] ; [6.3 2.7],0
a7,1,0.604983,0.267545,[226  86] ; [19  9],[224.82352941  87.17647059] ; [20.17647059  7.82352941],0
a1,1,0.645173,0.21204,[ 16 297] ; [ 2 26],[ 16.52199413 296.47800587] ; [ 1.47800587 26.52199413],0
p4,1,0.658467,0.195391,[224  88] ; [19  9],[222.98823529  89.01176471] ; [20.01176471  7.98823529],0
d5,1,0.658492,0.19536,[266  46] ; [23  5],[265.2  46.8] ; [23.8  4.2],0
u3,1,0.720381,0.128128,[39 19] ; [8 3],[39.50724638 18.49275362] ; [7.49275362 3.50724638],0
d3,1,0.732503,0.116826,[222  91] ; [19  9],[221.2111437  91.7888563] ; [19.7888563  8.2111437],0
a6,1,0.744485,0.106224,[210 102] ; [18 10],[209.22352941 102.77647059] ; [18.77647059  9.22352941],0
n1,1,0.78254,0.076182,[26 35] ; [3 5],[25.63768116 35.36231884] ; [3.36231884 4.63768116],0
b5,1,0.81387,0.05543,[186 127] ; [16 12],[185.41348974 127.58651026] ; [16.58651026 11.41348974],0
v2,1,0.82795,0.047233,[186 117] ; [16 11],[185.47272727 117.52727273] ; [16.52727273 10.47272727],0
s2,1,0.847174,0.037143,[225  86] ; [20  7],[225.42899408  85.57100592] ; [19.57100592  7.42899408],0
r3,1,0.987476,0.000246,[302  11] ; [27  1],[301.98533724  11.01466276] ; [27.01466276  0.98533724],0
