Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.473029,[47  9] ; [34 46],[33.35294118 22.64705882] ; [47.64705882 32.35294118],1
v1,1,0.0003,13.068975,[40 17] ; [32 50],[29.52517986 27.47482014] ; [42.47482014 39.52517986],1
s8,1,0.00049,12.152084,[24 33] ; [13 70],[15.06428571 41.93571429] ; [21.93571429 61.06428571],1
n4,1,0.001654,9.899083,[51  6] ; [55 28],[43.15714286 13.84285714] ; [62.84285714 20.15714286],0
s5,1,0.00356,8.495399,[13 44] ; [ 5 78],[ 7.32857143 49.67142857] ; [10.67142857 72.32857143],0
r1,1,0.012142,6.290012,[50  7] ; [57 25],[43.87769784 13.12230216] ; [63.12230216 18.87769784],0
p4,1,0.013004,6.168511,[42 14] ; [45 38],[35.05035971 20.94964029] ; [51.94964029 31.05035971],0
p5,1,0.024363,5.068583,[ 8 49] ; [ 3 80],[ 4.47857143 52.52142857] ; [ 6.52142857 76.47857143],0
r4,1,0.029417,4.743062,[52  5] ; [64 19],[47.22857143  9.77142857] ; [68.77142857 14.22857143],0
p1,1,0.031709,4.614167,[11 46] ; [ 6 77],[ 6.92142857 50.07857143] ; [10.07857143 72.92142857],0
n5,1,0.0343,4.479699,[47 10] ; [55 28],[41.52857143 15.47142857] ; [60.47142857 22.52857143],0
b3,1,0.034426,4.473435,[20 23] ; [10 31],[15.35714286 27.64285714] ; [14.64285714 26.35714286],0
b2,1,0.034426,4.473435,[20 23] ; [10 31],[15.35714286 27.64285714] ; [14.64285714 26.35714286],0
b5,1,0.04253,4.113996,[28 29] ; [55 28],[33.79285714 23.20714286] ; [49.20714286 33.79285714],0
d1,1,0.049926,3.843955,[39 18] ; [43 40],[33.38571429 23.61428571] ; [48.61428571 34.38571429],0
a3,1,0.056686,3.631786,[40 16] ; [46 37],[34.64748201 21.35251799] ; [51.35251799 31.64748201],0
p3,1,0.06994,3.284418,[38 19] ; [42 40],[32.8057554 24.1942446] ; [47.1942446 34.8057554],0
a5,1,0.07607,3.146928,[45 12] ; [54 29],[40.30714286 16.69285714] ; [58.69285714 24.30714286],0
a4,1,0.155999,2.012591,[26 31] ; [28 55],[21.98571429 35.01428571] ; [32.01428571 50.98571429],0
p10,1,0.166609,1.913196,[49  7] ; [65 18],[45.92805755 10.07194245] ; [68.07194245 14.92805755],0
p7,1,0.201896,1.628608,[45 11] ; [58 24],[41.79710145 14.20289855] ; [61.20289855 20.79710145],0
p9,1,0.277754,1.178049,[49  7] ; [66 16],[46.66666667  9.33333333] ; [68.33333333 13.66666667],0
p6,1,0.29977,1.075215,[24 32] ; [28 54],[21.10144928 34.89855072] ; [30.89855072 51.10144928],0
s3,1,0.314734,1.010706,[15 41] ; [16 66],[12.57971014 43.42028986] ; [18.42028986 63.57971014],0
r3,1,0.32966,0.950234,[53  4] ; [73 10],[51.3  5.7] ; [74.7  8.3],0
s1,1,0.330703,0.946143,[ 1 56] ; [ 4 78],[ 2.05035971 54.94964029] ; [ 2.94964029 79.05035971],0
s7,1,0.358114,0.844498,[16 35] ; [19 60],[13.73076923 37.26923077] ; [21.26923077 57.73076923],0
u3,1,0.359015,0.841335,[ 6 11] ; [18 19],[7.55555556 9.44444444] ; [16.44444444 20.55555556],0
n6,1,0.400725,0.70615,[49  8] ; [66 16],[47.15827338  9.84172662] ; [67.84172662 14.15827338],0
u1,1,0.421799,0.645298,[ 8 49] ; [ 8 75],[ 6.51428571 50.48571429] ; [ 9.48571429 73.51428571],0
n1,1,0.45426,0.56,[2 6] ; [ 8 12],[2.85714286 5.14285714] ; [ 7.14285714 12.85714286],0
d2,1,0.463237,0.538062,[29 28] ; [37 46],[26.87142857 30.12857143] ; [39.12857143 43.87142857],0
r2,1,0.482031,0.494265,[51  4] ; [74  9],[49.81884058  5.18115942] ; [75.18115942  7.81884058],0
n3,1,0.491387,0.473488,[7 2] ; [13  7],[6.20689655 2.79310345] ; [13.79310345  6.20689655],0
v4,1,0.502282,0.450111,[55  2] ; [78  5],[54.15  2.85] ; [78.85  4.15],0
a2,1,0.531561,0.391406,[12 45] ; [14 69],[10.58571429 46.41428571] ; [15.41428571 67.58571429],0
d3,1,0.641462,0.216835,[37 20] ; [57 26],[38.27142857 18.72857143] ; [55.72857143 27.27142857],0
n2,1,0.664617,0.187963,[7 2] ; [14  6],[6.51724138 2.48275862] ; [14.48275862  5.51724138],0
p2,1,0.711729,0.136556,[50  7] ; [71 12],[49.26428571  7.73571429] ; [71.73571429 11.26428571],0
p11,1,0.724757,0.12398,[48  9] ; [68 15],[47.22857143  9.77142857] ; [68.77142857 14.22857143],0
b1,1,0.727575,0.12135,[21 36] ; [33 50],[21.98571429 35.01428571] ; [32.01428571 50.98571429],0
a7,1,0.736018,0.113658,[42 15] ; [59 24],[41.12142857 15.87857143] ; [59.87857143 23.12142857],0
