Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,48.343764,[ 5 27] ; [104  26],[21.5308642 10.4691358] ; [87.4691358 42.5308642],1
r3,1,0.0,37.400752,[13 19] ; [116  14],[25.48148148  6.51851852] ; [103.51851852  26.48148148],1
r2,1,0.0,25.702671,[17 14] ; [119  11],[26.1863354  4.8136646] ; [109.8136646  20.1863354],1
r1,1,0.000267,13.289434,[11 21] ; [90 40],[19.95061728 12.04938272] ; [81.04938272 48.95061728],1
n2,1,0.000427,12.411138,[ 6 10] ; [43  9],[11.52941176  4.47058824] ; [37.47058824 14.52941176],1
s6,1,0.000567,11.880205,[ 8 24] ; [75 52],[16.70440252 15.29559748] ; [66.29559748 60.70440252],1
s8,1,0.000704,11.477701,[ 2 30] ; [48 81],[ 9.9378882 22.0621118] ; [40.0621118 88.9378882],1
p9,1,0.001259,10.401896,[13 18] ; [92 35],[20.60126582 10.39873418] ; [84.39873418 42.60126582],0
p1,1,0.002682,9.012296,[ 6 26] ; [  5 125],[ 2.17283951 29.82716049] ; [  8.82716049 121.17283951],0
p11,1,0.002942,8.842822,[14 18] ; [93 37],[21.13580247 10.86419753] ; [85.86419753 44.13580247],0
p2,1,0.003383,8.588324,[11 20] ; [83 46],[18.2125 12.7875] ; [75.7875 53.2125],0
u2,1,0.00622,7.485378,[ 1 13] ; [18 19],[5.21568627 8.78431373] ; [13.78431373 23.21568627],0
n6,1,0.007137,7.238087,[16 15] ; [98 31],[22.0875  8.9125] ; [91.9125 37.0875],0
s2,1,0.012804,6.196003,[ 7 25] ; [59 69],[13.2 18.8] ; [52.8 75.2],0
d5,1,0.01374,6.071247,[15 17] ; [91 39],[20.9382716 11.0617284] ; [85.0617284 44.9382716],0
v1,1,0.015503,5.858437,[ 8 24] ; [61 64],[14.06369427 17.93630573] ; [54.93630573 70.06369427],0
p10,1,0.01609,5.793044,[12 19] ; [80 48],[17.93710692 13.06289308] ; [74.06289308 53.93710692],0
a5,1,0.016627,5.735361,[13 19] ; [83 47],[18.96296296 13.03703704] ; [77.03703704 52.96296296],0
v3,1,0.028958,4.770088,[ 4 27] ; [40 82],[ 8.91503268 22.08496732] ; [35.08496732 86.91503268],0
u3,1,0.029627,4.730827,[ 2 12] ; [18 20],[5.38461538 8.61538462] ; [14.61538462 23.38461538],0
s5,1,0.034981,4.446101,[ 4 27] ; [39 83],[ 8.7124183 22.2875817] ; [34.2875817 87.7124183],0
p7,1,0.058452,3.580779,[ 8 24] ; [55 72],[12.67924528 19.32075472] ; [50.32075472 76.67924528],0
n3,1,0.061587,3.494118,[7 8] ; [37 14],[10.  5.] ; [34. 17.],0
a6,1,0.076359,3.140753,[ 9 23] ; [59 71],[13.43209877 18.56790123] ; [54.56790123 75.43209877],0
s3,1,0.099821,2.708394,[11 20] ; [67 62],[15.1125 15.8875] ; [62.8875 66.1125],0
a3,1,0.100999,2.689702,[18 14] ; [92 37],[21.86335404 10.13664596] ; [88.13664596 40.86335404],0
v2,1,0.135213,2.231603,[ 8 23] ; [50 74],[11.6 19.4] ; [46.4 77.6],0
b1,1,0.180129,1.796561,[19 13] ; [60 70],[15.60493827 16.39506173] ; [63.39506173 66.60493827],0
s4,1,0.216297,1.528774,[ 7 25] ; [ 17 112],[ 4.77018634 27.22981366] ; [ 19.22981366 109.77018634],0
s7,1,0.218202,1.516156,[ 9 21] ; [52 71],[11.96078431 18.03921569] ; [49.03921569 73.96078431],0
p6,1,0.22441,1.475945,[ 3 27] ; [ 25 104],[ 5.28301887 24.71698113] ; [ 22.71698113 106.28301887],0
p4,1,0.252972,1.306815,[ 8 24] ; [46 83],[10.73291925 21.26708075] ; [43.26708075 85.73291925],0
n1,1,0.292267,1.109149,[8 8] ; [18 33],[6.20895522 9.79104478] ; [19.79104478 31.20895522],0
p3,1,0.309084,1.034585,[ 7 25] ; [40 89],[ 9.34161491 22.65838509] ; [37.65838509 91.34161491],0
b5,1,0.344372,0.894087,[14 18] ; [69 61],[16.39506173 15.60493827] ; [66.60493827 63.39506173],0
p5,1,0.421106,0.647227,[ 3 29] ; [  7 120],[ 2.01257862 29.98742138] ; [  7.98742138 119.01257862],0
s1,1,0.421106,0.647227,[ 3 29] ; [  7 120],[ 2.01257862 29.98742138] ; [  7.98742138 119.01257862],0
p12,1,0.497698,0.459841,[ 1 31] ; [  8 121],[ 1.78881988 30.21118012] ; [  7.21118012 121.78881988],0
a2,1,0.512089,0.429796,[ 2 30] ; [ 13 117],[ 2.96296296 29.03703704] ; [ 12.03703704 117.96296296],0
n5,1,0.545972,0.364583,[21 11] ; [91 37],[22.4  9.6] ; [89.6 38.4],0
n4,1,0.688944,0.160231,[23  9] ; [88 41],[22.0621118  9.9378882] ; [88.9378882 40.0621118],0
d1,1,0.698628,0.149904,[13 19] ; [48 82],[12.04938272 19.95061728] ; [48.95061728 81.04938272],0
a1,1,0.753623,0.098512,[ 3 29] ; [ 10 120],[ 2.56790123 29.43209877] ; [ 10.43209877 119.56790123],0
d4,1,0.843576,0.038936,[22 10] ; [87 43],[21.5308642 10.4691358] ; [87.4691358 42.5308642],0
d2,1,0.850962,0.035303,[15 16] ; [60 69],[14.53125 16.46875] ; [60.46875 68.53125],0
a4,1,0.881606,0.022181,[13 18] ; [56 73],[13.36875 17.63125] ; [55.63125 73.36875],0
b2,1,0.883652,0.021416,[11 14] ; [36 49],[10.68181818 14.31818182] ; [36.31818182 48.68181818],0
b3,1,0.883652,0.021416,[11 14] ; [36 49],[10.68181818 14.31818182] ; [36.31818182 48.68181818],0
d3,1,0.887269,0.020096,[12 20] ; [47 83],[11.65432099 20.34567901] ; [47.34567901 82.65432099],0
b4,1,0.945106,0.004741,[18 14] ; [74 56],[18.17283951 13.82716049] ; [73.82716049 56.17283951],0
