Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-05,19.46609,[72 11] ; [ 6 10],[65.39393939 17.60606061] ; [12.60606061  3.39393939],1
d1,1,0.000158,14.2775,[48 35] ; [ 1 15],[41.08080808 41.91919192] ; [7.91919192 8.08080808],1
a4,1,0.011974,6.314787,[44 39] ; [ 3 13],[39.4040404 43.5959596] ; [7.5959596 8.4040404],0
s5,1,0.027279,4.87304,[29 49] ; [ 1 13],[25.43478261 52.56521739] ; [4.56521739 9.43478261],0
d3,1,0.046848,3.950834,[62 21] ; [8 8],[58.68686869 24.31313131] ; [11.31313131  4.68686869],0
p1,1,0.056354,3.641563,[ 7 75] ; [ 4 12],[ 9.20408163 72.79591837] ; [ 1.79591837 14.20408163],0
r1,1,0.078967,3.086031,[61 22] ; [15  1],[63.71717172 19.28282828] ; [12.28282828  3.71717172],0
v2,1,0.096986,2.754422,[52 27] ; [7 9],[49.06315789 29.93684211] ; [9.93684211 6.06315789],0
s2,1,0.122939,2.379468,[40 43] ; [ 4 11],[37.26530612 45.73469388] ; [6.73469388 8.26530612],0
r4,1,0.129005,2.304436,[64 19] ; [15  1],[66.23232323 16.76767677] ; [12.76767677  3.23232323],0
b3,1,0.14377,2.137142,[20 21] ; [3 9],[17.79245283 23.20754717] ; [5.20754717 6.79245283],0
b2,1,0.14377,2.137142,[20 21] ; [3 9],[17.79245283 23.20754717] ; [5.20754717 6.79245283],0
p3,1,0.148786,2.084649,[36 45] ; [ 4 12],[33.40206186 47.59793814] ; [6.59793814 9.40206186],0
a7,1,0.165218,1.925804,[61 22] ; [9 7],[58.68686869 24.31313131] ; [11.31313131  4.68686869],0
p8,1,0.201359,1.63249,[32 50] ; [9 7],[34.30612245 47.69387755] ; [6.69387755 9.30612245],0
d2,1,0.229264,1.445424,[34 49] ; [ 4 12],[31.85858586 51.14141414] ; [6.14141414 9.85858586],0
p4,1,0.236634,1.400534,[33 49] ; [9 7],[35.14285714 46.85714286] ; [6.85714286 9.14285714],0
s4,1,0.364516,0.822276,[13 70] ; [ 4 12],[14.25252525 68.74747475] ; [ 2.74747475 13.25252525],0
a3,1,0.386828,0.748889,[56 27] ; [9 7],[54.49494949 28.50505051] ; [10.50505051  5.49494949],0
b5,1,0.390023,0.73887,[53 30] ; [12  4],[54.49494949 28.50505051] ; [10.50505051  5.49494949],0
v4,1,0.436098,0.606527,[76  6] ; [13  2],[75.2371134  6.7628866] ; [13.7628866  1.2371134],0
n4,1,0.446378,0.579833,[33 50] ; [8 8],[34.37373737 48.62626263] ; [6.62626263 9.37373737],0
s7,1,0.448154,0.575315,[31 47] ; [8 8],[32.36170213 45.63829787] ; [6.63829787 9.36170213],0
s1,1,0.478725,0.501767,[ 6 77] ; [ 2 14],[ 6.70707071 76.29292929] ; [ 1.29292929 14.70707071],0
p11,1,0.493967,0.467873,[55 28] ; [12  4],[56.17171717 26.82828283] ; [10.82828283  5.17171717],0
s6,1,0.504062,0.446373,[50 30] ; [8 7],[48.84210526 31.15789474] ; [9.15789474 5.84210526],0
u3,1,0.505005,0.444403,[19  8] ; [4 3],[18.26470588  8.73529412] ; [4.73529412 2.26470588],0
p10,1,0.511515,0.430967,[48 32] ; [11  5],[49.16666667 30.83333333] ; [9.83333333 6.16666667],0
a2,1,0.519867,0.414157,[16 67] ; [ 2 14],[15.09090909 67.90909091] ; [ 2.90909091 13.09090909],0
n3,1,0.521213,0.411492,[15  8] ; [4 1],[15.60714286  7.39285714] ; [3.39285714 1.60714286],0
n6,1,0.52793,0.398374,[48 34] ; [8 8],[46.85714286 35.14285714] ; [9.14285714 6.85714286],0
u2,1,0.547045,0.362637,[18  8] ; [4 3],[17.33333333  8.66666667] ; [4.66666667 2.33333333],0
r2,1,0.558993,0.341451,[72  9] ; [15  1],[72.64948454  8.35051546] ; [14.35051546  1.64948454],0
p2,1,0.564763,0.331524,[62 20] ; [11  5],[61.08163265 20.91836735] ; [11.91836735  4.08163265],0
a8,1,0.575648,0.313324,[ 6 68] ; [ 2 14],[ 6.57777778 67.42222222] ; [ 1.42222222 14.57777778],0
a5,1,0.614194,0.254112,[57 26] ; [12  4],[57.84848485 25.15151515] ; [11.15151515  4.84848485],0
s8,1,0.618833,0.247511,[31 51] ; [ 5 11],[30.12244898 51.87755102] ; [ 5.87755102 10.12244898],0
p6,1,0.624519,0.239568,[24 53] ; [ 4 12],[23.1827957 53.8172043] ; [ 4.8172043 11.1827957],0
a6,1,0.696938,0.151677,[51 32] ; [9 7],[50.3030303 32.6969697] ; [9.6969697 6.3030303],0
p9,1,0.738738,0.111239,[59 22] ; [11  5],[58.45360825 22.54639175] ; [11.54639175  4.45360825],0
b4,1,0.765796,0.088731,[50 33] ; [9 7],[49.46464646 33.53535354] ; [9.53535354 6.46464646],0
r3,1,0.76917,0.08612,[76  7] ; [15  1],[76.29292929  6.70707071] ; [14.70707071  1.29292929],0
b1,1,0.795994,0.066841,[34 49] ; [ 6 10],[33.53535354 49.46464646] ; [6.46464646 9.53535354],0
p7,1,0.821254,0.051046,[38 43] ; [8 8],[38.41237113 42.58762887] ; [7.58762887 8.41237113],0
n1,1,0.825349,0.048696,[ 8 15] ; [2 3],[ 8.21428571 14.78571429] ; [1.78571429 3.21428571],0
