Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,101.090827,[400   6] ; [19 12],[389.27688787  16.72311213] ; [29.72311213  1.27688787],1
r2,1,0.0,100.635462,[394  10] ; [17 14],[381.71034483  22.28965517] ; [29.28965517  1.71034483],1
r3,1,0.0,85.700038,[397   8] ; [20 12],[386.46453089  18.53546911] ; [30.53546911  1.46453089],1
r1,1,0.0,77.75444,[354  51] ; [ 9 24],[335.65068493  69.34931507] ; [27.34931507  5.65068493],1
a7,1,6e-05,16.108655,[307  98] ; [15 19],[297.06150342 107.93849658] ; [24.93849658  9.06150342],1
s6,1,0.000112,14.927783,[307  89] ; [15 17],[297.92523364  98.07476636] ; [24.07476636  7.92523364],1
n4,1,0.000351,12.773947,[373  32] ; [25  9],[367.17539863  37.82460137] ; [30.82460137  3.17539863],1
v1,1,0.000699,11.491071,[261 135] ; [12 21],[252. 144.] ; [21. 12.],1
d4,1,0.001951,9.594674,[345  60] ; [22 12],[338.57630979  66.42369021] ; [28.42369021  5.57630979],0
b1,1,0.002991,8.812727,[157 249] ; [22 12],[165.16818182 240.83181818] ; [13.83181818 20.16818182],0
v3,1,0.003523,8.514655,[185 204] ; [ 7 26],[176.98578199 212.01421801] ; [15.01421801 17.98578199],0
s5,1,0.008729,6.877407,[160 231] ; [ 5 25],[153.24228029 237.75771971] ; [11.75771971 18.24228029],0
n6,1,0.012535,6.233532,[379  26] ; [27  6],[375.4109589  29.5890411] ; [30.5890411  2.4109589],0
d1,1,0.020573,5.362574,[271 135] ; [16 18],[264.82272727 141.17727273] ; [22.17727273 11.82272727],0
s3,1,0.031204,4.641713,[247 154] ; [13 18],[241.34259259 159.65740741] ; [18.65740741 12.34259259],0
d5,1,0.040778,4.185198,[350  55] ; [25  9],[345.95671982  59.04328018] ; [29.04328018  4.95671982],0
p2,1,0.043641,4.070381,[373  32] ; [27  6],[369.8630137  35.1369863] ; [30.1369863  2.8630137],0
p10,1,0.058304,3.584997,[362  42] ; [26  7],[358.70022883  45.29977117] ; [29.29977117  3.70022883],0
a8,1,0.066052,3.378503,[ 55 305] ; [ 1 30],[ 51.5601023 308.4398977] ; [ 4.4398977 26.5601023],0
d3,1,0.068194,3.325958,[298 108] ; [20 14],[293.42727273 112.57272727] ; [24.57272727  9.42727273],0
s1,1,0.074322,3.184901,[ 12 388] ; [ 3 31],[ 13.82488479 386.17511521] ; [ 1.17511521 32.82488479],0
a6,1,0.082737,3.010295,[285 121] ; [19 15],[280.50909091 125.49090909] ; [23.49090909 10.50909091],0
p3,1,0.090733,2.86132,[283 122] ; [19 15],[278.61047836 126.38952164] ; [23.38952164 10.61047836],0
n3,1,0.126632,2.333316,[45 15] ; [7 6],[42.73972603 17.26027397] ; [9.26027397 3.73972603],0
s4,1,0.128597,2.309359,[ 67 332] ; [ 9 24],[ 70.19444444 328.80555556] ; [ 5.80555556 27.19444444],0
u3,1,0.129745,2.295552,[60 41] ; [3 6],[57.84545455 43.15454545] ; [5.15454545 3.84545455],0
