Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.001942,9.603325,[97  5] ; [3 2],[95.3271028  6.6728972] ; [4.6728972 0.3271028],0
r4,1,0.003816,8.369246,[89 13] ; [2 3],[86.74766355 15.25233645] ; [4.25233645 0.74766355],0
p5,1,0.0166,5.738168,[ 8 93] ; [2 3],[ 9.52830189 91.47169811] ; [0.47169811 4.52830189],0
p1,1,0.08655,2.937407,[13 89] ; [2 3],[14.29906542 87.70093458] ; [0.70093458 4.29906542],0
a4,1,0.105631,2.6184,[44 58] ; [4 1],[45.75700935 56.24299065] ; [2.24299065 2.75700935],0
s7,1,0.142174,2.154274,[26 68] ; [2 1],[27.13402062 66.86597938] ; [0.86597938 2.13402062],0
n4,1,0.155885,2.013699,[86 16] ; [3 2],[84.8411215 17.1588785] ; [4.1588785 0.8411215],0
a6,1,0.182805,1.774675,[70 32] ; [2 3],[68.63551402 33.36448598] ; [3.36448598 1.63551402],0
p4,1,0.197778,1.658709,[50 49] ; [4 1],[51.40384615 47.59615385] ; [2.59615385 2.40384615],0
p8,1,0.213148,1.549914,[51 48] ; [4 1],[52.35576923 46.64423077] ; [2.64423077 2.35576923],0
p12,1,0.220671,1.5,[ 6 94] ; [1 4],[ 6.66666667 93.33333333] ; [0.33333333 4.66666667],0
r1,1,0.240063,1.380222,[83 19] ; [3 2],[81.98130841 20.01869159] ; [4.01869159 0.98130841],0
a2,1,0.240063,1.380222,[19 83] ; [2 3],[20.01869159 81.98130841] ; [0.98130841 4.01869159],0
d3,1,0.241268,1.373167,[67 35] ; [2 3],[65.77570093 36.22429907] ; [3.22429907 1.77570093],0
p2,1,0.251943,1.3125,[81 19] ; [3 2],[80. 20.] ; [4. 1.],0
b3,1,0.265254,1.241127,[32 37] ; [3 1],[33.08219178 35.91780822] ; [1.91780822 2.08219178],0
b2,1,0.265254,1.241127,[32 37] ; [3 1],[33.08219178 35.91780822] ; [1.91780822 2.08219178],0
r3,1,0.344217,0.894664,[93  8] ; [4 1],[92.4245283  8.5754717] ; [4.5754717 0.4245283],0
b4,1,0.379574,0.772081,[61 41] ; [2 3],[60.05607477 41.94392523] ; [2.94392523 2.05607477],0
a7,1,0.515959,0.421964,[74 27] ; [3 2],[73.36792453 27.63207547] ; [3.63207547 1.36792453],0
p6,1,0.55423,0.349794,[32 66] ; [1 4],[31.39805825 66.60194175] ; [1.60194175 3.39805825],0
n3,1,0.675706,0.175,[14  4] ; [2 1],[13.71428571  4.28571429] ; [2.28571429 0.71428571],0
p3,1,0.694354,0.154412,[51 49] ; [3 2],[51.42857143 48.57142857] ; [2.57142857 2.42857143],0
d2,1,0.709914,0.138363,[52 49] ; [3 2],[52.40566038 48.59433962] ; [2.59433962 2.40566038],0
u1,1,0.745856,0.105046,[15 87] ; [1 4],[15.25233645 86.74766355] ; [0.74766355 4.25233645],0
s8,1,0.758053,0.094888,[34 68] ; [2 3],[34.31775701 67.68224299] ; [1.68224299 3.31775701],0
a3,1,0.809482,0.058126,[76 25] ; [4 1],[76.22641509 24.77358491] ; [3.77358491 1.22641509],0
s5,1,0.812688,0.05615,[16 84] ; [1 4],[16.19047619 83.80952381] ; [0.80952381 4.19047619],0
v2,1,0.839279,0.041134,[80 21] ; [3 1],[79.83809524 21.16190476] ; [3.16190476 0.83809524],0
p7,1,0.842824,0.039316,[65 36] ; [3 2],[64.79245283 36.20754717] ; [3.20754717 1.79245283],0
d5,1,0.855507,0.033159,[78 24] ; [4 1],[78.1682243 23.8317757] ; [3.8317757 1.1682243],0
n6,1,0.893865,0.0178,[79 23] ; [4 1],[79.12149533 22.87850467] ; [3.87850467 1.12149533],0
n1,1,0.943209,0.005075,[ 5 11] ; [1 2],[ 5.05263158 10.94736842] ; [0.94736842 2.05263158],0
d1,1,0.95837,0.002725,[60 42] ; [3 2],[60.05607477 41.94392523] ; [2.94392523 2.05607477],0
d4,1,0.965996,0.001817,[80 21] ; [4 1],[80.03773585 20.96226415] ; [3.96226415 1.03773585],0
v1,1,0.978932,0.000697,[60 41] ; [3 2],[60.02830189 40.97169811] ; [2.97169811 2.02830189],0
b1,1,0.993033,7.6e-05,[41 61] ; [2 3],[40.99065421 61.00934579] ; [2.00934579 2.99065421],0
